ProjectID,SiteName,State,FullAddress,BuildType,BuildStatus,SiteCategory,PAL,TotalUnits,Status,EstCompDate
P-006791,Killeen_MDU_Patriot Place,TX,"500 W Rancier Ave Killeen, TX  76541",FTTU,2. Project - Design Phase,On Net,2026-02-17 00:00:00,13,Waiting on Marking agreement,
P-006759,Newark_MDU_Heritage of Newark (Newark Beach Estates),TX,"629 Central Ave Newark, TX  76071",FTTU,2. Project - Design Phase,On Net,2026-02-05 00:00:00,26,Waiting on Marking agreement,
P-006749,Omaha_MDU_1001 Apartments,NE,"1001 North 90th Street Omaha, NE  68114",FTTU,2. Project - Design Phase,On Net,2026-01-28 00:00:00,111,Waiting on Design approval & Marketing Agreement,
P-006738,Omaha_MDU_Bristol Square Apts,NE,"3121 Maplewood Blvd Omaha, NE  68134",FTTU,2. Project - Design Phase,On Net,2026-01-21 00:00:00,184,Waiting on Design approval & Marketing Agreement,
P-006413,Omaha_MDU_Northampton Court Condos,NE,"2302 Benson Gardens Blvd Omaha, NE  68134",FTTU,2. Project - Design Phase,On Net,2026-03-10 00:00:00,22,Waiting on Design approval & Bulk Agreement,
P-006748,Bridgeport_MDU_Creekside Apartments,TX,"401 TURKEY CREEK TRL Bridgeport, TX  76426",FTTU,2. Project - Design Phase,On Net,2026-01-28 00:00:00,25,Waiting on Design approval & Marketing Agreement,
P-006154,Killeen_MDU_The Bungalows,TX,"710 E Avenue G Killeen, TX  76541",FTT-NID,2. Project - Design Phase,On Net,,15,Waiting on Design approval,
P-006898,Mesa_MDU_Woodglen Square Condo II,AZ,"523 W GUADALUPE RD Mesa, AZ  85210",POE,3. Project - Construction Phase,On Net,2026-04-16 00:00:00,281,Need to schedule Eng Site walk-waiting on other sites in area to drop?,2026-08-20 00:00:00
P-006826,Killeen_MDU_1807 Mulford & 1810 N 8th St,TX,"1807 Mulford St Killeen, TX  76541",FTTU,3. Project - Construction Phase,On Net,2026-03-13 00:00:00,37,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006884,Killeen_MDU_Bradley Arms,TX,"1117 N 8th St Killeen, TX  76541",FTTU,3. Project - Construction Phase,On Net,2026-04-14 00:00:00,18,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006820,Killeen_MDU_Jerome Apts,TX,"2104 JEROME DR KILLEEN, TX  76543",FTTU,3. Project - Construction Phase,On Net,2026-03-12 00:00:00,8,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006808,Killeen_MDU_Paloma Gardens 307 N 14th St,TX,"307 n 14TH ST KILLEEN, TX  76541",FTTU,3. Project - Construction Phase,On Net,2026-02-25 00:00:00,25,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006823,Killeen_MDU_Saffari Apts,TX,"1409 BUNDRANT DR KILLEEN, TX  76543",FTTU,3. Project - Construction Phase,On Net,2026-03-13 00:00:00,38,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006824,Killeen_MDU_Soaring Eagle Apartments,TX,"3200 GRIDER CIRCLE KILLEEN, TX  76543",FTTU,3. Project - Construction Phase,On Net,2026-03-13 00:00:00,54,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006818,Killeen_MDU_The Gables at 8th Street,TX,"1507 N 8th St Killeen, TX  76541",FTTU,3. Project - Construction Phase,On Net,2026-03-12 00:00:00,16,Eng Site walk Scheduled for 5/14,2026-05-29 00:00:00
P-006754,Killeen_MDU_Villa Del North,TX,"1006 N 4th St Killeen, TX  76541",FTT-NID,3. Project - Construction Phase,On Net,2026-02-04 00:00:00,16,In Construction,2026-05-29 00:00:00
P-006777,Killeen_MDU_209 E Dean Ave,TX,"209 E Dean Ave Killeen, TX  76541",FTT-NID,3. Project - Construction Phase,On Net,2026-02-12 00:00:00,10,In Construction,2026-05-29 00:00:00
P-006812,Killeen_MDU_East Gate Apartments,TX,"925 W Rancier Ave Killeen, TX  76541",FTT-NID,3. Project - Construction Phase,On Net,2026-03-11 00:00:00,20,In Construction,2026-05-29 00:00:00
P-006833,Killeen_MDU_The Links Apts,TX,"610 N 10th St Killeen, TX  76541",FTT-NID,3. Project - Construction Phase,On Net,2026-03-16 00:00:00,22,In Construction,2026-05-29 00:00:00
P-006755,Taylor_MDU_Vance Apartments,TX,"900 Vance St Taylor, TX  76574",FTT-NID,3. Project - Construction Phase,On Net,2026-02-04 00:00:00,14,PO Cut - Getting it ready to construct,2026-05-29 00:00:00
P-006760,Killeen_MDU_1015-1017 Parmer Ave,TX,"1015 Parmer Ave Killeen, TX  76541",FTT-NID,3. Project - Construction Phase,On Net,2026-02-05 00:00:00,14,PO Cut - Getting it ready to construct,2026-05-29 00:00:00
