SF_Id,Name,Object,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yKv2AI,AGR-0544,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yKv2AI"", ""Name"": ""AGR-0544"", ""Opportunity__c"": ""006WR00000wkDuAYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuAYAU""}, ""Name"": ""Villas on Horne""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLD2AY,AGR-0562,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLD2AY"", ""Name"": ""AGR-0562"", ""Opportunity__c"": ""006WR00000wkDuOYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuOYAU""}, ""Name"": ""Stonebridge Gardens""}, ""Status__c"": ""Paused"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLO2AY,AGR-0573,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLO2AY"", ""Name"": ""AGR-0573"", ""Opportunity__c"": ""006WR00000wkDuUYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuUYAU""}, ""Name"": ""Pineforest Park""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLP2AY,AGR-0574,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLP2AY"", ""Name"": ""AGR-0574"", ""Opportunity__c"": ""006WR00000wkDuUYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuUYAU""}, ""Name"": ""Pineforest Park""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLR2AY,AGR-0576,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLR2AY"", ""Name"": ""AGR-0576"", ""Opportunity__c"": ""006WR00000wkDuVYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuVYAU""}, ""Name"": ""Crenshaw Townhouse""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLS2AY,AGR-0577,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLS2AY"", ""Name"": ""AGR-0577"", ""Opportunity__c"": ""006WR00000wkDuVYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuVYAU""}, ""Name"": ""Crenshaw Townhouse""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLU2AY,AGR-0579,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLU2AY"", ""Name"": ""AGR-0579"", ""Opportunity__c"": ""006WR00000wkDuWYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuWYAU""}, ""Name"": ""West Creek Townhomes""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLV2AY,AGR-0580,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLV2AY"", ""Name"": ""AGR-0580"", ""Opportunity__c"": ""006WR00000wkDuWYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuWYAU""}, ""Name"": ""West Creek Townhomes""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLX2AY,AGR-0582,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLX2AY"", ""Name"": ""AGR-0582"", ""Opportunity__c"": ""006WR00000wkDuXYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuXYAU""}, ""Name"": ""Vanowen Manor""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLY2AY,AGR-0583,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLY2AY"", ""Name"": ""AGR-0583"", ""Opportunity__c"": ""006WR00000wkDuXYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuXYAU""}, ""Name"": ""Vanowen Manor""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLa2AI,AGR-0585,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLa2AI"", ""Name"": ""AGR-0585"", ""Opportunity__c"": ""006WR00000wkDuYYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuYYAU""}, ""Name"": ""Lord Tennyson""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
