Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wiNnYYAU,Talavera,Prospects,Jeff Chao,"3501 S McClintock Dr, Tempe, AZ, USA",Tempe,AZ,85282,Cat 2,In-Franchise,Cat 3,6445.3,2756 W JUNQUILLO CIR MESA AZ 85202,FDH10,,change,"3501 S MCCLINTOCK DR, TEMPE, AZ, 85282"
006WR00000wiNnZYAU,Grandes Cortes Apartments,Prospects,Jeff Chao,"1150 West University Drive, Tempe, AZ, USA",Tempe,AZ,85281,Cat 2,In-Franchise,Cat 3,24321.9,600 S DOBSON RD UNIT 73 MESA AZ 85202,FB40,,change,"1150 W UNIVERSITY DR, TEMPE, AZ, 85281"
006WR00000wiNnaYAE,Garden Grove,Prospects,Jeff Chao,"900 W Grove Pkwy, Tempe, AZ, USA",Tempe,AZ,85283,Cat 2,In-Franchise,Cat 3,17749.9,3116 S NOCHE DE PAZ MESA AZ 85202,FDH19,,change,"900 W GROVE PKWY, TEMPE, AZ, 85283"
006WR00000wiNnbYAE,Rancho Las Palmas,Prospects,Jeff Chao,"1249 East Spence Avenue, Tempe, AZ, USA",Tempe,AZ,85281,Cat 2,In-Franchise,Cat 3,12405.5,600 S DOBSON RD UNIT 73 MESA AZ 85202,FB40,,change,"1249 E SPENCE AVE, TEMPE, AZ, 85281"
006WR00000wiNncYAE,University Valley Apartments,Prospects,Jeff Chao,"1115 East Lemon Street, Tempe, AZ, USA",Tempe,AZ,85281,Cat 2,In-Franchise,Cat 3,13778.0,600 S DOBSON RD UNIT 73 MESA AZ 85202,FB40,,change,"1115 E LEMON ST, TEMPE, AZ, 85281"
006WR00000wiNndYAE,The Lennox @ Tempe,Prospects,Jeff Chao,"1655 East Southern Avenue, Tempe, AZ, USA",Tempe,AZ,85282,Cat 2,In-Franchise,Cat 3,7732.6,2756 W JUNQUILLO CIR MESA AZ 85202,FDH10,,change,"1655 E SOUTHERN AVE, TEMPE, AZ, 85282"
006WR00000wiNneYAE,Tempe Park Place,Prospects,Jeff Chao,"4540 S Rural Rd, Tempe, AZ, USA",Tempe,AZ,85282,Cat 2,In-Franchise,Cat 3,10681.9,2665 W BASELINE RD MESA AZ 85202,FDH14,,change,"4540 S RURAL RD, TEMPE, AZ, 85282"
006WR00000wiNnfYAE,Chesapeake,Prospects,Jeff Chao,"200 East Southern Avenue, Tempe, AZ, USA",Tempe,AZ,85282,Cat 2,In-Franchise,Cat 3,14389.1,2765 W JACINTO CIR MESA AZ 85202,FDH14,,change,"200 E SOUTHERN AVE, TEMPE, AZ, 85282"
006WR00000wiNngYAE,Apache Terrace Apartments,Prospects,Jeff Chao,"1123 E Apache Blvd, Tempe, AZ, USA",Tempe,AZ,85281,Cat 2,In-Franchise,Cat 3,13665.5,600 S DOBSON RD UNIT 73 MESA AZ 85202,FB40,,change,"1123 E APACHE BLVD, TEMPE, AZ, 85281"
006WR00000wiNnhYAE,Avana Tempe,Prospects,Jeff Chao,"30 West Carter Drive, Tempe, AZ, USA",Tempe,AZ,85282,Cat 2,In-Franchise,Cat 3,14567.5,2665 W BASELINE RD MESA AZ 85202,FDH14,,change,"30 W CARTER DR, TEMPE, AZ, 85282"
