SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR00000wiNoSYAU,Haciendas de la Playa,PAL/ROE Complete,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wk9SsYAI,Sandpiper Pointe,Contract Negotiations,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wk9YTYAY,Solana Beach and Tennis Club,PAL/ROE Complete,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA6MYAU,Trico Mobile Estates,Closed Lost,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA6dYAE,Howard Street,Engaged,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA6fYAE,Bedford Square [fmr Maplewood Court],Contract Negotiations,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA6iYAE,Green Valley Mobile Estates Encinitas,PAL/ROE Complete,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA7oYAE,Terrace Garden Apartments,Engaged,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA8kYAE,Santa Helena Park Condominiums,Contract Negotiations,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkA8yYAE,78th Place Apartments,PAL/ROE Complete,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkABpYAM,Liberty Manor,Engaged,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
