SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Provenance
006WR00000wj8KAYAY,Buenas on Broadway,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=111.5ft nearest=710 E BROADWAY RD UNIT 4 MESA AZ 85204
006WR00000wjKFtYAM,Whitley Place,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=290.0ft nearest=800 WHITLEY RD KELLER TX 76248
006WR00000wjnPJYAY,St. James Manor Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=181.6ft nearest=5900 NW RADIAL HWY UNIT 131 OMAHA NE 68104
006WR00000wjnPLYAY,The Normandy,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=193.6ft nearest=9315 WESTERN AVE UNIT 3 OMAHA NE 68114
006WR00000wjnPMYAY,The Mill,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=73.8ft nearest=6135 MILITARY AVE OMAHA NE 68104
006WR00000wjnPNYAY,Cypress Pointe II Senior Housing,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=108.0ft nearest=6025 HARTMAN AVE UNIT 70 OMAHA NE 68104
006WR00000wjnliYAA,The Highlands at Brentwood,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=494.1ft nearest=233 N VAL VISTA DR UNIT 595 MESA AZ 85205
006WR00000wjnmCYAQ,Summit Townomes,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=48.1ft nearest=9768 WESTERN PLZ OMAHA NE 68114
006WR00000wk1EHYAY,Boyd South Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=94.4ft nearest=400 S ALLEN ST UNIT 406 BOYD TX 76023
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=65.2ft nearest=105 W FORD ST DECATUR TX 76234
006WR00000wk1EJYAY,Aspen Ridge,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=129.1ft nearest=820 E BROWN RD UNIT OFFICE MESA AZ 85203
006WR00000wk1ELYAY,Arcos De Mesa,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=255.4ft nearest=1010 N STAPLEY DR UNIT 120 MESA AZ 85203
006WR00000wk1EMYAY,Hunters Pointe (Mesa),Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=113.9ft nearest=233 N VAL VISTA DR UNIT 807 MESA AZ 85205
006WR00000wk1EUYAY,Parkway Plaza,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=67.5ft nearest=5888 GREEN VALLEY CIR UNIT 5888 CULVER CITY CA 90230
006WR00000wk1EVYAY,The Reserve,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=178.5ft nearest=6121 GLADE AVE UNIT B418 WOODLAND HILLS CA 91367
006WR00000wk1EWYAY,Ladera Townhouse,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=64.7ft nearest=6233 S LA BREA AVE OFFICE INGLEWOOD CA 90056
006WR00000wk1EXYAY,Crestview Place Apartments,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=127.6ft nearest=950 W THOMPSON ST UNIT 126 DECATUR TX 76234
