Id,Name,StageName,Sales_Status__c,RecordType.Name,Owner.Name
006WR00000yvv0eYAA,Coral Cove HOA,Closed Lost,Contact Pending,MDU/SFU,Justin Barry
006WR00000wk3OAYAY,El Camino 76 Mobile Estates,Closed Lost,Reached Out - Pending Response,MDU/SFU,Justin Barry
006WR00000yvLI6YAM,Riviera Mobile Homes,Closed Lost,Reached Out - Pending Response,MDU/SFU,Justin Barry
006WR00000ywSNxYAM,San Pacifico HOA,On Hold,Contact Pending,MDU/SFU,Justin Barry
006WR000011kjJ8YAI,ROE - 10027 HARMON RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJCYAY,ROE - 1120 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kit3YAA,ROE - 1128 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJeYAI,ROE - 1130 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJ3YAI,ROE - 1150 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitPYAQ,ROE - 1212 N HIGHWAY 377  ROANOKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kit7YAA,ROE - 200 N KIMBALL AVE SOUTHLAKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitAYAQ,ROE - 2600 E SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJWYAY,ROE - 2829 HERITAGE TRACE DR FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitDYAQ,ROE - 500 W SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJjYAI,ROE - 515 W SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjKOYAY,ROE - 5420 BASSWOOD BLVD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJuYAI,ROE - 630 E SOUTHLAKE BLVD SOUTHLAKE TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjK9YAI,ROE - 6500 DENTON HWY WATAUGA TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJbYAI,ROE - 7420 N BEACH ST FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitHYAQ,ROE - 808 SCHOOLHOUSE RD HASLET TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJ4YAI,ROE - 850 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjK5YAI,ROE - 875 KELLER PKWY KELLER TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjKBYAY,ROE - 8801 DAVIS BLVD KELLER TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitiYAA,ROE - 8849 N TARRANT PKWY N RICHLAND HILLS TX,Proposal Sent,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJ1YAI,ROE - 10011 HARMON RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJIYAY,ROE - 1919 GOLDEN HEIGHTS RD HASLET TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kit5YAA,ROE - 1925 GOLDEN HEIGHTS RD HASLET TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJoYAI,ROE - 1927 GOLDEN HEIGHTS RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJ9YAI,ROE - 1929 GOLDEN HEIGHTS RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjK3YAI,ROE - 1937 GOLDEN HEIGHTS RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJhYAI,ROE - 1943 GOLDEN HEIGHTS RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJ2YAI,ROE - 1953 GOLDEN HEIGHTS RD HASLET TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJpYAI,ROE - 2163 GOLDEN HEIGHTS RD HASLET TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJqYAI,ROE - 2617 BLUE MOUND W LN HASLET TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJtYAI,ROE - 6245 RUFE SNOW DR WATAUGA TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kitdYAA,ROE - 6600 DENTON HWY WATAUGA TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjKIYAY,ROE - 828 BOYD RD AZLE TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjJRYAY,ROE - 880 BLUE MOUND W RD FORT WORTH TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR000011kjKDYAY,ROE - 950 S FM 156  JUSTIN TX,Contract Negotiations,Reached Out - Pending Response,Business ROE,Rosemarie Shortino
006WR00000wkC7YYAU,Westmount at The District Apartments,Contract Negotiations,Reached Out - Pending Response,MDU/SFU,Bill Holick
006WR00000wkC7WYAU,Westmount at Urban Trails,Contract Negotiations,Reached Out - Pending Response,MDU/SFU,Bill Holick
