SF_Id,Name,Field,Before,After,Source,Action,Timestamp
a0BWR000008vIEv2AM,AGR-1571,IronClad_Record__c,,a0HWR00000ndSnO2AU,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vIEv2AM,AGR-1571,Status__c,,Sign,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vIEv2AM,AGR-1571,Signed_Date__c,,2026-03-19,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vIJl2AM,AGR-1572,IronClad_Record__c,,a0HWR00000ndSnO2AU,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vIJl2AM,AGR-1572,Status__c,,Sign,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vIJl2AM,AGR-1572,Signed_Date__c,,2026-03-19,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vLsj2AE,AGR-1573,IronClad_Record__c,,a0HWR00000ndSnO2AU,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vLsj2AE,AGR-1573,Status__c,,Sign,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
a0BWR000008vLsj2AE,AGR-1573,Signed_Date__c,,2026-03-19,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
006WR000015bWdRYAU,1142 E Southern Ave,CampaignId,,701WR00001Fot1rYAB,2026-05-20-wire-mesa-ranch-roe-agreements.py,PREVIEW,2026-05-20T13:47:48.568051
