Id,Name,Prospective_ISP__c,Prospective_ISPs__c,Confirmed_ISP__c,Confirmed_ISPs__c
006WR00000wiNnYYAU,Talavera,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnZYAU,Grandes Cortes Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnaYAE,Garden Grove,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnbYAE,Rancho Las Palmas,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNncYAE,University Valley Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNndYAE,The Lennox @ Tempe,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNneYAE,Tempe Park Place,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnfYAE,Chesapeake,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNngYAE,Apache Terrace Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnhYAE,Avana Tempe,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNniYAE,La Estancia,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnjYAE,Highland Park (Tempe),Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnkYAE,Omnia Baseline,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnlYAE,San Palmilla,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnmYAE,The Halston,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnnYAE,Villa Real,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNnzYAE,909 West Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo0YAE,CityScape at Lakeshore Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo1YAE,Finisterra,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo2YAE,Emerson Square,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo3YAE,Tamarak Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo4YAE,Tremezzo on the Lake,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo7YAE,Tempe Vista,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo8YAE,IMT Chandler,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNo9YAE,Eastridge Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNoHYAU,Tides at Parkview,Lumen,Lumen / Quantum Fiber,,
006WR00000wiNoTYAU,Charleston Gardens,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoUYAU,Finn Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoVYAU,Haven at Lone Mountain Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoWYAU,Lumina on 19th Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoXYAU,Olive Queen Creek,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoYYAU,Casa Santa Fe,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNocYAE,Jones13,FiberFirst,FiberFirst,,
006WR00000wiNodYAE,Paisley & Pointe at Centennial Hills,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoeYAE,Country Oaks Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNofYAE,Woodridge Villas,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNogYAE,Senator Richard Bryon Senior Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNohYAE,Noel Crest Condos HOA,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNoiYAE,Lattitude,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNojYAE,Elysian at Post,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNolYAE,Talisman Condos,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNomYAE,Fiesta Condos,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNorYAE,Jerome Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNosYAE,Sandstone Apartments,FiberFirst,FiberFirst,,
006WR00000wiNotYAE,Lyn Terrace Apartments _Lumen Fl_Marvin,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNouYAE,Lakeside Heights,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wiNp3YAE,Cimarron Apartments LV,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wj8JxYAI,Tuscan Isle,Lumen,Lumen / Quantum Fiber,,
006WR00000wj8K1YAI,Westchase Apartments,Lumen,Lumen / Quantum Fiber,,
006WR00000wj8KXYAY,Residences at Sorensen Square,FiberFirst,FiberFirst,,
006WR00000wj8KcYAI,Camelot Village,Lumen,Lumen / Quantum Fiber,,
006WR00000wj8KwYAI,Willow Ridge Townhomes,FiberFirst,FiberFirst,,
006WR00000wjKFoYAM,Versante Apartment Homes,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
006WR00000wjKFyYAM,Aura 36Hundred,FiberFirst,FiberFirst,,
006WR00000wjKGNYA2,Western Oaks Apartments,FiberFirst,FiberFirst,,
006WR00000wjKGPYA2,Reynolds Crossing,FiberFirst,FiberFirst,,
006WR00000wjdkLYAQ,Westridge Apartments,Lumen,Lumen / Quantum Fiber,Lumen,Lumen / Quantum Fiber
