SF_Id,ST_Build_Status,ST_Activation_Actual,Source,Timestamp,Action
006WR00000wkDuFYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZjYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZwYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEc8YAE,2. Project - Design Phase,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EjYAI,4. Project - Completed,2025-11-19,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaeYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcTYAU,4. Project - Completed,2024-04-18,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEatYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xwGIXYA2,4. Project - Completed,2025-03-19,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xvwoUYAQ,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuPYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EIYAY,4. Project - Completed,2025-04-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu3YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1ETYAY,4. Project - Completed,2025-07-11,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuJYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuYYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDueYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZtYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaKYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv8YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcfYAE,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaZYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZvYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZkYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EPYAY,4. Project - Completed,2025-06-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xvxiwYAA,4. Project - Completed,2025-01-23,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZhYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbYYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EmYAI,4. Project - Completed,2025-12-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcjYAE,4. Project - Completed,2024-08-09,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xv6y2YAA,3. Project - Construction Phase,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbJYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xw7SBYAY,4. Project - Completed,2025-06-30,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcSYAU,4. Project - Completed,2024-08-21,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbZYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEc0YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEckYAE,4. Project - Completed,2024-05-08,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EJYAY,4. Project - Completed,2025-04-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EKYAY,4. Project - Completed,2025-04-30,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcUYAU,4. Project - Completed,2025-07-14,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuiYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbjYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcaYAE,4. Project - Completed,2024-08-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDutYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuWYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEceYAE,4. Project - Completed,2025-01-08,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaIYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EiYAI,4. Project - Completed,2025-10-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaiYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuTYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa6YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZlYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuAYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuBYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1ElYAI,4. Project - Completed,2025-10-16,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1ERYAY,4. Project - Completed,2025-06-26,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EXYAY,4. Project - Completed,2025-07-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaMYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbqYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDvFYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZyYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xwHCzYAM,3. Project - Construction Phase,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaRYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
