SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkDszYAE,Arbor on Broadway (Now Called) Buenas on Broadway,StageName,Prospects,On Hold,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkDszYAE,Arbor on Broadway (Now Called) Buenas on Broadway,Hold_Reason__c,,Other,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkDszYAE,Arbor on Broadway (Now Called) Buenas on Broadway,Sales_Status__c,Reached Out - Pending Response,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkA7lYAE,Ashland Manor Apartments,StageName,Prospects,Proposal Sent,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkA7lYAE,Ashland Manor Apartments,Sales_Status__c,Reached Out - Pending Response,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkDMPYA2,Aspire Fossil Creek,StageName,Prospects,Proposal Sent,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkDMPYA2,Aspire Fossil Creek,Sales_Status__c,Reached Out - Pending Response,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkArrYAE,Astoria Senior Living,StageName,Prospects,Closed Lost,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkArrYAE,Astoria Senior Living,Loss_Reason__c,,No Contact Info,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkArrYAE,Astoria Senior Living,CloseDate,2024-06-05,2026-03-17,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkArrYAE,Astoria Senior Living,Sales_Status__c,Reached Out - Pending Response,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkABeYAM,Azlewood,StageName,Prospects,Closed Lost,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkABeYAM,Azlewood,Loss_Reason__c,,No Contact Info,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkABeYAM,Azlewood,CloseDate,2026-12-12,2026-03-11,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkABeYAM,Azlewood,Sales_Status__c,Contact Pending,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkACfYAM,Bexley Wolf Ranch,StageName,Prospects,Engaged,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkCk8YAE,Bridgewood Townhomes,StageName,Prospecting,Contract Negotiations,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkCk8YAE,Bridgewood Townhomes,Sales_Status__c,Contact Pending,,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,StageName,Prospects,Closed Lost,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,Loss_Reason__c,,Not Interested,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,CloseDate,2023-09-12,2026-01-28,Bill Master List MDU Assignments.xlsm,2026-06-24T11:52:16,UPDATED
