Id,Name,Agreement_Name__c_set,update_result,note_result
006WR00000wiNoaYAE,Southgate Glen,Weatherford_MDU_Southgate Glen Apartments,OK,note-ok
006WR00000wjnPMYAY,The Mill,Omaha_MDU_The Mill Apartments,OK,note-ok
006WR00000wjnlsYAA,The Residences of Holland Lake,Weatherford_MDU_The Residences of Holland Lake,OK,note-ok
006WR00000wjnltYAA,Residences at Holly Oaks,Weatherford_MDU_Residences at Holly Oaks,OK,note-ok
006WR00000wjqCfYAI,Park View Terrace,Weatherford_MDU_Park View Terrace Apartments,OK,note-ok
006WR00000wjqCuYAI,River Junction,Leander_MDU_River Junction,OK,note-ok
006WR00000wk3P6YAI,Shady Oaks,Georgetown_MDU_Shady Oaks,OK,note-ok
006WR00000wk3PBYAY,Independence Place,Killeen_MDU_Independence Place,OK,note-ok
006WR00000wk9TuYAI,302 North,Georgetown_MDU_302 North,OK,note-ok
006WR00000wk9Z4YAI,Taylor Square Apartments,Taylor_MDU_Taylor_Square,OK,note-ok
006WR00000wk9Z6YAI,Stillhouse Flats,Harker Heights_MDU_Stillhouse Flats,OK,note-ok
006WR00000wkA6cYAE,Regency Lakeside Apartments,Omaha_MDU_Regency Lakeside Apartments,OK,note-ok
006WR00000wkA9LYAU,Stepping Stone Apartments,Taylor_MDU_Stepping Stone Apartments,OK,note-ok
006WR00000wkACfYAM,Bexley Wolf Ranch,Georgetown_MDU_Bexley Wolf Ranch,OK,note-ok
006WR00000wkBn3YAE,Cove Village Apartments,Copperas Cove_MDU_Cove Village Apartments,OK,note-ok
006WR00000wkBp6YAE,Willow Creek Apartments,Copperas Cove_MDU_Willow Creek Apartments,OK,note-ok
006WR00000wkBpJYAU,San Gabriel Crossing,Liberty_Hill_MDU_San Gabriel Crossing Apts,OK,note-ok
006WR00000wkClxYAE,NorthStar Georgetown,Georgetown_MDU_NorthStar Georgetown,OK,note-ok
006WR00000wkClyYAE,The Wesleyan,Georgetown_MDU_The_Wesleyan_Independant_Living,OK,note-ok
006WR00000wkEzfYAE,Bell Presidio,Fort Worth_MDU_Bell Presidio,OK,note-ok
006WR00000wkEzgYAE,SageStone Village,Fort Worth_MDU_SageStone Village,OK,note-ok
006WR00000wkEzhYAE,SageWater Village,Fort Worth_MDU_SageWater Village,OK,note-ok
006WR00000wkFbmYAE,Lone Oak Apartments,Weatherford_MDU_Lone Oak Apartments,OK,note-ok
006WR00000wkFbpYAE,Remington Ridge,Weatherford_MDU_Remington Ridge,OK,note-ok
006WR000011a3xbYAA,1404 Chico Hwy MHP,Bridgeport_MDU_1404 Chico Hwy MHP,OK,note-ok
006WR000011anIzYAI,Alhambra Apartments,Omaha_MDU_Alhambra Apartments,OK,note-ok
006WR000011awSdYAI,Lookout Ridge Apartments,Harker Heights_MDU_Lookout Ridge Apartments,OK,note-ok
006WR000011bcuxYAA,Ville de Sante Apartments,Omaha_MDU_Ville de Sante Apartments,OK,note-ok
006WR000011bsupYAA,Benson Apartments,Omaha_MDU_Benson Apartments,OK,note-ok
006WR000011bxo2YAA,Sunset Arms,Harker_Heights_MDU_Sunset Arms,OK,note-ok
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,Omaha_MDU_5120-5128 NW Radial Hwy,OK,note-ok
006WR000011cGDyYAM,University Place Townhomes,Georgetown_MDU_University Place Townhomes,OK,note-ok
006WR000011cMfyYAE,Discovery Village at Alliance Town Center (Riverside),Fort Worth_MDU_Discovery Village at Alliance Town Center,OK,note-ok
006WR000011cNVaYAM,Autumn Heights,Killeen_MDU_Autumn Heights,OK,note-ok
006WR000011cWtpYAE,Heritage Apartments,Omaha_MDU_Heritage Apartments,OK,note-ok
006WR000011cWvRYAU,Sandra Ann Apartments,Omaha_MDU_Sandra Ann Apartments,OK,note-ok
