Id,Name,old_Agreement_Name__c,new_Agreement_Name__c,matched_address
006WR00000wiNoaYAE,Southgate Glen,,Weatherford_MDU_Southgate Glen Apartments,"1712 Martin Dr, Weatherford, TX, USA"
006WR00000wjnPMYAY,The Mill,,Omaha_MDU_The Mill Apartments,"6152 Military Avenue, Omaha, NE, USA"
006WR00000wjnlsYAA,The Residences of Holland Lake,,Weatherford_MDU_The Residences of Holland Lake,"1650 Holland Lake Dr, Weatherford, TX, USA"
006WR00000wjnltYAA,Residences at Holly Oaks,,Weatherford_MDU_Residences at Holly Oaks,"2129 Holly Oaks Ln, Weatherford, TX, USA"
006WR00000wjqCfYAI,Park View Terrace,,Weatherford_MDU_Park View Terrace Apartments,"1301 Holland Lake Dr, Weatherford, TX, USA"
006WR00000wjqCuYAI,River Junction,,Leander_MDU_River Junction,"117 Talon Grasp Trail, Leander, TX, USA"
006WR00000wk3P6YAI,Shady Oaks,,Georgetown_MDU_Shady Oaks,"501 East Janis Drive, Georgetown, TX, USA"
006WR00000wk3PBYAY,Independence Place,,Killeen_MDU_Independence Place,"5016 Watercrest Road, Killeen, TX, USA"
006WR00000wk9TuYAI,302 North,,Georgetown_MDU_302 North,"302 Apple Creek Drive, Georgetown, TX, USA"
006WR00000wk9Z4YAI,Taylor Square Apartments,,Taylor_MDU_Taylor_Square,"1005 Cottonbowl Drive, Taylor, TX, USA"
006WR00000wk9Z6YAI,Stillhouse Flats,,Harker Heights_MDU_Stillhouse Flats,"2926 Cedar Knob Road, Harker Heights, TX, USA"
006WR00000wkA6cYAE,Regency Lakeside Apartments,,Omaha_MDU_Regency Lakeside Apartments,"10506 Pacific St, Omaha, NE, USA"
006WR00000wkA9LYAU,Stepping Stone Apartments,,Taylor_MDU_Stepping Stone Apartments,"2501 Davis Street, Taylor, TX, USA"
006WR00000wkACfYAM,Bexley Wolf Ranch,,Georgetown_MDU_Bexley Wolf Ranch,"2300 Wolf Ranch Parkway, Georgetown, TX, USA"
006WR00000wkBn3YAE,Cove Village Apartments,,Copperas Cove_MDU_Cove Village Apartments,"1102 Golf Course Road, Copperas Cove, TX, USA"
006WR00000wkBp6YAE,Willow Creek Apartments,,Copperas Cove_MDU_Willow Creek Apartments,"307 Judy Ln, Copperas Cove, TX, USA"
006WR00000wkBpJYAU,San Gabriel Crossing,,Liberty_Hill_MDU_San Gabriel Crossing Apts,"155 Hillcrest Lane, Liberty Hill, TX, USA"
006WR00000wkClxYAE,NorthStar Georgetown,,Georgetown_MDU_NorthStar Georgetown,"2401 Westinghouse Road, Georgetown, TX, USA"
006WR00000wkClyYAE,The Wesleyan,,Georgetown_MDU_The_Wesleyan_Independant_Living,"139 Estrella Crossing, Georgetown, TX, USA"
006WR00000wkEzfYAE,Bell Presidio,,Fort Worth_MDU_Bell Presidio,"8933 Proper St, Fort Worth, Texas, 76177"
006WR00000wkEzgYAE,SageStone Village,,Fort Worth_MDU_SageStone Village,"3255 Sagestone Dr, Fort Worth, TX 76177"
006WR00000wkEzhYAE,SageWater Village,,Fort Worth_MDU_SageWater Village,"9340 Feather Grass Ln, Fort Worth, TX 76177"
006WR00000wkFbmYAE,Lone Oak Apartments,,Weatherford_MDU_Lone Oak Apartments,"1801 Lone Oak Rd, Weatherford, TX, USA"
006WR00000wkFbpYAE,Remington Ridge,,Weatherford_MDU_Remington Ridge,"360-396 Kirkpatrick Street, Weatherford, TX, USA"
006WR000011a3xbYAA,1404 Chico Hwy MHP,,Bridgeport_MDU_1404 Chico Hwy MHP,"1404 Chico Hwy, Bridgeport, TX 76426, USA"
006WR000011anIzYAI,Alhambra Apartments,,Omaha_MDU_Alhambra Apartments,"4902 Capitol Ave, Omaha, NE 68132, USA"
006WR000011awSdYAI,Lookout Ridge Apartments,,Harker Heights_MDU_Lookout Ridge Apartments,"201 Lookout Ridge Blvd, Harker Heights, TX, USA"
006WR000011bcuxYAA,Ville de Sante Apartments,,Omaha_MDU_Ville de Sante Apartments,"6250 Ville De Sante Dr, Omaha, NE 68104, USA"
006WR000011bsupYAA,Benson Apartments,,Omaha_MDU_Benson Apartments,"5132 NW Radial Hwy, Omaha, NE 68104, USA"
006WR000011bxo2YAA,Sunset Arms,,Harker_Heights_MDU_Sunset Arms,"612 S Ann Blvd, Harker Heights, TX 76548, USA"
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,,Omaha_MDU_5120-5128 NW Radial Hwy,"5120 NW Radial Hwy, Omaha, NE 68104, USA"
006WR000011cGDyYAM,University Place Townhomes,,Georgetown_MDU_University Place Townhomes,"1211 Haven Ln, Georgetown, TX 78626, USA"
006WR000011cMfyYAE,Discovery Village at Alliance Town Center (Riverside),,Fort Worth_MDU_Discovery Village at Alliance Town Center,"9901 N Riverside Dr, Fort Worth, TX, USA"
006WR000011cNVaYAM,Autumn Heights,,Killeen_MDU_Autumn Heights,"1611 N College St, Killeen, TX 76541, USA"
006WR000011cWtpYAE,Heritage Apartments,,Omaha_MDU_Heritage Apartments,"4907 Chicago St, Omaha, NE 68132, USA"
006WR000011cWvRYAU,Sandra Ann Apartments,,Omaha_MDU_Sandra Ann Apartments,"5824 Erskine St, Omaha, NE 68104, USA"
