Id,Name,result
006WR00000wk9TuYAI,302 North,note-ok
006WR00000wk9ZzYAI,4651 Dodge St,note-ok
006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,note-ok
006WR00000wkDMPYA2,Aspire Fossil Creek,note-ok
006WR00000wkA6fYAE,Bedford Square [fmr Maplewood Court],note-ok
006WR00000wkACfYAM,Bexley Wolf Ranch,note-ok
006WR00000wkACEYA2,Birchwood Apts,note-ok
006WR00000wk9ZyYAI,Camelot VI,note-ok
006WR00000wk9SpYAI,Carmel Creekside,note-ok
006WR00000wkA6WYAU,Dundee Flats,note-ok
006WR00000wk3O8YAI,Elm Grove Estates,note-ok
006WR00000wkCjMYAU,Gardens of Taylor,note-ok
006WR00000wkA6dYAE,Howard Street,note-ok
006WR00000wk9SqYAI,Hunter's Glen Apartments,note-ok
006WR00000wkA6RYAU,Langston Loge,note-ok
006WR00000wk3PFYAY,Liberty Manor,note-ok
006WR00000wjnlXYAQ,MAA Boulder Ridge,note-ok
006WR00000wjnlVYAQ,MAA Copper Ridge,note-ok
006WR00000wkBpKYAU,Oak Ridge,note-ok
006WR00000wk9ZrYAI,Pacific Gardens Apartments,note-ok
006WR00000wjnluYAA,Parkside Townhomes,note-ok
006WR00000wj8KqYAI,Parkview (AKA Elevate Apartments),note-ok
006WR00000wkA95YAE,Parkwood Apartments,note-ok
006WR00000wkDMXYA2,Pioneer Crossing Apartments,note-ok
006WR00000wjnlLYAQ,Ridge Point,note-ok
006WR00000wjnlMYAQ,Riverside Apartments,note-ok
006WR00000wjnPOYAY,Riviera Court,note-ok
006WR00000wkDMRYA2,Royal Gardens,note-ok
006WR00000wjnPJYAY,St. James Manor Apartments,note-ok
006WR00000wkA9LYAU,Stepping Stone Apartments,note-ok
006WR00000wk9Z6YAI,Stillhouse Flats,note-ok
006WR00000wk3O7YAI,Stone Vista,note-ok
006WR00000wjnmCYAQ,Summit Townomes,note-ok
006WR00000wk9Z4YAI,Taylor Square Apartments,note-ok
006WR00000wkA7oYAE,Terrace Garden Apartments,note-ok
006WR00000wk3PDYAY,The Arbors of Taylor,note-ok
006WR00000wjnPMYAY,The Mill,note-ok
006WR00000wjnPLYAY,The Normandy,note-ok
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,note-ok
006WR00000wkDMMYA2,Vantage at Hutto,note-ok
006WR00000wkC7zYAE,Williamsburg Townhomes and Apartments,note-ok
