Id,name,state,st_status,old_property_category,new_property_category,old_mdu_categorization,new_mdu_categorization
006WR00000wiNoaYAE,"Southgate Glen",TX,Near Net,Cat 3,Cat 2,,NearNet
006WR00000wj8JTYAY,"Acero Val Vista",AZ,Out of Footprint,,Cat 3,,OffNet
006WR00000wj8JYYAY,"Marigold Ranch at San Tan Village",AZ,Out of Footprint,,Cat 3,,OffNet
006WR00000wjKFoYAM,"Versante Apartment Homes",AZ,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wjnPMYAY,"The Mill",NE,Near Net,Cat 1,Cat 2,,NearNet
006WR00000wjnlsYAA,"The Residences of Holland Lake",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wjnltYAA,"Residences at Holly Oaks",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wjnmKYAQ,"University Apartments",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wjqCfYAI,"Park View Terrace",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wjqCuYAI,"River Junction",TX,Near Net,Cat 3,Cat 2,,NearNet
006WR00000wk1EFYAY,"Affordable Storage",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wk1EJYAY,"Aspen Ridge",AZ,Near Net,Cat 1,Cat 2,NearNet,NearNet
006WR00000wk1EKYAY,"Overlook 380",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1ELYAY,"Arcos De Mesa",AZ,Near Net,Cat 1,Cat 2,NearNet,NearNet
006WR00000wk1ENYAY,"Valencia Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EOYAY,"Midwest Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EPYAY,"Big Sky Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EQYAY,"Hitt Road Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1ESYAY,"Willow Creek",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1ETYAY,"Centennial Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EUYAY,"Parkway Plaza",CA,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EVYAY,"The Reserve",CA,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EWYAY,"Ladera Townhouse",CA,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EYYAY,"Cielo Apartments",CA,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EZYAY,"The Overlook at Thornton",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EaYAI,"Southgate Apartments",UT,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EbYAI,"Valley View Estates",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EdYAI,"Cougar Creek Apartments",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk1EfYAI,"Navajo Hills",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EgYAI,"Sun Valley Ranch Apartments",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EiYAI,"Yavapai Hills Apartments",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EkYAI,"Cielo on 5th (f/k/a Equinox on 5th)",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk1EoYAI,"Villa Pacifica Apartments - Tucson",AZ,Out of Footprint,Cat 1,Cat 3,OffNet,OffNet
006WR00000wk3PFYAY,"Liberty Manor",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wk9SsYAI,"Sandpiper Pointe",CA,On Net,Cat 1,Cat 1,,OnNet
006WR00000wk9T3YAI,"Mcqueen Landing HOA",AZ,On Net,,Cat 1,,OnNet
006WR00000wk9T5YAI,"Park Place Village Condominium",AZ,On Net,Cat 1,Cat 1,,OnNet
006WR00000wk9TBYAY,"San Clemente",AZ,Out of Footprint,,Cat 3,,OffNet
006WR00000wk9TCYAY,"San Angelin",AZ,On Net,,Cat 1,,OnNet
006WR00000wk9TGYAY,"San Miguel Apartments",AZ,On Net,,Cat 1,,OnNet
006WR00000wk9ULYAY,"Cottages of Edina",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wk9UvYAI,"The Resort at Encinitas",CA,On Net,Cat 1,Cat 1,,OnNet
006WR00000wk9Z4YAI,"Taylor Square Apartments",TX,Near Net,Cat 1,Cat 2,,NearNet
006WR00000wkA6cYAE,"Regency Lakeside Apartments",NE,Near Net,Cat 2,Cat 2,,NearNet
006WR00000wkA9GYAU,"College Park",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkA9HYAU,"Cypress View Villas",TX,Near Net,,Cat 2,,NearNet
006WR00000wkA9LYAU,"Stepping Stone Apartments",TX,Near Net,Cat 1,Cat 2,,NearNet
006WR00000wkACGYA2,"Bella Vita",AZ,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkAVPYA2,"Benedict Park Place",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkAjtYAE,"Camino Colony",CA,On Net,,Cat 1,,OnNet
006WR00000wkAk9YAE,"Four Seasons Condominiums of Winter Park",FL,Out of Footprint,,Cat 3,,OffNet
006WR00000wkAkHYAU,"Adiamo Palm Valley",AZ,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkArKYAU,"Lawrence Lofts",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkArMYAU,"Madison Crossing",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkAs5YAE,"Seattle Heights",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkAsCYAU,"Alcove at the Islands",AZ,Near Net,Cat 3,Cat 2,,NearNet
006WR00000wkBG5YAM,"1st Avenue Apartments (Old Name - Southwest Villa)",AZ,On Net,,Cat 1,,OnNet
006WR00000wkBn3YAE,"Cove Village Apartments",TX,Near Net,Cat 3,Cat 2,,NearNet
006WR00000wkBojYAE,"The Outlook at Windhaven",TX,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkBp6YAE,"Willow Creek Apartments",TX,Near Net,Cat 2,Cat 2,,NearNet
006WR00000wkBpHYAU,"Liberty Trails Apartments",TX,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkBpJYAU,"San Gabriel Crossing",TX,Near Net,Cat 2,Cat 2,,NearNet
006WR00000wkBpSYAU,"Stubblefield Park",TX,Near Net,Cat 2,Cat 2,,NearNet
006WR00000wkC7XYAU,"Villas Mesa 2",AZ,On Net,,Cat 1,,OnNet
006WR00000wkClIYAU,"544 Southern",AZ,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkDLwYAM,"Waterford Place Apartments",AZ,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkDLxYAM,"Lemon & Pear Tree Apartments",AZ,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkDM3YAM,"Luxe at Ocotillo",AZ,On Net,Cat 2,Cat 1,,OnNet
006WR00000wkDM4YAM,"Ocotillo Bay",AZ,On Net,Cat 2,Cat 1,,OnNet
006WR00000wkDMoYAM,"Lauren Apartments",TX,Out of Footprint,,Cat 3,,OffNet
006WR00000wkDMzYAM,"Apache Bend Apartments",TX,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDtnYAE,"La Costa at Dobson Ranch",AZ,On Net,Cat 1,Cat 1,,OnNet
006WR00000wkDtxYAE,"Olive East",AZ,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDu0YAE,"Cielo II Apartments",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkDu1YAE,"The M at Lakeline",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkDu2YAE,"Palmero by the Park (f/k/a Overlook by the Park)",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkDu3YAE,"La Costa Paloma",CA,On Net,Cat 2,Cat 1,NearNet,OnNet
006WR00000wkDu5YAE,"Southwest Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDu6YAE,"500 NE 70th",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDu7YAE,"San Montego Luxury Apartments",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkDu8YAE,"The Turn Apartments",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkDuNYAU,"6311-6321 Roosevelt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuPYAU,"7000 Roosevelt Way Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuRYAU,"7101 Roosevelt Way Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuSYAU,"The Fifth Avenue",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
