Id,site,old_stage,old_loss,new_stage,new_loss,result,detail
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkCjgYAE,Bridgeport_MDU_Bridgeport_Estates,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClYYAU,Fort Worth_MDU_Collection Champions Circle,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDMSYA2,Fort Worth_MDU_Creekside at North Beach,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCjOYAU,Fort Worth_MDU_Northpoint Villas,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClbYAE,Fort Worth_MDU_Solea Keller,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDt1YAE,Fort Worth_MDU_The Harrison at Heritage,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDMQYA2,Fort Worth_MDU_The Opal Fort Worth,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCmMYAU,Georgetown_MDU_Allora North Georgetown,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDsvYAE,Georgetown_MDU_Park_Place,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDMZYA2,Georgetown_MDU_Parkside Crossing Condominiums,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wk9Z9YAI,Georgetown_MDU_Residences In Stillwater,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDLsYAM,Georgetown_MDU_Williamson At The Overlook,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwGtdYAE,HARKER_HEIGHTS_MDU_Cedar_Knob_RD MHP,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000xwGdVYAU,HARKER_HEIGHTS_MDU_JR's_Trailer_Park,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkDtHYAU,HARKER_HEIGHTS_MDU_Landmark Oak_Mobile_Park,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwAl0YAE,Harker_Heights_MDU_Mockingbird Ln,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkABwYAM,HARKER_HEIGHTS_MDU_Phesant View MHP,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkABrYAM,HARKER_HEIGHTS_MDU_Star_Estates_Mobile_Park,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwGaHYAU,Harker_Heights_MDU_Village Apts,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkCjiYAE,JARRELL_MDU_SANDSTONE DR Townhomes,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDtKYAU,JARRELL_MDU_Valley View RV Park,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wjKFsYAM,Keller_MDU_Evergreen At Keller,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xw4XZYAY,Killeen_MDU_1103-1109 Harbour Ave,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkDtMYAU,KILLEEN_MDU_3103_S_Fort_Hood  MHP,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xw1oAYAQ,KILLEEN_MDU_601_SE_13th_AVE_Mobile_Park,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkDM2YAM,Killeen_MDU_Archstone Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkABxYAM,Killeen_MDU_Century Park Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkA9DYAU,Killeen_MDU_College Park Apartment,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClpYAE,Killeen_MDU_Copper Mountain,Closed Lost,Lost to Competitor,Prospects,,OK,
006WR00000wkDt8YAE,KILLEEN_MDU_DIMPLE ST MHP,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDsxYAE,Killeen_MDU_Highlander Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wk9Z7YAI,Killeen_MDU_Hillcrest Apts,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCldYAE,Killeen_MDU_Keystone Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDtLYAU,Killeen_MDU_Killeen Housing Authority,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDtFYAU,Killeen_MDU_Kings Arms Apartment II,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClOYAU,Killeen_MDU_Lakeview Apts,Prospects,,Closed Lost,Existing Contract,OK,
006WR00000wkCkWYAU,KILLEEN_MDU_Liberty_Landing,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkABzYAM,KiLLEEN_MDU_Lowrance HOA,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClLYAU,Killeen_MDU_Morgan Manor Apts,Prospects,,Closed Lost,Existing Contract,OK,
006WR00000wk9SvYAI,Killeen_MDU_Park Place,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDM8YAM,Killeen_MDU_Sone Creek Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wk9STYAY,Killeen_MDU_Stone Ranch,Prospecting,,Prospects,,OK,
006WR00000wk9StYAI,Killeen_MDU_Summer Park,On Hold,,Prospects,,OK,
006WR00000wkDMVYA2,Killeen_MDU_The Doral,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkClGYAU,Killeen_MDU_The Grove,On Hold,,Prospects,,OK,
006WR00000wkA92YAE,Killeen_MDU_The Springs at 1100,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wk9S2YAI,Killeen_MDU_The Veranda Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wjKGNYA2,Killeen_MDU_Western Oaks Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwBIsYAM,Mineral Wells_MDU_707 NW 4th Ave,Closed Lost,Other,Prospects,,OK,
006WR00000wkABqYAM,Mineral Wells_MDU_The Dalton Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkC70YAE,NOLANVILLE_MDU_Twin_Oaks_II_Park,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwEzuYAE,Omaha_MDU_5314-5322 Corby St,Closed Lost,Other,Prospects,,OK,
006WR000011bsupYAA,Omaha_MDU_Benson Apartments,Prospecting,,Prospects,,OK,
006WR00000wkA8fYAE,Omaha_MDU_Bernard Richard Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDswYAE,Omaha_MDU_Crown Tower Apartment Complex,Closed Lost,Other,Prospects,,OK,
006WR00000wkA8IYAU,Omaha_MDU_Keystone Park Apts,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wj8KHYAY,Omaha_MDU_Kings Gate Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xwGFJYA2,Omaha_MDU_Park Lane Apartments,Closed Lost,Other,Prospects,,OK,
006WR00000xwFUXYA2,OMAHA_MDU_Redman AVE APTS,Closed Lost,Other,Prospects,,OK,
006WR00000wj8KQYAY,Omaha_MDU_Arboretum Village,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wjnlZYAQ,Omaha_MDU_Bentley by Broadmoor,Closed Lost,Lost to Competitor,Closed Lost,Existing Contract,OK,
006WR00000wkA91YAE,Omaha_MDU_Bloomfield,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkBTiYAM,Omaha_MDU_Clove Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDsJYAU,Omaha_MDU_Courtyard 72,Closed Lost,Lost to Competitor,Prospects,,OK,
006WR00000wj8KTYAY,Omaha_MDU_Embassy Park Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDMTYA2,Omaha_MDU_Martinique and Normandy,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCkfYAE,Omaha_MDU_Summit & Bloomfield Townhomes,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCjjYAE,Omaha_MDU_Irvington Heights,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkBTqYAM,Omaha_MDU_Woodbridge Senior Living,Closed Lost,No Budget / Lost Funding,Prospects,,OK,
006WR00000xvzZSYAY,Omaha_MDU_Kelli-Gene Apts,Closed Lost,Other,Prospects,,OK,
006WR00000xvcMkYAI,Omaha_MDU_1015 N 47TH AVE,Closed Lost,Other,Prospects,,OK,
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,Closed Lost,Other,Prospects,,OK,
006WR00000xwFW9YAM,Omaha_MDU_4505 Lafayette Ave Halford Apartments,Closed Lost,Other,Prospects,,OK,
006WR00000xwFZNYA2,Omaha_MDU_4513 Lafayette Ave,Closed Lost,Other,Prospects,,OK,
006WR00000xwFazYAE,Omaha_MDU_4524 Lafayette Ave,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xw49MYAQ,Omaha_MDU_4544 NICHOLAS ST,Closed Lost,Other,Prospects,,OK,
006WR00000xwFj3YAE,Omaha_MDU_4705 Burdette St,Closed Lost,Other,Prospects,,OK,
006WR00000xuPxsYAE,Omaha_MDU_4723-4725-4727 Cass St,Closed Lost,Other,Prospects,,OK,
006WR00000xvdKRYAY,Omaha_MDU_4804-4806 Capital Ave,Closed Lost,Other,Prospects,,OK,
006WR00000xwG0nYAE,Omaha_MDU_4904 Davenport St,Closed Lost,Other,Prospects,,OK,
006WR00000xwChyYAE,Omaha_MDU_4907 Davenport St,Closed Lost,Other,Prospects,,OK,
006WR00000xufUnYAI,Omaha_MDU_4923-4925 Webster St,Closed Lost,Other,Prospects,,OK,
006WR00000xwG8rYAE,Omaha_MDU_5005-5007 California St,Closed Lost,Other,Prospects,,OK,
006WR00000xwGDhYAM,Omaha_MDU_5102 Capital Ave,Closed Lost,Other,Prospects,,OK,
006WR00000xviQYYAY,Omaha_MDU_618-636 N 46th St,Closed Lost,Other,Prospects,,OK,
006WR00000xwGOzYAM,Omaha_MDU_706 N 50th St,Closed Lost,Other,Prospects,,OK,
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Closed Lost,Other,Prospects,,OK,
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Closed Lost,Other,Prospects,,OK,
006WR00000xwFntYAE,Omaha_MDU_Parkgate Apartments,Closed Lost,Other,Prospects,,OK,
006WR00000xvXYPYA2,Omaha_MDU_Sweet Briar,Closed Lost,Other,Prospects,,OK,
006WR00000wkA8qYAE,Omaha_MDU_Aspen Condos,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkDMJYA2,Omaha_MDU_Beacon Hill Apartments,Closed Lost,Lost to Competitor,Closed Lost,Existing Fiber,OK,
006WR00000wkA8aYAE,Omaha_MDU_Beau Manor Townhomes,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkA8VYAU,Omaha_MDU_Copperstone Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkCkqYAE,Omaha_MDU_Lamplighter Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkA8uYAE,Omaha_MDU_Lepuy Apartments,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wjnlWYAQ,Roanoke_MDU_MAA Watermark,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000xuM3zYAE,Taylor_MDU_Dahlberg,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000xw8peYAA,Taylor_MDU_Sunny Lane Apartments,Closed Lost,No Contact Info,Prospects,,OK,
006WR00000wkDt9YAE,Trophy Club_MDU_Indian Creek Duplexes,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
006WR00000wkA7SYAU,Trophy Club_MDU_Vineyards at Trophy Club,Closed Lost,No Decision / Non-Responsive,Prospects,,OK,
