for_row,site,result,new_id,detail
13,Bridgeport_MDU_Bridgeport MHP,FAIL,,"""City, State, and Zip are required for MDU and Business ROE opportunities. These fields cannot be left blank or cleared once set."""
13,Bridgeport_MDU_Bridgeport MHP,OK,006WR00001Fl7pnYAB,
13,Bridgeport_MDU_Bridgeport MHP,SKIP-exists,006WR00001Fl7pnYAB,
16,Bridgeport_MDU_Cobb Ave MHP,OK,006WR00001FkWTcYAN,
82,Fort Worth_MDU_Western Station,OK,006WR00001FkXpTYAV,
131,JARRELL_MDU_Jarrell_Mobile_Homes,OK,006WR00001FlooFYAR,
147,Killeen_MDU_1015-1017 14th St,OK,006WR00001FlqTVYAZ,
155,Killeen_MDU_1318 18th St,OK,006WR00001FlCFuYAN,
157,KILLEEN_MDU_1706_N_2ND_ST,OK,006WR00001Fkd8WYAR,
158,Killeen_MDU_1800-1802 N 4th St,OK,006WR00001FlycHYAR,
165,KILLEEN_MDU_2103_MLK_JR_BLVD apts,OK,006WR00001FloEkYAJ,
166,Killeen_MDU_219 Hold St 8 Plex,OK,006WR00001FirKVYAZ,
175,Killeen_MDU_4707 Westcliff,OK,006WR00001FlPHzYAN,
186,Killeen_MDU_810 W Avenue D,OK,006WR00001FkdmpYAB,
215,KILLEEN_MDU_Girard_CT,OK,006WR00001FjvViYAJ,
217,Killeen_MDU_Hallmark Ave Apts,OK,006WR00001Fkxf4YAB,
287,Killeen_MDU_Windchase Apartments,OK,006WR00001FluYgYAJ,
323,Omaha_MDU_6917 Military Ave Apartments,OK,006WR00001FkS9qYAF,
344,Omaha_MDU_Omaha Housing Authority Benson Tower,OK,006WR00001FlRjaYAF,
367,Omaha_MDU_9140 W Dodge Rd,OK,006WR00001FjkonYAB,
386,Omaha_MDU_Indian Hills Village Court,OK,006WR00001Fl90KYAR,
440,Omaha_MDU_4920 Capital Ave,OK,006WR00001FlY9yYAF,
538,Taylor_MDU_117 E 7th St,OK,006WR00001Fm1FBYAZ,
