Id,Name,ST_Build_Status__c,ST_Activation_Actual__c,ST_Project_Number__c,ST_Design_Inputs_Received__c,ST_Ready_for_Engineering__c,LastModifiedDate
006WR00000wkDuFYAU,Bahia Palms Apartments,1. Project - PAL/ROE Signed,,P-003503,,False,2026-07-08T22:51:37.000+0000
006WR00000wkEZjYAM,Ladera Apartments,1. Project - PAL/ROE Signed,,P-003947,,False,2026-07-08T22:51:37.000+0000
006WR00000wkEZwYAM,Western Hills Apartments,1. Project - PAL/ROE Signed,,P-003613,,False,2026-07-08T22:51:37.000+0000
006WR00000wkEc8YAE,Bristol Square Apartments,2. Project - Design Phase,,P-006738,2026-01-29,True,2026-07-27T17:07:45.000+0000
006WR00000wk1EjYAI,The Renaissance at Stoney Creek,4. Project - Completed,2025-11-19,P-006296,2025-07-14,True,2026-07-08T22:51:16.000+0000
006WR00000wkEaeYAE,Parkway Terrace,1. Project - PAL/ROE Signed,,P-003388,,False,2026-07-08T22:51:38.000+0000
006WR00000wkEcTYAU,Dobson Bay Club HOA,4. Project - Completed,2024-04-18,P-002258,2023-07-27,True,2026-07-08T22:51:38.000+0000
006WR00000wkEatYAE,4459 Fremont Ave Apt,1. Project - PAL/ROE Signed,,P-003377,2024-02-22,False,2026-07-23T22:44:23.000+0000
006WR00000xwGIXYA2,Omaha_MDU_6303 Taylor Cir,4. Project - Completed,2025-03-19,P-005791,2024-12-17,True,2026-07-09T23:52:35.000+0000
006WR00000xvwoUYAQ,Omaha_MDU_4704 Cass St,1. Project - PAL/ROE Signed,,P-006320,2026-01-05,True,2026-07-23T21:41:30.000+0000
006WR00000wkDuPYAU,7000 Roosevelt Way Apt,1. Project - PAL/ROE Signed,,P-003369,2024-04-17,False,2026-07-23T22:44:23.000+0000
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,4. Project - Completed,2025-04-22,P-003509,2024-01-22,True,2026-07-08T22:51:16.000+0000
006WR00000wkDu3YAE,La Costa Paloma,1. Project - PAL/ROE Signed,,P-006102,,False,2026-07-23T22:44:23.000+0000
006WR00000wk1ETYAY,Centennial Patio Home Apartments,4. Project - Completed,2025-07-11,P-004887,2024-06-12,True,2026-07-23T22:44:23.000+0000
006WR00000wkDuJYAU,Vanderbilt Apartments,1. Project - PAL/ROE Signed,,P-003604,,False,2026-07-08T22:51:37.000+0000
006WR00000wkDuYYAU,Lord Tennyson,1. Project - PAL/ROE Signed,,P-006244,,False,2026-07-08T22:51:37.000+0000
