Id,Name,field,action,old_value,new_value
006WR00000wk9SrYAI,Cottonwood Apartments East,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000xuog7YAA,Omaha_MDU_1121 N 48TH ST,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000xvtfKYAQ,Omaha_MDU_1115-1117 N 48TH ST,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000xwEzuYAE,Omaha_MDU_5314-5322 Corby St,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000xwFsjYAE,Omaha_MDU_4752 NICHOLAS ST,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR000011aevbYAA,Church Hill Apartments,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR000011bsupYAA,Benson Apartments,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,Management_Company__c,repointed,001WR00001e7A4kYAE,001WR00001ZtBJ8YAN
006WR00000wj8KaYAI,The Village at Grant Square,Management_Company__c,repointed,001WR00001e5OYRYA2,001WR00001dFpPvYAK
006WR00000wkFbzYAE,The Arthur Apartments,Management_Company__c,repointed,001WR00001e5OYRYA2,001WR00001dFpPvYAK
001WR00001ZtBJ8YAN,Paladino Development Group,Type,updated,,Management Company
001WR00001e7A4kYAE,Paladino Development,Account,deleted,Paladino Development,
001WR00001dFpPvYAK,Burlington Capital Properties,Type,updated,Other,Management Company
001WR00001e5OYRYA2,Burlington Capital,Account,deleted,Burlington Capital,
