Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000wkEbEYAU,Big Oaks Estates,Harker Heights_SFU_Big Oaks Estates,StageName,PAL/ROE Complete,Prospects
006WR00000wkABwYAM,Pleasant View MHP,HARKER_HEIGHTS_MDU_Phesant View MHP,StageName,Prospects,On Hold
006WR00000wkABrYAM,Star Estates MHP,HARKER_HEIGHTS_MDU_Star_Estates_Mobile_Park,StageName,Prospects,On Hold
006WR00000wkDtKYAU,Valley View RV Park,JARRELL_MDU_Valley View RV Park,StageName,Prospects,On Hold
006WR00000xwGYfYAM,Killeen_MDU_119-111 N College St,Killeen_MDU_1019-1101 N College St,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xw0DnYAI,Killeen_MDU_122 N College St,Killeen_MDU_1202 N College St,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xw9XDYAY,Killeen_MDU_127-129 N 1th St,Killeen_MDU_1207-1209 N 10th St,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xw5JvYAI,Killeen_MDU_191 N 1th St,Killeen_MDU_1901 N 10th St,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkClpYAE,Copper Mountain,Killeen_MDU_Copper Mountain,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDt8YAE,Dimple St MHP,KILLEEN_MDU_DIMPLE ST MHP,StageName,Prospects,On Hold
006WR00000wkCldYAE,Keystone Apartments,Killeen_MDU_Keystone Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wjnlLYAQ,Ridge Point,Killeen_MDU_Ridge Point,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkBpWYAU,Station 42,Killeen_MDU_Station42,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wk9StYAI,Summer Park _ FF Freddy,Killeen_MDU_Summer Park,StageName,Prospects,On Hold
006WR00000wk9StYAI,Summer Park _ FF Freddy,Killeen_MDU_Summer Park,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,Killeen_MDU_Tremont Sr Apartment Homes,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkC70YAE,Mac's Mobile Home Park/ Twin Oaks II,NOLANVILLE_MDU_Twin_Oaks_II_Park,StageName,Prospects,On Hold
006WR00000wkDsJYAU,Courtyard 72,Omaha_MDU_Courtyard 72,StageName,Prospects,Closed Lost
006WR00000wkDsJYAU,Courtyard 72,Omaha_MDU_Courtyard 72,Loss_Reason__c,,Lost to Competitor
006WR00000wkDsJYAU,Courtyard 72,Omaha_MDU_Courtyard 72,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wk9SjYAI,Chalet Apartments,Omaha_MDU_Chalet Izard,StageName,Prospecting,Contract Negotiations
006WR00000wk9S0YAI,Kirshenbaum Apartments,Omaha_MDU_5013-5015 California St,StageName,Prospecting,Contract Negotiations
006WR00000wk1FYYAY,30 Metro,Omaha_MDU_30 Metro,OwnerId,Jeff Chao,005WR0000030R9lYAE
006WR00000wk3PDYAY,The Arbors of Taylor,Taylor_MDU_Arbors of Taylor Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkA9MYAU,Grace Place Apartments,Taylor_MDU_Grace Place Apartments,OwnerId,Chuck McNeely,005WR000003CD6DYAW
