Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000wkA9FYAU,Azle Creek Apartments,Azle_MDU_Azle Creek Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkBTmYAM,Azle Oaks Apartments,Azle_MDU_Azle Oaks Apartments,StageName,Engaged,On Hold
006WR00000wkABeYAM,Azlewood,Azle_MDU_Azlewood,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkClPYAU,Crestwood Apartment Homes,Azle_MDU_Crestwood Apartment Homes,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkA8UYAU,Gateway Village Apartments,Azle_MDU_Gateway Village Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkDsyYAE,Knoll Creek Apartments,Azle_MDU_Shady Creek Ranch Apartments,StageName,Closed Lost,Prospects
006WR00000wkDsyYAE,Knoll Creek Apartments,Azle_MDU_Shady Creek Ranch Apartments,Loss_Reason__c,Not Interested,
006WR00000wkDsyYAE,Knoll Creek Apartments,Azle_MDU_Shady Creek Ranch Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkClXYAU,Stafford Place,Azle_MDU_Stafford Place,OwnerId,Unassigned MDU,005WR000003CD6DYAW
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,Bridgeport_MDU_Atrium Garden Apartments,OwnerId,Justin Barry,005WR000003CD6DYAW
006WR00000wkCjgYAE,Estates of Bridgeport,Bridgeport_MDU_Bridgeport_Estates,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00001FkWTcYAN,Bridgeport_MDU_Cobb Ave MHP,Bridgeport_MDU_Cobb Ave MHP,OwnerId,Unassigned MDU,005WR000003CD6DYAW
006WR00000xuqjXYAQ,Bridgeport_MDU_Edgewood Apartments,Bridgeport_MDU_Edgewood Apartments,OwnerId,Justin Barry,005WR000003CD6DYAW
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,Bridgeport_MDU_Federal Housing Administration,OwnerId,Justin Barry,005WR000003CD6DYAW
006WR00000wkDtCYAU,DECATUR_MDU_Private_Rd_3176_Mobile_Park,DECATUR_MDU_Private_Rd_3176_Mobile_Park,OwnerId,Unassigned MDU,005WR000003CD6DYAW
006WR00000wkC7yYAE,Quail Run Apartments,Decatur_MDU_Quail Run Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkCjfYAE,Stone Hill Apartments,Decatur_MDU_Stone Hill Apartments,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wk9SdYAI,The Laredo Apartments,Decatur_MDU_The Laredo Apartments,StageName,Closed Lost,Contract Negotiations
006WR00000wk9SdYAI,The Laredo Apartments,Decatur_MDU_The Laredo Apartments,Loss_Reason__c,Rejected by Owner,
006WR00000wkDMPYA2,Aspire Fossil Creek,Fort Worth_MDU_Aspire Fossil Creek,OwnerId,Bill Holick,005WR000003CD6DYAW
006WR00000wkClBYAU,Belterra,Fort Worth_MDU_Belterra,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,Fort Worth_MDU_Bristol Park at Eagle Mountain,StageName,Closed Lost,Prospects
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,Fort Worth_MDU_Bristol Park at Eagle Mountain,Loss_Reason__c,Not Interested,
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,Fort Worth_MDU_Bristol Park at Eagle Mountain,OwnerId,Bill Holick,005WR000003CD6DYAW
