Id,Name,Agreement_Name__c,Property_Address__c,field,old_value,new_value
006WR00000wiNnYYAU,Talavera,,"3501 S McClintock Dr, Tempe, AZ, USA",Property_Street_Number__c,,3501
006WR00000wiNnYYAU,Talavera,,"3501 S McClintock Dr, Tempe, AZ, USA",Property_Street__c,,S McClintock Dr
006WR00000wiNnZYAU,Grandes Cortes Apartments,,"1150 West University Drive, Tempe, AZ, USA",Property_Street_Number__c,,1150
006WR00000wiNnZYAU,Grandes Cortes Apartments,,"1150 West University Drive, Tempe, AZ, USA",Property_Street__c,,West University Drive
006WR00000wiNnaYAE,Garden Grove,,"900 W Grove Pkwy, Tempe, AZ, USA",Property_Street_Number__c,,900
006WR00000wiNnaYAE,Garden Grove,,"900 W Grove Pkwy, Tempe, AZ, USA",Property_Street__c,,W Grove Pkwy
006WR00000wiNnbYAE,Rancho Las Palmas,,"1249 East Spence Avenue, Tempe, AZ, USA",Property_Street_Number__c,,1249
006WR00000wiNnbYAE,Rancho Las Palmas,,"1249 East Spence Avenue, Tempe, AZ, USA",Property_Street__c,,East Spence Avenue
006WR00000wiNncYAE,University Valley Apartments,,"1115 East Lemon Street, Tempe, AZ, USA",Property_Street_Number__c,,1115
006WR00000wiNncYAE,University Valley Apartments,,"1115 East Lemon Street, Tempe, AZ, USA",Property_Street__c,,East Lemon Street
006WR00000wiNndYAE,The Lennox @ Tempe,,"1655 East Southern Avenue, Tempe, AZ, USA",Property_Street_Number__c,,1655
006WR00000wiNndYAE,The Lennox @ Tempe,,"1655 East Southern Avenue, Tempe, AZ, USA",Property_Street__c,,East Southern Avenue
006WR00000wiNneYAE,Tempe Park Place,,"4540 S Rural Rd, Tempe, AZ, USA",Property_Street_Number__c,,4540
006WR00000wiNneYAE,Tempe Park Place,,"4540 S Rural Rd, Tempe, AZ, USA",Property_Street__c,,S Rural Rd
006WR00000wiNnfYAE,Chesapeake,,"200 East Southern Avenue, Tempe, AZ, USA",Property_Street_Number__c,,200
006WR00000wiNnfYAE,Chesapeake,,"200 East Southern Avenue, Tempe, AZ, USA",Property_Street__c,,East Southern Avenue
006WR00000wiNngYAE,Apache Terrace Apartments,,"1123 E Apache Blvd, Tempe, AZ, USA",Property_Street_Number__c,,1123
006WR00000wiNngYAE,Apache Terrace Apartments,,"1123 E Apache Blvd, Tempe, AZ, USA",Property_Street__c,,E Apache Blvd
006WR00000wiNnhYAE,Avana Tempe,,"30 West Carter Drive, Tempe, AZ, USA",Property_Street_Number__c,,30
006WR00000wiNnhYAE,Avana Tempe,,"30 West Carter Drive, Tempe, AZ, USA",Property_Street__c,,West Carter Drive
006WR00000wiNniYAE,La Estancia,,"6445 South Maple Avenue, Tempe, AZ, USA",Property_Street_Number__c,,6445
006WR00000wiNniYAE,La Estancia,,"6445 South Maple Avenue, Tempe, AZ, USA",Property_Street__c,,South Maple Avenue
006WR00000wiNnjYAE,Highland Park (Tempe),,"5038 South Hardy Drive, Tempe, AZ, USA",Property_Street_Number__c,,5038
006WR00000wiNnjYAE,Highland Park (Tempe),,"5038 South Hardy Drive, Tempe, AZ, USA",Property_Street__c,,South Hardy Drive
006WR00000wiNnkYAE,Omnia Baseline,,1145 W BASELINE RD,Property_Street_Number__c,,1145
