Id,Name,field,old_value,new_value
006WR00000wkA9FYAU,Azle Creek Apartments,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkABeYAM,Azlewood,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkA8UYAU,Gateway Village Apartments,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkDsyYAE,Knoll Creek Apartments,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkClXYAU,Stafford Place,CampaignId,,701WR00001eEIyPYAW
006WR000011a3xbYAA,1404 Chico Hwy MHP,CampaignId,,701WR00001eEIyPYAW
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,CampaignId,701WR00001IwJYsYAN,701WR00001eEIyPYAW
006WR00001Fl7pnYAB,Bridgeport_MDU_Bridgeport MHP,CampaignId,,701WR00001eEIyPYAW
006WR00000wkCjgYAE,Estates of Bridgeport,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00001FkWTcYAN,Bridgeport_MDU_Cobb Ave MHP,CampaignId,,701WR00001eEIyPYAW
006WR00000xuqjXYAQ,Bridgeport_MDU_Edgewood Apartments,CampaignId,701WR00001IwJYsYAN,701WR00001eEIyPYAW
006WR00000xuFKAYA2,Bridgeport_MDU_Federal Housing Administration,CampaignId,701WR00001IwJYsYAN,701WR00001eEIyPYAW
006WR00000wkDtCYAU,DECATUR_MDU_Private_Rd_3176_Mobile_Park,CampaignId,,701WR00001eEIyPYAW
006WR00000wkC7yYAE,Quail Run Apartments,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkCjfYAE,Stone Hill Apartments,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wk9SdYAI,The Laredo Apartments,CampaignId,,701WR00001eEIyPYAW
006WR00000wkDMPYA2,Aspire Fossil Creek,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
006WR00000wkBUxYAM,Bristol Park at Eagle Mountain,CampaignId,701WR00001J2uSUYAZ,701WR00001eEIyPYAW
