Id,Name,field,old_value,new_value,old_unit_group
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Units__c,92,82,50-100
006WR00000wj8KIYAY,Prairie Spring Apartments,Units__c,120,121,> 100
006WR00000wj8KQYAY,Arboretum Village,Units__c,145,148,> 100
006WR00000wj8KTYAY,Embassy Park Apartments,Units__c,460,441,> 100
006WR00000wj8KaYAI,The Village at Grant Square,Units__c,204,201,> 100
006WR00000wj8KeYAI,Peony Village,Units__c,160,150,> 100
006WR00000wj8KqYAI,Parkview (AKA Elevate Apartments),Units__c,176,177,> 100
006WR00000wk3PDYAY,The Arbors of Taylor,Units__c,88,89,50-100
006WR00000wk9SSYAY,Waters Haven Apartments,Units__c,117,146,> 100
006WR00000wk9STYAY,Stone Ranch,Units__c,152,153,> 100
006WR00000wk9SfYAI,Georgetown Square Apartments,Units__c,55,63,50-100
006WR00000wk9SoYAI,Stone Hill,Units__c,346,334,> 100
006WR00000wk9SpYAI,Carmel Creekside,Units__c,424,422,> 100
006WR00000wk9SrYAI,Cottonwood Apartments East,Units__c,32,36,25-49
006WR00000wk9SuYAI,Riverside Villas,Units__c,192,193,> 100
006WR00000wk9SvYAI,Park_Place,Units__c,175,69,> 100
006WR00000wk9T2YAI,Cicada Springs RV Park,Units__c,175,181,> 100
006WR00000wk9TuYAI,302 North,Units__c,176,177,> 100
006WR00000wk9Z6YAI,Stillhouse Flats,Units__c,96,94,50-100
006WR00000wk9Z7YAI,Hillcrest Apartments,Units__c,58,46,50-100
006WR00000wk9Z9YAI,Residences of Stillwater,Units__c,192,203,> 100
006WR00000wkA6VYAU,Dundee View,Units__c,60,70,50-100
006WR00000wkA6dYAE,Howard Street,Units__c,90,93,50-100
006WR00000wkA7oYAE,Terrace Garden Apartments,Units__c,126,128,> 100
006WR00000wkA8IYAU,Keystone Park Apartments,Units__c,72,111,50-100
006WR00000wkA8VYAU,Copperstone Apartments,Units__c,81,80,50-100
006WR00000wkA8aYAE,Beau Manor Townhomes,Units__c,54,55,50-100
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Units__c,25,36,25-49
006WR00000wkA8pYAE,Caravelle Apartments,Units__c,60,29,50-100
