OpportunityId,OppField,CurrentValue,DesiredValue,Kind,MirrorMove
006WR00000wk1ETYAY,ST_Activation_Forecast__c,2025-07-18,2025-07-11,CHANGED,MIRROR_MOVED
006WR00000wk1EPYAY,ST_Activation_Forecast__c,2025-06-30,2025-06-17,CHANGED,MIRROR_MOVED
006WR00000wkEckYAE,ST_Activation_Forecast__c,2026-07-10,2026-07-06,CHANGED,MIRROR_MOVED
006WR00000wk1EJYAY,ST_Activation_Forecast__c,2025-04-23,2025-04-22,CHANGED,MIRROR_MOVED
006WR00000wk1EKYAY,ST_Activation_Forecast__c,2025-04-25,2025-04-30,CHANGED,MIRROR_MOVED
006WR00000wkEcaYAE,ST_Activation_Forecast__c,2024-08-16,2024-08-01,CHANGED,MIRROR_MOVED
006WR00000wkEceYAE,ST_Activation_Forecast__c,2024-12-31,2025-01-08,CHANGED,MIRROR_MOVED
006WR00000wkEclYAE,ST_Activation_Forecast__c,2024-06-07,2024-05-31,CHANGED,MIRROR_MOVED
006WR00000wk1EWYAY,ST_Activation_Forecast__c,2025-05-30,2025-03-31,CHANGED,MIRROR_MOVED
006WR00000xvYz4YAE,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000wkEcdYAE,ST_Activation_Forecast__c,2024-11-15,2024-11-13,CHANGED,MIRROR_MOVED
006WR00000wk1ELYAY,ST_Activation_Forecast__c,2025-05-09,2025-05-13,CHANGED,MIRROR_MOVED
006WR00000wkEcbYAE,ST_Activation_Forecast__c,2024-11-15,2024-11-13,CHANGED,MIRROR_MOVED
006WR00000wk1EZYAY,ST_Activation_Forecast__c,2025-08-15,2025-08-12,CHANGED,MIRROR_MOVED
006WR00000wk1EoYAI,ST_Activation_Forecast__c,2025-12-18,2025-12-31,CHANGED,MIRROR_MOVED
006WR00000wk1ENYAY,ST_Activation_Forecast__c,2025-06-30,2025-06-17,CHANGED,MIRROR_MOVED
006WR00000wk1EQYAY,ST_Activation_Forecast__c,2025-06-30,2025-06-17,CHANGED,MIRROR_MOVED
006WR00000wk1EOYAY,ST_Activation_Forecast__c,2025-06-30,2025-06-17,CHANGED,MIRROR_MOVED
006WR00000wkEcPYAU,ST_Activation_Forecast__c,2025-04-30,2025-04-28,CHANGED,MIRROR_MOVED
006WR00000wk1EgYAI,ST_Activation_Forecast__c,2025-09-30,2025-09-29,CHANGED,MIRROR_MOVED
006WR00000wk1EdYAI,ST_Activation_Forecast__c,2025-08-29,2025-09-05,CHANGED,MIRROR_MOVED
006WR00000wk1ESYAY,ST_Activation_Forecast__c,2025-06-27,2025-06-30,CHANGED,MIRROR_MOVED
006WR00000wk1EaYAI,ST_Activation_Forecast__c,2025-08-13,2025-08-08,CHANGED,MIRROR_MOVED
006WR00000wk1EfYAI,ST_Activation_Forecast__c,2025-10-17,2025-10-22,CHANGED,MIRROR_MOVED
006WR00000wk1EbYAI,ST_Activation_Forecast__c,2025-08-29,2025-08-31,CHANGED,MIRROR_MOVED
006WR00000wkEcEYAU,ST_Construction_Complete_Forecast__c,2026-09-22,2026-08-04,CHANGED,UNKNOWN_PRE
006WR00000y2FzkYAE,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xvZ3uYAE,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xw0VXYAY,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xvW9GYAU,ST_Construction_Complete_Actual__c,,2026-08-05,NEW,MIRROR_MOVED
006WR00000xvW9GYAU,ST_Activation_Forecast__c,2026-07-30,2026-08-12,CHANGED,MIRROR_MOVED
006WR00000wkEcBYAU,ST_Construction_Start_Forecast__c,2026-08-03,2026-08-12,CHANGED,UNKNOWN_PRE
006WR00000wkEcBYAU,ST_Construction_Complete_Forecast__c,2026-10-27,2026-11-05,CHANGED,UNKNOWN_PRE
006WR00000wkEcBYAU,ST_Activation_Forecast__c,2026-08-28,2026-09-11,CHANGED,MIRROR_MOVED
006WR00000xv174YAA,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000wkA8yYAE,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xwF7xYAE,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xwHJRYA2,ST_Activation_Forecast__c,2026-07-30,2026-07-20,CHANGED,MIRROR_MOVED
006WR00000xw7NKYAY,ST_Activation_Forecast__c,2026-07-30,2026-07-20,CHANGED,MIRROR_MOVED
006WR00000xwGATYA2,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000xvAAMYA2,ST_Activation_Forecast__c,2026-06-26,2026-06-25,CHANGED,MIRROR_MOVED
006WR00000wkAC1YAM,ST_Activation_Forecast__c,2026-07-30,2026-07-20,CHANGED,MIRROR_MOVED
006WR00000wkEbPYAU,ST_Activation_Forecast__c,2026-07-24,,CLEAR,MIRROR_MOVED
006WR00000wkEbRYAU,ST_Activation_Forecast__c,2026-07-24,,CLEAR,MIRROR_MOVED
006WR00000xwGwrYAE,ST_Activation_Forecast__c,2026-07-30,2026-08-14,CHANGED,MIRROR_MOVED
006WR00000wkBToYAM,ST_Activation_Forecast__c,2026-06-26,2026-07-08,CHANGED,MIRROR_MOVED
006WR00000wkBTuYAM,ST_Construction_Complete_Forecast__c,2026-09-16,2026-08-04,CHANGED,UNKNOWN_PRE
006WR00000wkBTuYAM,ST_Activation_Forecast__c,2026-07-30,2026-08-14,CHANGED,MIRROR_MOVED
006WR00000wkDtzYAE,ST_Activation_Forecast__c,2026-08-07,2026-08-03,CHANGED,MIRROR_MOVED
006WR00000wk9RuYAI,ST_Build_Status__c,3. Project - Construction Phase,4. Project - Completed,CHANGED,MIRROR_MOVED
006WR00000wk9RuYAI,ST_Activation_Actual__c,,2026-08-07,NEW,MIRROR_MOVED
006WR00001Fl90KYAR,ST_Construction_Complete_Forecast__c,2026-09-04,2026-08-04,CHANGED,UNKNOWN_PRE
006WR00001Fl90KYAR,ST_Activation_Forecast__c,2026-07-30,2026-08-14,CHANGED,MIRROR_MOVED
