Id,Name,State,Units,Stage,field,old_value,old_owner_name,new_value,new_owner_name
006WR00000wiNoNYAU,Sorensen Heights,NE,75,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,NE,82,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KIYAY,Prairie Spring Apartments,NE,121,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KLYAY,Juniper Gardens,NE,174,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KQYAY,Arboretum Village,NE,148,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KTYAY,Embassy Park Apartments,NE,441,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KXYAY,Residences at Sorensen Square,NE,84,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KaYAI,The Village at Grant Square,NE,201,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KcYAI,Camelot Village,NE,485,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wj8KeYAI,Peony Village,NE,150,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wjKGNYA2,Western Oaks Apartments,TX,102,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,TX,112,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wjnlLYAQ,Ridge Point,TX,172,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,NE,258,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wk3O8YAI,Elm Grove Estates,TX,300,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wk3PDYAY,The Arbors of Taylor,TX,89,Engaged,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9RxYAI,Hazel Park,TX,29,Prospects,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9S0YAI,Kirshenbaum Apartments,NE,15,Contract Negotiations,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9S2YAI,The Veranda at Twin Creek Apartments,TX,88,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9SSYAY,Waters Haven Apartments,TX,146,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9STYAY,Stone Ranch,TX,153,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9SfYAI,Georgetown Square Apartments,TX,63,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9SjYAI,Chalet Apartments,NE,12,Contract Negotiations,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9SoYAI,Stone Hill,TX,334,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9SqYAI,Hunter's Glen Apartments,TX,152,Engaged,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9T6YAI,Terrace Villa_Morris RE,TX,40,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9T7YAI,Village West Apartments_Morris RE,TX,36,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,TX,32,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,TX,30,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wk9Z6YAI,Stillhouse Flats,TX,94,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wk9Z7YAI,Hillcrest Apartments,TX,46,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wkA6VYAU,Dundee View,NE,70,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA6dYAE,Howard Street,NE,93,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA7sYAE,Fairview Apartments,NE,204,Engaged,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA7zYAE,Wyndham Hill,NE,136,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8FYAU,Maplewood Court Apartments,NE,52,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8IYAU,Keystone Park Apartments,NE,111,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8VYAU,Copperstone Apartments,NE,80,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8aYAE,Beau Manor Townhomes,NE,55,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,NE,35,Contract Negotiations,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,NE,80,Prospecting,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA8zYAE,6314 Boyd Street,NE,24,Contract Negotiations,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,TX,36,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR0000030R9lYAE,Rosemarie Shortino
006WR00000wkA91YAE,Bloomfield Forum,NE,96,Closed Lost,OwnerId,005WR0000030R9lYAE,Rosemarie Shortino,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA92YAE,The Springs at 1100,TX,232,Prospects,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA9DYAU,College Park Apartments,TX,80,Closed Lost,OwnerId,005WR00000Ewjj3YAB,Brett Spivey,005WR000003CD6DYAW,Melissa Baker
006WR00000wkA9FYAU,Azle Creek Apartments,TX,44,Prospects,OwnerId,005WR000003CD6DYAW,Melissa Baker,005WR0000030R9lYAE,Rosemarie Shortino
