Id,Name,Status__c,Signed_Date__c,Expiration_Date__c,IronClad_Id
a0BWR0000083yB72AI,AGR-0036,Completed,2026-03-26,2036-03-26,IC-2900
a0BWR0000083yB82AI,AGR-0037,Completed,2026-03-31,2036-03-31,IC-2911
a0BWR0000083yB92AI,AGR-0038,Completed,2026-03-26,2036-03-26,IC-2896
a0BWR0000083yBA2AY,AGR-0039,Completed,2026-03-31,2036-03-31,IC-2909
a0BWR0000083yBC2AY,AGR-0041,Cancelled,,,IC-2181
a0BWR0000083yBE2AY,AGR-0043,Cancelled,,,IC-2182
a0BWR0000083yBF2AY,AGR-0044,Completed,2026-03-27,2036-03-20,IC-277
a0BWR0000083yBG2AY,AGR-0045,Paused,,,IC-279
a0BWR0000083yBI2AY,AGR-0047,Sign,,,IC-2079
a0BWR0000083yBa2AI,AGR-0065,Sign,,,IC-2848
a0BWR0000083yBe2AI,AGR-0069,Review,,,IC-1226
a0BWR0000083yBo2AI,AGR-0079,Review,,,IC-1358
a0BWR0000083yBp2AI,AGR-0080,Review,,,IC-1359
a0BWR0000083yBy2AI,AGR-0089,Sign,,,IC-2846
a0BWR0000083yBz2AI,AGR-0090,Sign,,,IC-2845
a0BWR0000083yC32AI,AGR-0094,Review,,,IC-1591
a0BWR0000083yC72AI,AGR-0098,Review,,,IC-2098
a0BWR0000083yCA2AY,AGR-0101,Cancelled,,,IC-145
a0BWR0000083yCB2AY,AGR-0102,Completed,2025-03-19,2035-03-19,IC-741
a0BWR0000083yCC2AY,AGR-0103,Review,,,IC-2871
a0BWR0000083yCH2AY,AGR-0108,Review,,,IC-1551
a0BWR0000083yEL2AY,AGR-0236,Completed,,,IC-679
a0BWR0000083yEM2AY,AGR-0237,Completed,2024-07-24,,IC-2653
a0BWR0000083yFX2AY,AGR-0310,Paused,,2034-03-20,IC-1315
a0BWR0000083yGE2AY,AGR-0353,Archive,,,IC-4203
a0BWR0000083yGv2AI,AGR-0396,Cancelled,,,IC-2154
a0BWR0000083yGx2AI,AGR-0398,Review,,,IC-3247
a0BWR0000083yGz2AI,AGR-0400,Review,,,IC-3248
a0BWR0000083yH22AI,AGR-0403,Completed,2026-04-13,2036-04-13,IC-2860
a0BWR0000083yJF2AY,AGR-0440,Completed,2024-04-04,2034-04-04,IC-1314
a0BWR0000083yJM2AY,AGR-0447,Completed,2023-12-07,,IC-1323
a0BWR0000083yKL2AY,AGR-0508,Cancelled,,,IC-1313
a0BWR0000083yKY2AY,AGR-0521,Completed,2026-04-15,2031-04-15,IC-108
a0BWR0000083yKb2AI,AGR-0524,Completed,2026-03-26,2036-03-26,IC-2795
a0BWR0000083yKc2AI,AGR-0525,Completed,2026-03-31,2036-03-31,IC-2906
a0BWR0000083yKd2AI,AGR-0526,Completed,2023-10-03,2033-10-03,IC-1035
a0BWR0000083yKf2AI,AGR-0528,Completed,2023-10-03,2033-10-03,IC-1185
a0BWR0000083yKh2AI,AGR-0530,Completed,2023-10-03,2033-10-03,IC-1187
a0BWR0000083yKj2AI,AGR-0532,Completed,2025-03-12,2035-03-12,IC-1157
a0BWR0000083yKk2AI,AGR-0533,Completed,2025-04-03,2035-04-03,IC-74
a0BWR0000083yKm2AI,AGR-0535,Completed,2024-05-29,,IC-1307
a0BWR0000083yKp2AI,AGR-0538,Completed,2023-11-07,2043-11-07,IC-1166
a0BWR0000083yKr2AI,AGR-0540,Completed,2024-02-20,,IC-1122
a0BWR0000083yKs2AI,AGR-0541,Completed,2024-03-27,,IC-1273
a0BWR0000083yKt2AI,AGR-0542,Completed,2023-12-08,,IC-1296
a0BWR0000083yKu2AI,AGR-0543,Completed,2024-02-14,,IC-1121
a0BWR0000083yKx2AI,AGR-0546,Completed,2023-10-20,,IC-1097
a0BWR0000083yKy2AI,AGR-0547,Completed,2023-10-20,2033-10-20,IC-1342
a0BWR0000083yKz2AI,AGR-0548,Completed,2024-05-21,,IC-1145
a0BWR0000083yL02AI,AGR-0549,Completed,2023-12-08,,IC-1195
a0BWR0000083yL12AI,AGR-0550,Completed,2024-08-07,,IC-1144
a0BWR0000083yL22AI,AGR-0551,Completed,2023-12-07,,IC-1317
a0BWR0000083yL32AI,AGR-0552,Completed,2024-08-07,,IC-1143
a0BWR0000083yL42AI,AGR-0553,Completed,2024-08-07,,IC-1149
a0BWR0000083yL52AI,AGR-0554,Completed,2024-08-07,,IC-1148
a0BWR0000083yL62AI,AGR-0555,Completed,2023-12-08,,IC-1293
a0BWR0000083yL72AI,AGR-0556,Completed,2024-12-03,,IC-1282
a0BWR0000083yL82AI,AGR-0557,Completed,2023-12-08,,IC-1316
a0BWR0000083yL92AI,AGR-0558,Completed,2024-08-15,,IC-1284
a0BWR0000083yLA2AY,AGR-0559,Completed,2023-11-07,2043-11-07,IC-1166
