SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yB72AI,AGR-0036,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2900),UPDATE,2026-04-28T17:08:16.770003
a0BWR0000083yB72AI,AGR-0036,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2900),UPDATE,2026-04-28T17:08:16.770027
a0BWR0000083yB82AI,AGR-0037,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2911),UPDATE,2026-04-28T17:08:16.770041
a0BWR0000083yB82AI,AGR-0037,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2911),UPDATE,2026-04-28T17:08:16.770053
a0BWR0000083yB92AI,AGR-0038,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2896),UPDATE,2026-04-28T17:08:16.770063
a0BWR0000083yB92AI,AGR-0038,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2896),UPDATE,2026-04-28T17:08:16.770072
a0BWR0000083yBA2AY,AGR-0039,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2909),UPDATE,2026-04-28T17:08:16.770080
a0BWR0000083yBA2AY,AGR-0039,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2909),UPDATE,2026-04-28T17:08:16.770088
a0BWR0000083yBC2AY,AGR-0041,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2181),UPDATE,2026-04-28T17:08:16.770097
a0BWR0000083yBE2AY,AGR-0043,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2182),UPDATE,2026-04-28T17:08:16.770106
a0BWR0000083yBF2AY,AGR-0044,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-277),UPDATE,2026-04-28T17:08:16.770114
a0BWR0000083yBF2AY,AGR-0044,Signed_Date__c,,2026-03-27,ironclad_export_2026-04-29 (IC-277),UPDATE,2026-04-28T17:08:16.770123
a0BWR0000083yBG2AY,AGR-0045,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-279),UPDATE,2026-04-28T17:08:16.770132
a0BWR0000083yGv2AI,AGR-0396,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2154),UPDATE,2026-04-28T17:08:16.770140
a0BWR0000083yKb2AI,AGR-0524,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2795),UPDATE,2026-04-28T17:08:16.770148
a0BWR0000083yKb2AI,AGR-0524,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2795),UPDATE,2026-04-28T17:08:16.770156
a0BWR0000083yKc2AI,AGR-0525,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2906),UPDATE,2026-04-28T17:08:16.770164
a0BWR0000083yKc2AI,AGR-0525,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2906),UPDATE,2026-04-28T17:08:16.770172
a0BWR0000083yKk2AI,AGR-0533,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-74),UPDATE,2026-04-28T17:08:16.770180
a0BWR0000083yKk2AI,AGR-0533,Signed_Date__c,2025-04-03,2025-04-04,ironclad_export_2026-04-29 (IC-74),UPDATE,2026-04-28T17:08:16.770189
a0BWR0000083yOm2AI,AGR-0783,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-87),UPDATE,2026-04-28T17:08:16.770198
a0BWR0000083yOm2AI,AGR-0783,Signed_Date__c,2025-03-28,2025-04-01,ironclad_export_2026-04-29 (IC-87),UPDATE,2026-04-28T17:08:16.770206
a0BWR0000083yTV2AY,AGR-0876,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-1695),UPDATE,2026-04-28T17:08:16.770214
a0BWR0000083yTo2AI,AGR-0895,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-110),UPDATE,2026-04-28T17:08:16.770222
a0BWR0000083yTo2AI,AGR-0895,Signed_Date__c,2025-12-02,2025-12-04,ironclad_export_2026-04-29 (IC-110),UPDATE,2026-04-28T17:08:16.770231
a0BWR0000083yTu2AI,AGR-0901,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-117),UPDATE,2026-04-28T17:08:16.770239
a0BWR0000083yTu2AI,AGR-0901,Signed_Date__c,2025-03-07,2025-03-10,ironclad_export_2026-04-29 (IC-117),UPDATE,2026-04-28T17:08:16.770247
a0BWR0000083yUV2AY,AGR-0938,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-1696),UPDATE,2026-04-28T17:08:16.770255
a0BWR0000083yUu2AI,AGR-0963,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-150),UPDATE,2026-04-28T17:08:16.770263
a0BWR0000083yUu2AI,AGR-0963,Signed_Date__c,2025-04-10,2025-04-11,ironclad_export_2026-04-29 (IC-150),UPDATE,2026-04-28T17:08:16.770272
a0BWR0000083yV42AI,AGR-0973,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-161),UPDATE,2026-04-28T17:08:16.770280
a0BWR0000083yV42AI,AGR-0973,Signed_Date__c,2025-04-23,2025-04-25,ironclad_export_2026-04-29 (IC-161),UPDATE,2026-04-28T17:08:16.770288
a0BWR0000083yV72AI,AGR-0976,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-162),UPDATE,2026-04-28T17:08:16.770297
a0BWR0000083yV72AI,AGR-0976,Signed_Date__c,2025-04-23,2025-04-25,ironclad_export_2026-04-29 (IC-162),UPDATE,2026-04-28T17:08:16.770305
a0BWR0000083yVA2AY,AGR-0979,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-163),UPDATE,2026-04-28T17:08:16.770313
a0BWR0000083yVA2AY,AGR-0979,Signed_Date__c,2025-04-23,2025-04-25,ironclad_export_2026-04-29 (IC-163),UPDATE,2026-04-28T17:08:16.770321
a0BWR0000083yVG2AY,AGR-0985,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-142),UPDATE,2026-04-28T17:08:16.770328
a0BWR0000083yVG2AY,AGR-0985,Signed_Date__c,2025-04-23,2025-04-25,ironclad_export_2026-04-29 (IC-142),UPDATE,2026-04-28T17:08:16.770336
a0BWR0000083yVY2AY,AGR-1003,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-148),UPDATE,2026-04-28T17:08:16.770345
a0BWR0000083yVY2AY,AGR-1003,Signed_Date__c,2025-04-14,2025-04-15,ironclad_export_2026-04-29 (IC-148),UPDATE,2026-04-28T17:08:16.770352
a0BWR0000083yVn2AI,AGR-1018,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-624),UPDATE,2026-04-28T17:08:16.770361
a0BWR0000083yVn2AI,AGR-1018,Signed_Date__c,,2025-07-16,ironclad_export_2026-04-29 (IC-624),UPDATE,2026-04-28T17:08:16.770369
a0BWR0000083yWI2AY,AGR-1049,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-267),UPDATE,2026-04-28T17:08:16.770378
a0BWR0000083yWI2AY,AGR-1049,Signed_Date__c,2025-11-24,2025-11-25,ironclad_export_2026-04-29 (IC-267),UPDATE,2026-04-28T17:08:16.770386
a0BWR0000083yWh2AI,AGR-1074,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-293),UPDATE,2026-04-28T17:08:16.770394
a0BWR0000083yWh2AI,AGR-1074,Signed_Date__c,,2025-06-16,ironclad_export_2026-04-29 (IC-293),UPDATE,2026-04-28T17:08:16.770402
