Action,Agreement_Id,Agreement_Name,Field,Before,After,Source,Status,Timestamp
OVERRIDE,a0BWR0000083yXe2AI,AGR-1133,Signed_Date__c,2024-06-07,2024-02-12,IronClad export IC-1332 effective_date,Completed,2026-05-04T16:30:34.497701
OVERRIDE,a0BWR000008AvDK2A0,AGR-1332,Signed_Date__c,2025-02-10,2025-02-21,IronClad export IC-689 agreement_date,Completed,2026-05-04T16:30:34.718027
OVERRIDE,a0BWR000008AxtR2AS,AGR-1341,Signed_Date__c,2024-12-11,2024-11-01,IronClad export IC-690 agreement_date,Completed,2026-05-04T16:30:34.947138
OVERRIDE,a0BWR000008Axwf2AC,AGR-1343,Signed_Date__c,2024-09-13,2024-07-30,IronClad export IC-674 agreement_date,Completed,2026-05-04T16:30:35.183238
OVERRIDE,a0BWR000008AyBB2A0,AGR-1352,Signed_Date__c,2024-12-18,2024-11-18,IronClad export IC-688 agreement_date,Completed,2026-05-04T16:30:35.377043
OVERRIDE,a0BWR000008AyKr2AK,AGR-1360,Signed_Date__c,2024-09-13,2024-07-16,IronClad export IC-682 agreement_date,Completed,2026-05-04T16:30:35.629456
OVERRIDE,a0BWR000008WSZF2A4,AGR-1457,Signed_Date__c,2025-12-21,2026-02-03,IronClad export IC-2112 executed_date,Cancelled,2026-05-04T16:30:35.866653
OVERRIDE,a0BWR000008a5pN2AQ,AGR-1502,Signed_Date__c,2025-03-01,2025-03-28,IronClad export IC-659 agreement_date,Completed,2026-05-04T16:30:36.088221
OVERRIDE,a0BWR000008a5vp2AA,AGR-1505,Signed_Date__c,2025-04-01,2025-04-16,IronClad export IC-660 agreement_date,Completed,2026-05-04T16:30:36.301921
OVERRIDE,a0BWR000008a63t2AA,AGR-1510,Signed_Date__c,2025-04-01,2025-04-22,IronClad export IC-652 agreement_date,Completed,2026-05-04T16:30:36.523107
OVERRIDE,a0BWR000008a65V2AQ,AGR-1511,Signed_Date__c,2025-04-01,2025-04-28,IronClad export IC-654 agreement_date,Completed,2026-05-04T16:30:36.754695
OVERRIDE,a0BWR000008aAPF2A2,AGR-1524,Signed_Date__c,2025-02-05,2025-01-27,IronClad export IC-669 agreement_date,Completed,2026-05-04T16:30:36.953842
