SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yBG2AY,AGR-0045,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-279: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971170
a0BWR0000083yDT2AY,AGR-0182,Agreement_Type__c,PAL,ROE,ironclad_export_2026-05-04 (IC-679: Right of Entry Agreement),PREVIEW,2026-05-05T09:05:28.971194
a0BWR0000083yDz2AI,AGR-0214,Agreement_Type__c,PAL,ROE,ironclad_export_2026-05-04 (IC-686: Right of Entry Agreement),PREVIEW,2026-05-05T09:05:28.971206
a0BWR0000083yEM2AY,AGR-0237,Agreement_Type__c,PAL,ROE,ironclad_export_2026-05-04 (IC-2653: Right of Entry Agreement),PREVIEW,2026-05-05T09:05:28.971216
a0BWR0000083yKy2AI,AGR-0547,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1342: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971224
a0BWR0000083yTV2AY,AGR-0876,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1695: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971233
a0BWR0000083yU62AI,AGR-0913,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-299: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971242
a0BWR0000083yUV2AY,AGR-0938,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1696: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971250
a0BWR0000083yX72AI,AGR-1100,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1343: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971259
a0BWR0000083yXJ2AY,AGR-1112,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1345: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971268
a0BWR0000083yXq2AI,AGR-1145,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1346: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971276
a0BWR0000083yXy2AI,AGR-1153,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1347: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971285
a0BWR0000083yYE2AY,AGR-1169,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1350: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971293
a0BWR0000083yYH2AY,AGR-1172,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1349: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971301
a0BWR0000083yYV2AY,AGR-1186,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-1353: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971309
a0BWR0000083yaX2AQ,AGR-1312,Agreement_Type__c,EMA,NEMA,ironclad_export_2026-05-04 (IC-278: Non-Exclusive Marketing Agreement),PREVIEW,2026-05-05T09:05:28.971317
