SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR000012Owu2YAC,ROE - 1231 W BASELINE RD MESA AZ,CREATED,,Owner=Tanya RT=Business_ROE Stage=ROE_Secured PL=a01WR00000UGVw7YAH City=MESA Zip=85202,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
a0BWR000008a4jh2AA,AGR-1501,CREATED,,Type=ROE Status=Completed IronClad=IC-658 Opp=006WR000012Owu2YAC,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
006WR000012PJqbYAG,ROE - 1835 S EXTENSION RD MESA AZ,CREATED,,Owner=Tanya RT=Business_ROE Stage=ROE_Secured PL=a01WR00000UGWJqYAP City=MESA Zip=85210,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
a0BWR000008a5pN2AQ,AGR-1502,CREATED,,Type=ROE Status=Completed IronClad=IC-659 Opp=006WR000012PJqbYAG,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
006WR000012OW0LYAW,ROE - 2150 S DOBSON RD MESA AZ,CREATED,,Owner=Tanya RT=Business_ROE Stage=ROE_Secured PL=a01WR00000UGWWTYA5 City=MESA Zip=85202,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
a0BWR000008a5sb2AA,AGR-1503,CREATED,,Type=ROE Status=Completed IronClad=IC-655 Opp=006WR000012OW0LYAW,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
006WR000012Ouc9YAC,ROE - 2152 S VINEYARD MESA AZ,CREATED,,Owner=Tanya RT=Business_ROE Stage=ROE_Secured PL=a01WR00000UGWWXYA5 City=MESA Zip=85210,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
a0BWR000008a5uD2AQ,AGR-1504,CREATED,,Type=ROE Status=Completed IronClad=IC-661 Opp=006WR000012Ouc9YAC,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
006WR000012NNaCYAW,ROE - 2651 W GUADALUPE RD MESA AZ,CREATED,,Owner=Tanya RT=Business_ROE Stage=ROE_Secured PL=a01WR00000UGWgiYAH City=MESA Zip=85202,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
a0BWR000008a5vp2AA,AGR-1505,CREATED,,Type=ROE Status=Completed IronClad=IC-660 Opp=006WR000012NNaCYAW,AZ ROE 9.30.25,2026-04-29 12:33:14,INSERT
