Id,Name,Next_Action__c,result,detail
006WR00000wkABeYAM,Azlewood,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8UYAU,Gateway Village Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkC7yYAE,Quail Run Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjfYAE,Stone Hill Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCljYAE,Eagle's Point Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDM7YAM,Garden Gate Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMLYA2,Harmon Senior Villas,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMKYA2,Legacy Riverside Senior Living,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMGYA2,North Park Landing Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMUYA2,The Holston,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkClTYAU,The Palo Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkClcYAE,The Palo Townhomes,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMOYA2,Georgetown Place Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkAByYAM,New Life RV Park,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMNYA2,Heights at 701,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA98YAE,Churchill at Golden Triangle,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCloYAE,Elan at Keller Ranch,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkClqYAE,The Lyric at Keller Center Stage,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
