Id,Name,StageName,Loss_Reason__c,Next_Action__c
006WR00000wkABeYAM,Azlewood,Prospects,,
006WR00000wkA8UYAU,Gateway Village Apartments,Prospects,,
006WR00000wkC7yYAE,Quail Run Apartments,Prospects,,
006WR00000wkCjfYAE,Stone Hill Apartments,Prospects,,
006WR00000wkCljYAE,Eagle's Point Apartments,Prospects,,
006WR00000wkDM7YAM,Garden Gate Apartments,Prospects,,
006WR00000wkDMLYA2,Harmon Senior Villas,Prospects,,
006WR00000wkDMKYA2,Legacy Riverside Senior Living,Prospects,,
006WR00000wkDMGYA2,North Park Landing Apartments,Prospects,,
006WR00000wkDMUYA2,The Holston,Prospects,,
006WR00000wkClTYAU,The Palo Apartments,Prospects,,
006WR00000wkClcYAE,The Palo Townhomes,Prospects,,
006WR00000wkDMOYA2,Georgetown Place Apartments,Prospects,,
006WR00000wkAByYAM,New Life RV Park,Prospects,,
006WR00000wkDMNYA2,Heights at 701,Prospects,,
006WR00000wkA98YAE,Churchill at Golden Triangle,Prospects,,
006WR00000wkCloYAE,Elan at Keller Ranch,Prospects,,
006WR00000wkClqYAE,The Lyric at Keller Center Stage,Prospects,,
006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,Prospects,,
006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,Prospects,,
006WR00000wkCjPYAU,Century Plaza,Prospects,,
006WR00000wkDtIYAU,John Wesley Arms,Prospects,,
006WR00000wkDtJYAU,Las Palmas,Prospects,,
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,Prospects,,
006WR00000wkDtDYAU,Nolan Creek Mobile Park,Prospects,,
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,Prospects,,
006WR00000wkA9KYAU,River Oaks Apartments,Prospects,,
006WR00000wk9T6YAI,Terrace Villa_Morris RE,Prospects,,
006WR00000wkC7xYAE,Chateau West Apartments,Prospects,,
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Prospects,,
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Prospects,,
006WR00000wkABsYAM,Heritage Manor,Prospects,,
006WR00000wkDM6YAM,Sandstone Foothills Apartments,Prospects,,
006WR00000wkCjQYAU,Southridge Apartments,Prospects,,
006WR00000wkDMAYA2,The Peaks Townhomes,Prospects,,
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,Prospects,,
006WR00000wkArrYAE,Astoria Senior Living,Prospects,,
006WR00000wj8KcYAI,Camelot Village,Prospects,,
006WR00000wkA8pYAE,Caravelle Apartments,Prospects,,
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Prospects,,
006WR00000wkA8tYAE,Corby Castle Apts,Prospects,,
006WR00000wkDMEYA2,Corby Street Apartments,Prospects,,
006WR00000wkA8vYAE,Coronado Condominiums,Prospects,,
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,Prospects,,
006WR00000wkA6VYAU,Dundee View,Prospects,,
006WR00000wj8KLYAY,Juniper Gardens,Prospects,,
006WR00000wkA8gYAE,Hillside Park Apartments,Prospects,,
006WR00000wkCjqYAE,Hillside Rows Apts,Prospects,,
006WR00000wkA8rYAE,Laurel Hill Apartments,Prospects,,
006WR00000wkC73YAE,Loveland by Broadmoor,Prospects,,
006WR00000wkBTzYAM,Luma Lane Apartments,Prospects,,
006WR00000wkA8FYAU,Maplewood Court Apartments,Prospects,,
006WR00000wkCkZYAU,New Towne West Apts,Prospects,,
006WR00000wkA8eYAE,Park Crest,Prospects,,
006WR00000wj8KeYAI,Peony Village,Prospects,,
006WR00000wj8KsYAI,Pine Tree Apartments,Prospects,,
006WR00000wj8KIYAY,Prairie Spring Apartments,Prospects,,
006WR00000wiNoNYAU,Sorensen Heights,Prospects,,
006WR00000wj8KXYAY,Residences at Sorensen Square,Prospects,,
006WR00000wkCkeYAE,Swanson Towers Condominiums,Prospects,,
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,Prospects,,
006WR00000wj8KaYAI,The Village at Grant Square,Prospects,,
006WR00000wkCkrYAE,Town And Country RV Park,Prospects,,
006WR00000wkCjsYAE,Vaughan Manor Apartments,Prospects,,
006WR00000wkCjDYAU,Villa Vinee Apartments,Prospects,,
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Prospects,,
006WR00000wkCjoYAE,Woodgate Townhomes,Prospects,,
006WR00000wkA7zYAE,Wyndham Hill,Prospects,,
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Prospects,,
006WR00000wkAC0YAM,Bull Run Apts,Prospects,,
006WR00000wkC7vYAE,Burnett Place Apartments,Prospects,,
006WR00000wkCjhYAE,TAYLOR_MDU_DEBUS_APTS AKA Boxwoods at Taylor Condo Community,Prospects,,
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,Prospects,,
006WR00000wkCjgYAE,Estates of Bridgeport,Prospects,,
006WR00000wkClYYAU,Collection Champions Circle,Prospects,,
006WR00000wkDMSYA2,Creekside at North Beach,Prospects,,
006WR00000wkCjOYAU,Northpoint Villas,Prospects,,
006WR00000wkClbYAE,Solea Keller,Prospects,,
006WR00000wkDt1YAE,The Harrison at Heritage,Prospects,,
006WR00000wkDMQYA2,The Opal Fort Worth,Prospects,,
006WR00000wkCmMYAU,Allora North Georgetown,Prospects,,
006WR00000wkDsvYAE,Park_Place (Care Center),Prospects,,
006WR00000wkDMZYA2,Parkside Crossing Condominiums,Prospects,,
006WR00000wk9Z9YAI,Residences of Stillwater,Prospects,,
006WR00000wkDLsYAM,Williamson At The Overlook,Prospects,,
