Id,Name,Site,Batch,From Stage,From Loss,To Stage,Proposed Next_Action__c,Chars
006WR00000wkABeYAM,Azlewood,Azle_MDU_Azlewood,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkA8UYAU,Gateway Village Apartments,Azle_MDU_Gateway Village Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkC7yYAE,Quail Run Apartments,Decatur_MDU_Quail Run Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkCjfYAE,Stone Hill Apartments,Decatur_MDU_Stone Hill Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkCljYAE,Eagle's Point Apartments,Fort Worth_MDU_Eagle's Point Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDM7YAM,Garden Gate Apartments,Fort Worth_MDU_Garden Gate Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMLYA2,Harmon Senior Villas,Fort Worth_MDU_Harmon Senior Villas,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMKYA2,Legacy Riverside Senior Living,Fort Worth_MDU_Legacy Riverside Senior Living,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMGYA2,North Park Landing Apartments,Fort Worth_MDU_North Park Landing Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMUYA2,The Holston,Fort Worth_MDU_The Holston,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkClTYAU,The Palo Apartments,Fort Worth_MDU_The Palo Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkClcYAE,The Palo Townhomes,Fort Worth_MDU_The Palo Townhomes,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMOYA2,Georgetown Place Apartments,Georgetown_MDU_Georgetown Place Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkAByYAM,New Life RV Park,Georgetown_MDU_New Life RV Park,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkDMNYA2,Heights at 701,Harker Heights_MDU_Height_at_701_ Apartments,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkA98YAE,Churchill at Golden Triangle,Keller_MDU_Churchill at Golden Triangle,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
006WR00000wkCloYAE,Elan at Keller Ranch,Keller_MDU_Elan at Keller Ranch,2026-07-16,Closed Lost,No Contact Info,Prospects,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,64
