SF_Id,Name,Action,Field,Before,After,Opp,Source,Result,Timestamp
006WR00000wkEaQYAU,Woodland Trio The Oaks,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaQYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:47.108499
006WR00000wkEaRYAU,Baldwin Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaRYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:47.555062
006WR00000wkEaSYAU,White Oak Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,White Oak Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaSYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:48.003471
006WR00000wkEaTYAU,Bali Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Bali Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaTYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:48.323312
006WR00000wkEaUYAU,Corbett Avenue Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Corbett Avenue Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaUYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:48.729400
006WR00000wkEaVYAU,Chatsworth Plaza,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Chatsworth Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaVYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:49.091019
006WR00000wkEaWYAU,John Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,John Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaWYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:49.443423
006WR00000wkEaXYAU,Casa Linda,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Casa Linda,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaXYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:49.788819
006WR00000wkEaYYAU,Windsor Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Windsor Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaYYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:50.109134
006WR00000wkEaZYAU,Coliseum Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Coliseum Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaZYAU. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:50.441267
006WR00000wkEaaYAE,Colonial Manor Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Colonial Manor Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaaYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:50.708293
006WR00000wkEabYAE,San Vicente Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,San Vicente Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEabYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:50.999865
006WR00000wkEacYAE,St. Andrews Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,St. Andrews Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEacYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:51.335278
006WR00000wkEadYAE,Krystal Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Krystal Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEadYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:51.789171
006WR00000wkEaeYAE,Parkway Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Parkway Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaeYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:52.103869
