SF_Id,Name,Action,Field,Before,After,Source,Result,Timestamp
006WR00000wkEaQYAU,Woodland Trio The Oaks,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:41.026690
006WR00000wkEaQYAU,Woodland Trio The Oaks,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:41.451974
006WR00000wkEaRYAU,Baldwin Manor,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:41.909037
006WR00000wkEaRYAU,Baldwin Manor,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:42.304747
006WR00000wkEaSYAU,White Oak Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:42.746177
006WR00000wkEaSYAU,White Oak Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:43.149894
006WR00000wkEaTYAU,Bali Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:43.652580
006WR00000wkEaTYAU,Bali Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:44.025126
006WR00000wkEaUYAU,Corbett Avenue Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:44.466462
006WR00000wkEaUYAU,Corbett Avenue Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:44.896767
006WR00000wkEaVYAU,Chatsworth Plaza,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:45.284876
006WR00000wkEaVYAU,Chatsworth Plaza,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:45.701525
