Action,SF_Id,Name,Field,Before,After,Status,Source,Timestamp
PREVIEW,a0BWR0000083yBC2AY,AGR-0041,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588100
PREVIEW,a0BWR0000083yBE2AY,AGR-0043,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588120
PREVIEW,a0BWR0000083yBa2AI,AGR-0065,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588130
PREVIEW,a0BWR0000083yBp2AI,AGR-0080,Signed_Date__c,2025-09-05,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588138
PREVIEW,a0BWR0000083yBy2AI,AGR-0089,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588145
PREVIEW,a0BWR0000083yBz2AI,AGR-0090,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588152
PREVIEW,a0BWR0000083yFX2AY,AGR-0310,Signed_Date__c,2024-03-20,,Paused,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588159
PREVIEW,a0BWR0000083yGv2AI,AGR-0396,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588166
PREVIEW,a0BWR0000083yKL2AY,AGR-0508,Signed_Date__c,2024-05-06,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588173
PREVIEW,a0BWR0000083yU12AI,AGR-0908,Signed_Date__c,2026-01-16,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588185
PREVIEW,a0BWR0000083yXM2AY,AGR-1115,Signed_Date__c,2026-02-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588192
PREVIEW,a0BWR0000083yYK2AY,AGR-1175,Signed_Date__c,2026-04-17,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588199
PREVIEW,a0BWR0000083yak2AA,AGR-1325,Signed_Date__c,2025-07-29,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588206
PREVIEW,a0BWR000008WSUP2A4,AGR-1454,Signed_Date__c,2024-11-05,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588212
PREVIEW,a0BWR000008WSZF2A4,AGR-1457,Signed_Date__c,2025-12-21,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588219
PREVIEW,a0BWR000008WScT2AW,AGR-1459,Signed_Date__c,2024-12-11,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588226
PREVIEW,a0BWR000008WSfh2AG,AGR-1461,Signed_Date__c,2025-03-17,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588232
PREVIEW,a0BWR000008WShJ2AW,AGR-1462,Signed_Date__c,2024-12-11,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588239
PREVIEW,a0BWR000008WSpN2AW,AGR-1468,Signed_Date__c,2025-05-15,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588245
PREVIEW,a0BWR000008WSuD2AW,AGR-1471,Signed_Date__c,2025-07-30,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588252
PREVIEW,a0BWR000008Xk7W2AS,AGR-1484,Signed_Date__c,2026-03-17,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588258
PREVIEW,a0BWR000008XlOY2A0,AGR-1487,Signed_Date__c,2026-03-24,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588265
PREVIEW,a0BWR000008Xnq92AC,AGR-1477,Signed_Date__c,2026-02-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588271
PREVIEW,a0BWR000008Xnrl2AC,AGR-1478,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588278
PREVIEW,a0BWR000008XntN2AS,AGR-1479,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588285
PREVIEW,a0BWR000008Xnuz2AC,AGR-1480,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588291
PREVIEW,a0BWR000008Xnwb2AC,AGR-1481,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588298
PREVIEW,a0BWR000008XnyD2AS,AGR-1482,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588305
PREVIEW,a0BWR000008Xnzp2AC,AGR-1483,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588311
PREVIEW,a0BWR000008Xo1R2AS,AGR-1485,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588317
PREVIEW,a0BWR000008Xo332AC,AGR-1486,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588324
PREVIEW,a0BWR000008Xo4f2AC,AGR-1488,Signed_Date__c,2026-04-14,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588331
PREVIEW,a0BWR000008Xo6H2AS,AGR-1489,Signed_Date__c,2026-04-14,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:28:58.588338
