SF_Id,Opp_Name,Field,Before,After,Source,Timestamp,Action
006WR000011kjHCYAY,ROE - 1930 S ALMA SCHOOL RD MESA AZ,ContentNote,,Created note 069WR00001DtJoPYAV: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHDYAY,ROE - 2045 S VINEYARD  MESA AZ,ContentNote,,Created note 069WR00001DrASpYAN: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHEYAY,ROE - 1855 W BASELINE RD MESA AZ,ContentNote,,Created note 069WR00001DqVHlYAN: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHFYAY,ROE - 2222 S DOBSON RD MESA AZ,ContentNote,,Created note 069WR00001DsyFLYAZ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHHYAY,ROE - 941 S DOBSON RD MESA AZ,ContentNote,,Created note 069WR00001Dt2KaYAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHIYAY,ROE - 1839 S ALMA SCHOOL RD MESA AZ,ContentNote,,Created note 069WR00001DrqS7YAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHJYAY,ROE - 2602 W BASELINE RD MESA AZ,ContentNote,,Created note 069WR00001Dsmu7YAB: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHKYAY,ROE - 5026 E MAIN ST MESA AZ,ContentNote,,Created note 069WR00001DsL63YAF: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHLYAY,ROE - 535 W IRON AVE MESA AZ,ContentNote,,Created note 069WR00001Dsr4BYAR: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHMYAY,ROE - 1811 S ALMA SCHOOL RD MESA AZ,ContentNote,,Created note 069WR00001DsurfYAB: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHNYAY,ROE - 3050 S COUNTRY CLUB DR MESA AZ,ContentNote,,Created note 069WR00001DrzNQYAZ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHOYAY,ROE - 1455 S STAPLEY DR MESA AZ,ContentNote,,Created note 069WR00001DsrSPYAZ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHPYAY,ROE - 4830 E MAIN ST MESA AZ,ContentNote,,Created note 069WR00001DrKAPYA3: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHQYAY,ROE - 737 W GUADALUPE RD MESA AZ,ContentNote,,Created note 069WR00001DrzHCYAZ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHSYAY,ROE - 2815 S ALMA SCHOOL RD MESA AZ,ContentNote,,Created note 069WR00001DtJwTYAV: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHTYAY,ROE - 745 W BASELINE RD MESA AZ,ContentNote,,Created note 069WR00001DsBukYAF: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHUYAY,ROE - 305 E MAIN ST MESA AZ,ContentNote,,Created note 069WR00001DsAXDYA3: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHVYAY,ROE - 1855 E SOUTHERN AVE MESA AZ,ContentNote,,Created note 069WR00001Dt5YYYAZ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHWYAY,ROE - 1941 W GUADALUPE RD MESA AZ,ContentNote,,Created note 069WR00001Drx3sYAB: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHXYAY,ROE - 1837 W GUADALUPE RD MESA AZ,ContentNote,,Created note 069WR00001Dt4ChYAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHaYAI,ROE - 535 E SOUTHERN AVE MESA AZ,ContentNote,,Created note 069WR00001Dsc5LYAR: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHbYAI,ROE - 1012 S STAPLEY DR MESA AZ,ContentNote,,Created note 069WR00001Dr6vZYAR: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHcYAI,ROE - 127 W JUANITA AVE MESA AZ,ContentNote,,Created note 069WR00001Dt4XgYAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHdYAI,ROE - 2111 S ALMA SCHOOL RD MESA AZ,ContentNote,,Created note 069WR00001DrsVeYAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHeYAI,ROE - 2120 W GUADALUPE RD MESA AZ,ContentNote,,Created note 069WR00001DsmkWYAR: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHgYAI,ROE - 2051 S DOBSON RD MESA AZ,ContentNote,,Created note 069WR00001DscWaYAJ: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
006WR000011kjHhYAI,ROE - 320 E 10TH DR MESA AZ,ContentNote,,Created note 069WR00001DtJusYAF: Contact Info (from SMB ROE spreadsheet),SMB ROE col 29+30 import,2026-04-29 16:46:59,INSERT
