Action,IronClad_Id,Opp_Name,New_Opp_Id,New_Agreement_Id,City,State,Signed_Date,Counterparty,Timestamp
CREATE,IC-1704,ROE - 7254 N 30TH ST OMAHA NE,006WR00001CFyyxYAD,a0BWR000009ZHTp2AO,Omaha,NE,2025-10-21,Progressive Retail Management Inc.,2026-07-01T09:28:18.826077
CREATE,IC-1758,ROE - 4910 NORTH 72ND STREET OMAHA NE,006WR00001CGkHDYA1,a0BWR000009ZHX32AO,Omaha,NE,2025-10-23,Marian High School Inc.,2026-07-01T09:28:20.011182
CREATE,IC-1780,ROE - 9502 FORT STREET OMAHA NE,006WR00001CGttzYAD,a0BWR000009ZHC92AO,Omaha,NE,2025-11-05,Morgan Lewis / COMPASSION & CARE NEBRASKA LLC,2026-07-01T09:28:21.025694
CREATE,IC-1784,ROE - 6330 NORTH 56TH STREET OMAHA NE,006WR00001CGhROYA1,a0BWR000009ZHYf2AO,Omaha,NE,2025-11-07,Victory Church,2026-07-01T09:28:22.467611
CREATE,IC-1829,ROE - 5030 NORTH 72ND STREET OMAHA NE,006WR00001CEAJUYA5,a0BWR000009ZHaH2AW,Omaha,NE,2025-11-19,Cross Training Center,2026-07-01T09:28:23.408897
CREATE,IC-2226,ROE - 40134 INDUSTRIAL PARK CIRCLE GEORGETOWN TX,006WR00001CGtvbYAD,a0BWR000009ZHbt2AG,Georgetown,TX,2026-01-22,Century 21 Commercial Stribling Properties,2026-07-01T09:28:24.797090
CREATE,IC-2630,ROE - 1568 FM3433 NEWARK TX,006WR00001CH2E5YAL,a0BWR000009ZHdV2AW,Newark,TX,2026-01-30,Scott Bolton,2026-07-01T09:28:26.046041
CREATE,IC-265,ROE - 100-248 PARK ST AZLE TX,006WR00001CGV3eYAH,a0BWR000009ZHf72AG,Azle,TX,2025-06-25,"Woodcrest Capital, LLC",2026-07-01T09:28:27.390044
CREATE,IC-2699,ROE - 2100 TRIMMIER ROAD KILLEEN TX,006WR00001CH2KXYA1,a0BWR000009ZHgj2AG,Killeen,TX,2026-02-09,Liberty Square Partnership,2026-07-01T09:28:29.316196
CREATE,IC-2725,ROE - 11640 NORTH INTERSTATE 35 JARRELL TX,006WR00001CH2M9YAL,a0BWR000009ZHiL2AW,Jarrell,TX,2026-02-12,McDonalds Real Estate Company,2026-07-01T09:28:30.251091
CREATE,IC-2798,ROE - 913 WEST RANCIER AVENUE KILLEEN TX,006WR00001CH2PNYA1,a0BWR000009ZHjx2AG,Killeen,TX,2026-02-18,Arcade News,2026-07-01T09:28:31.545829
CREATE,IC-2843,ROE - 610 NORTH AUSTIN AVENUE GEORGETOWN TX,006WR00001CEovCYAT,a0BWR000009ZHlZ2AW,Georgetown,TX,2026-02-25,HW Georgetown,2026-07-01T09:28:33.066131
CREATE,IC-2870,ROE - 5001 NORTH 42ND STREET OMAHA NE,006WR00001CH2UDYA1,a0BWR000009ZHnB2AW,Omaha,NE,2026-03-04,Stacey Hunnicutt,2026-07-01T09:28:34.131729
CREATE,IC-2923,ROE - 600 NORTHWEST 6TH STREET MINERAL WELLS TX,006WR00001CF0usYAD,a0BWR000009ZHon2AG,Mineral Wells,TX,2026-03-13,ST LUKE S EPISCOPAL CHURCH / CORP OF THE EPISCOPAL DIOCESE OF FT WORTH,2026-07-01T09:28:35.056306
CREATE,IC-2924,ROE - 1002 CARPENTER STREET BRIDGEPORT TX,006WR00001CDrgjYAD,a0BWR000009ZHqP2AW,Bridgeport,TX,2026-03-13,LM Grace Non-Exempt Trust,2026-07-01T09:28:36.221827
CREATE,IC-2926,ROE - 100 EAST SPRING STREET GEORGETOWN TX,006WR00001CGwwhYAD,a0BWR000009ZHs12AG,Georgetown,TX,2026-03-16,Etheredge Sandra P Trustee of Revocable Living Trust,2026-07-01T09:28:37.777630
CREATE,IC-2988,ROE - 3116 CAPITAL WAY FORT WORTH TX,006WR00001CGuV5YAL,a0BWR000009ZHtd2AG,Fort Worth,TX,2026-03-27,Dr. Amrittej Virk,2026-07-01T09:28:38.791704
CREATE,IC-3036,ROE - 7301 NORTH 28TH AVENUE OMAHA NE,006WR00001CH2afYAD,a0BWR000009ZHvF2AW,Omaha,NE,2026-04-06,Mount Olive Lutheran Church,2026-07-01T09:28:39.954196
CREATE,IC-3172,ROE - 660 W FM 2410 RD HARKER HEIGHTS TX,006WR00001CFcggYAD,a0BWR000009ZHwr2AG,Harker Heights,TX,2026-04-15,Ted Smith Law Group,2026-07-01T09:28:40.796514
CREATE,IC-3262,ROE - 1519 NORTH MAIN STREET TAYLOR TX,006WR00001CGUSYYA5,a0BWR000009ZHyT2AW,Taylor,TX,2026-04-17,"City of Taylor, Texas",2026-07-01T09:28:41.879264
CREATE,IC-3321,ROE - 135 OLD MILL ROAD RHOME TX,006WR00001CH2cHYAT,a0BWR000009ZI052AG,Rhome,TX,2026-04-22,Amiee Davis,2026-07-01T09:28:43.053907
