SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR000012QQ8TYAW,ROE - 4115 LAKE ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXCVYA5,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB0L2AU,AGR-1539,CREATED,,Type=ROE IronClad=IC-1519 Opp=006WR000012QQ8TYAW,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012QQEvYAO,ROE - 8361 MORMON BRIDGE RD OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000bRJKWYA4,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB1x2AE,AGR-1540,CREATED,,Type=ROE IronClad=IC-1520 Opp=006WR000012QQEvYAO,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012NkIIYA0,ROE - 4115 LAKE ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXCVYA5,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB3Z2AU,AGR-1541,CREATED,,Type=ROE IronClad=IC-1521 Opp=006WR000012NkIIYA0,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012QQLNYA4,ROE - 4521 N 30TH ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000fE8UkYAK,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB5B2AU,AGR-1542,CREATED,,Type=ROE IronClad=IC-1522 Opp=006WR000012QQLNYA4,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012OkcmYAC,ROE - 5020 N 72ND ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000lLsnbYAC,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB6n2AE,AGR-1543,CREATED,,Type=ROE IronClad=IC-1524 Opp=006WR000012OkcmYAC,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012Oh0aYAC,ROE - 4614 DODGE ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000lLsmsYAC,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aB8P2AU,AGR-1544,CREATED,,Type=ROE IronClad=IC-1526 Opp=006WR000012Oh0aYAC,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012PPJNYA4,ROE - 708 W HUBBARD ST MINERAL WELLS TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXoBYAX,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aBA12AM,AGR-1545,CREATED,,Type=ROE IronClad=IC-319 Opp=006WR000012PPJNYA4,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012QQZtYAO,Omaha_MDU_7610 Ohio Plaza,CREATED,,Owner=Rose RT=MDU,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aBBd2AM,AGR-1546,CREATED,,Type=ROE IronClad=IC-680 Opp=006WR000012QQZtYAO,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012QQgLYAW,Omaha_MDU_5511 N 30th St (3rd),CREATED,,Owner=Rose RT=MDU,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aBEr2AM,AGR-1547,CREATED,,Type=ROE IronClad=IC-1523 Opp=006WR000012QQgLYAW,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
006WR000012PbluYAC,Omaha_MDU_8021 Maple Street,CREATED,,Owner=Rose RT=MDU,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
a0BWR000008aBGT2A2,AGR-1548,CREATED,,Type=ROE IronClad=IC-1529 Opp=006WR000012PbluYAC,ROE_ALL 10.15.25,2026-04-29 13:21:29,INSERT
