SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR000011kjHRYAY,ROE - 2653 W GUADALUPE RD MESA AZ,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ndSnb2AE Ag=a0BWR000008XnQM2A0 (conf=HIGH/counterparty_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjHYYAY,ROE - 1745 S ALMA SCHOOL RD MESA AZ,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ndSnc2AE Ag=a0BWR000008Xnmv2AC (conf=HIGH/counterparty_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjHGYAY,ROE - 1660 S ALMA SCHOOL RD MESA AZ,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ndSnl2AE Ag=a0BWR000008XnoX2AS (conf=HIGH/counterparty_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIYYAY,ROE - 10000 CALIFORNIA ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng1sV2AQ Ag=a0BWR000008Xnq92AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIeYAI,ROE - 7410 N 30TH ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng1sW2AQ Ag=a0BWR000008Xnrl2AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIfYAI,ROE - 6901 DODGE ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2G62AI Ag=a0BWR000008XntN2AS (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIbYAI,ROE - 7101 NEWPORT AVE OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2G72AI Ag=a0BWR000008Xnuz2AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIaYAI,ROE - 6910 PACIFIC ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2G82AI Ag=a0BWR000008Xnwb2AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjImYAI,ROE - 6916 N 97TH CIR OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2Gd2AI Ag=a0BWR000008XnyD2AS (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIaYAI,ROE - 6910 PACIFIC ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2Gf2AI Ag=a0BWR000008Xnzp2AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjItYAI,ROE - 10110 NICHOLAS ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2Gh2AI Ag=a0BWR000008Xk7W2AS (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIoYAI,ROE - 1110 S 71ST ST OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2HF2AY Ag=a0BWR000008Xo1R2AS (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIiYAI,ROE - 9300 UNDERWOOD AVE OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2Hl2AI Ag=a0BWR000008Xo332AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjIvYAI,ROE - 7010 N 97TH CIR OMAHA NE,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000ng2XJ2AY Ag=a0BWR000008XlOY2A0 (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjHdYAI,ROE - 2111 S ALMA SCHOOL RD MESA AZ,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000rDzFF2A0 Ag=a0BWR000008Xo4f2AC (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
006WR000011kjHXYAY,ROE - 1837 W GUADALUPE RD MESA AZ,Agreement__c.Created,(no link),Type=ROE link IC=a0HWR00000rDzFH2A0 Ag=a0BWR000008Xo6H2AS (conf=HIGH/property_address_exact),ironclad_bulk_linker.py,2026-04-27T08:47:18,create
