IronClad_Id__c,Record_Type_IC__c,Stage_IC__c,MDU_or_BUS__c,Property_State__c,Property_Address__c,Counterparty_Name__c,Record_Name__c,Agreement_Date__c,Workflow_Created_Date__c,Workflow_Completed_Date__c,Last_Activity_Action__c
IC-2796,Bulk Services Agreement,cancelled,,Texas,"306 North Gilmer Street, Killeen, Texas 76541, United States",DKZ LLC,Bulk Services Agreement - Whispering Hills Apartments,,2026-02-18,,Workflow canceled
IC-1396,Easement Agreement,,,,,"Santa Rita Investments, Ltd.","Amended and Restated Fiber Shelter and Cell Tower Easement Agreement with Santa Rita Investments, Ltd.",2022-05-05,2025-09-03,,
IC-1210,Easement Agreement,,,,,"Santa Rita Investments, Ltd.","First Amendment to Amended and Restated Easement Agreement with Santa Rita Investments, Ltd.",2025-08-11,2025-08-12,,
IC-3288,Easement Agreement,,,California,"619 Poinsettia Park, Encinitas, California 92024, United States",Poinsettia Park Homeowner Association,Easement Agreement with Poinsettia Park Homeowner Association,2023-05-12,2026-04-20,,
IC-3294,Easement Agreement,,,California,"691 Summer View Circle, Encinitas, California 92024, United States",Encinitas Village HOA,Easement Agreement with Encinitas Village HOA,2023-06-09,2026-04-20,,
IC-3301,Easement Agreement,,,,,"Forrest Bluff, LLC.","Easement Agreement with Forrest Bluff, LLC.",2023-03-23,,,
IC-3310,Easement Agreement,,,California,"556 Orpheus Avenue, Encinitas, California 92024, United States",Coast Point HOA,Easement Agreement with Coast Point HOA,2023-07-26,2026-04-20,,
IC-3306,Easement Agreement,,,California,"235 May Court, Encinitas, California 92007, United States",May Court Residents,Easement Agreement with May Court Residents,2024-07-10,2026-04-20,,
IC-3289,Easement Agreement,,,California,"512-514 Via De La Valle, Solana Beach, California, United States",CFI,Easement Agreement with CFI,2025-01-22,2026-04-20,,
IC-3292,Easement Agreement,,,California,"500 Forrest Bluff, Encinitas, California 92024, United States",Forrest Bluff Apartments,Easement Agreement with Forrest Bluff Apartments,2023-03-23,2026-04-20,,
IC-3339,Easement Agreement,,,California,"1145 Oceanic Drive, Encinitas, California 92024, United States",homeowners of Oceanic Drive,Easement Acknowledgment with Homeowners of Oceanic Drive,2024-10-31,2026-04-28,,
IC-3333,Easement Agreement,,,California,"6471 Terraza Portico, Carlsbad, California 92009, United States",PORTICO AT RANCHO CARRILLO HOMEOWNERS ASSOCIATION,Easement Agreement with PORTICO AT RANCHO CARRILLO HOMEOWNERS ASSOCIATION,2023-12-22,2026-04-27,,
IC-4149,Easement Agreement,,,Arizona,"1425 South Lindsay Road, Mesa, Arizona 85204, United States",Lindsay Court Community Master Association,Easement Acknowledgement with Lindsay Court Community Master Association,2023-07-21,2026-06-10,,
IC-4150,Easement Agreement,,,Arizona,"1535 North Horne Avenue, Mesa, Arizona 85203, United States",Horn Avenue HOA Inc,Easement Acknowledgement with Horn Avenue HOA Inc,2023-08-02,2026-06-10,,
IC-4152,Easement Agreement,,,Arizona,"125 North 22nd Place, Mesa, Arizona 85213, United States",Cottage Grove Estates Homeowners Association,Easement Acknowledgement with Cottage Grove Estates Homeowners Association,2023-08-15,2026-06-10,,
IC-4154,Easement Agreement,,,Arizona,"1428 E Julep St, Mesa, Arizona 85203, United States",Greens At Royal Palms HOA,Easement Acknowledgement with Greens At Royal Palms HOA,2023-09-11,2026-06-10,,
IC-4153,Easement Agreement,,,Arizona,"921 South Val Vista Drive, Mesa, Arizona 85204, United States",Stonebridge Gardens,Easement Acknowledgement with Stonebridge Gardens,2023-09-22,2026-06-10,,
IC-4151,Easement Agreement,,,Arizona,"546 S Marina Dr, Gilbert, Arizona 85233, United States",Coral Point Community Association,Easement Acknowledgement with Coral Point Community Association,2024-02-29,2026-06-10,,
IC-4148,Easement Agreement,,,Arizona,"1523 West Warner Road, Gilbert, Arizona 85233, United States",Paradise Cove at The Islands Homeowners' Association,Easement Acknowledgement with Paradise Cove at The Islands Homeowners' Association,2024-08-02,2026-06-10,,
IC-4155,Easement Agreement,,,Arizona,"25 S Quinn Cir, Mesa, Arizona 85206, United States",Barclay Village Homeowners Association,Easement Acknowledgement with Barclay Village Homeowners Association,2025-03-06,2026-06-10,,
IC-2708,Right of Entry Agreement,,BUS,Nebraska,"2014 North 66th Street, Omaha, Nebraska 68104, United States",M & M KELLOGG PROPERTIES LLC,Right of Entry Agreement with M & M KELLOGG PROPERTIES LLC,2025-07-17,2026-02-10,,
IC-2641,Right of Entry Agreement,,MDU,Nebraska,"9208 Ohio Street, Omaha, Nebraska 68134, United States",CSP Investments LLC,Right of Entry Agreement with CSP Investments LLC,2024-12-10,2026-01-30,,
IC-1528,Right of Entry Agreement,,BUS,Nebraska,"5006 Underwood Avenue, Omaha, Nebraska 68132, United States",Dundee Group LLC,Right of Entry with Dundee Group LLC,2025-06-19,2025-09-16,,
IC-1530,Right of Entry Agreement,,BUS,Nebraska,"2209 Military Avenue, Omaha, Nebraska 68111, United States",Lashawn Kellogg,Right of Entry Agreement with Lashawn Kellogg,2025-07-11,2025-09-16,,
IC-2636,Right of Entry Agreement,,MDU,Nebraska,"5101 Terrace Drive, Omaha, Nebraska 68134, United States",Centennial Properties LLC,Right of Entry Agreement with Centennial Properties LLC,2024-08-21,2026-01-30,,
IC-2707,Right of Entry Agreement,,BUS,Nebraska,"4488 and 4902 Hamilton Street, Omaha, Nebraska 68131, United States",M & M KELLOGG PROPERTIES LLC,Right of Entry Agreement with M & M KELLOGG PROPERTIES LLC,2025-07-17,2026-02-10,,
IC-696,Right of Entry Agreement,,MDU,Nebraska,"3450 North 45th Court, Omaha, Nebraska 68104, United States",Leo Vaughan Manor LTD,Right of Entry Agreement with Leo Vaughan Manor LTD,2025-01-07,2025-06-18,,
IC-686,Right of Entry Agreement,,MDU,Nebraska,"4525 Hamilton Street, Omaha, Nebraska 68132, United States",Second Level LLC,Right of Entry Agreement with Second Level LLC,2024-07-19,2025-06-18,,
