opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_address,opp_stage,rank,score,confidence,st_name,st_site_name,st_monday_name,st_state,st_city,st_site_status,st_already_linked_to,breakdown
006WR00000wjnlFYAQ,Temple View Condos,Mesa_MDU_Temple View Condos,AZ,Mesa,"501 E 2nd Ave, Mesa, AZ 85204, USA",Proposal Sent,1,6,medium,P-005703,Mesa_MDU_Dobson Ranch Condos,Dobson Ranch Condos,AZ,Mesa,In Service,Dobson Ranch Condos,"state+1; city_exact+3; nametoks['condos', 'mesa']+2"
006WR00000wjnlFYAQ,Temple View Condos,Mesa_MDU_Temple View Condos,AZ,Mesa,"501 E 2nd Ave, Mesa, AZ 85204, USA",Proposal Sent,2,6,,P-003210,Mesa_MDU_Twin Palms Condos,Twin Palms Condos,AZ,Mesa,In Service,Twin Palms Condominiums,"state+1; city_exact+3; nametoks['condos', 'mesa']+2"
006WR00000wjnlFYAQ,Temple View Condos,Mesa_MDU_Temple View Condos,AZ,Mesa,"501 E 2nd Ave, Mesa, AZ 85204, USA",Proposal Sent,3,5,,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,AZ,Mesa,In Service,Dobson Bay Club HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk1EFYAY,Affordable Storage,,TX,Hutto,3333 CR119 Hutto Texas 78634,PAL/ROE Complete,,,none,,,,,,,,
006WR00000wk9RyYAI,Rivers Edge,,TX,Georgetown,"115 Stone Mountain Road, Georgetown, TX, USA",Marketing/Bulk Complete,1,5,medium,P-000889,Georgetown_MDU_Retreat at Wolf Ranch,Retreat at Wolf Ranch,TX,Georgetown,In Service,Avalon Wolf Ranch (f/k/a Retreat at Wolf Ranch),state+1; city_exact+3; nametoks['georgetown']+1
006WR00000wk9RyYAI,Rivers Edge,,TX,Georgetown,"115 Stone Mountain Road, Georgetown, TX, USA",Marketing/Bulk Complete,2,5,,P-002041,Georgetown_MDU_Vida Apartments,Vida Apartments,TX,Georgetown,Future,Vida Apartments,state+1; city_exact+3; nametoks['georgetown']+1
006WR00000wk9RyYAI,Rivers Edge,,TX,Georgetown,"115 Stone Mountain Road, Georgetown, TX, USA",Marketing/Bulk Complete,3,5,,P-006877,Georgetown_MDU_Linea Stillwater,Linea Stillwater,TX,Georgetown,Future,Linea Stillwater,state+1; city_exact+3; nametoks['georgetown']+1
006WR00000wk9S0YAI,Kirshenbaum Apartments,,NE,Omaha,"5013 California Street, Omaha, NE, USA",Contract Negotiations,1,6,medium,P-005793,Omaha_MDU_6302-6014 Boyd St,6302-6014 Boyd Street,NE,Omaha,In Service,Omaha_MDU_6302 Boyd St,"state+1; city_exact+3; nametoks['omaha', 'street']+2"
006WR00000wk9S0YAI,Kirshenbaum Apartments,,NE,Omaha,"5013 California Street, Omaha, NE, USA",Contract Negotiations,2,6,,P-006773,Omaha_MDU_78th Street Apartments,78th Street Apartments,NE,Omaha,Future,78th Place Apartments,"state+1; city_exact+3; nametoks['omaha', 'street']+2"
006WR00000wk9S0YAI,Kirshenbaum Apartments,,NE,Omaha,"5013 California Street, Omaha, NE, USA",Contract Negotiations,3,6,,P-006799,Omaha_MDU_California Place,California Place,NE,OMAHA,Future,Omaha_MDU_California Place,"state+1; city_exact+3; nametoks['california', 'omaha']+2"
