SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkDuOYAU,Stonebridge Gardens,MDU_Categorization__c,,NearNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcTYAU,Dobson Bay Club HOA,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuBYAU,Riverview Townhomes,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcWYAU,Twin Palms Condominiums,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcSYAU,Dobson Greens Condo HOA,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuAYAU,Villas on Horne,MDU_Categorization__c,,NearNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1ELYAY,Arcos De Mesa,MDU_Categorization__c,,NearNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDu7YAE,San Montego Luxury Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDu8YAE,The Turn Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EJYAY,Aspen Ridge,MDU_Categorization__c,,NearNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuCYAU,Avenue 8 Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuIYAU,Zona Village,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuGYAU,Mission Palms Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuEYAU,Brookwood Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDuHYAU,River Oaks Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EMYAY,Hunters Pointe (Mesa),MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EnYAI,Hallcraft Villas Mesa 1,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EfYAI,Navajo Hills,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EoYAI,Villa Pacifica Apartments - Tucson,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EiYAI,Yavapai Hills Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcUYAU,Dobson Ranch Condos,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbXYAU,Holiday Village Manufactured Home Village,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EkYAI,Cielo on 5th (f/k/a Equinox on 5th),MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcFYAU,Equinox on Country Club,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbWYAU,Waterstone Apartments,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEcVYAU,Woodcreek Townhomes,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbHYAU,Arcadia Walk,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbGYAU,Sahara & Playa Palms Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEb3YAE,Sunridge Patio Homes,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEb5YAE,Greenfield Village RV Resort,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbrYAE,Equinox on Indian School,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEc3YAE,Capri on Camelback,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbvYAE,The Traditions Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDu4YAE,High Country Villas 5&7,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk9SEYAY,La Mesa Village Apartments,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkDtwYAE,Woodglen Square ll,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk9SYYAY,Garden Place Apartments,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk9SZYAY,Falcon Glen Apartments,MDU_Categorization__c,,OnNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbIYAU,First Casa De Marina,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbMYAU,Gloria Homes,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEakYAE,Riverside Villa Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEahYAE,Brody Terrace (Riverside),MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbNYAU,Parthenia Terrace,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wk1EUYAY,Parkway Plaza,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaiYAE,Parkview Terrace,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbJYAU,Lombardi Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEafYAE,Kling Trio Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
