SF_Id,Name,Field,Before,After,Source,Timestamp,Action
a0BWR000008AyKr2AK,AGR-1360,IronClad_ID__c,,IC-682,ROE_ALL 10.15.25,2026-04-29 13:13:03,UPDATE
a0BWR000008AyBB2A0,AGR-1352,IronClad_ID__c,,IC-688,ROE_ALL 10.15.25,2026-04-29 13:13:03,UPDATE
a0BWR000008AyCn2AK,AGR-1353,IronClad_ID__c,,IC-695,ROE_ALL 10.15.25,2026-04-29 13:13:03,UPDATE
a0BWR000008Axob2AC,AGR-1338,IronClad_ID__c,,IC-692,ROE_ALL 10.15.25,2026-04-29 13:13:03,UPDATE
a0BWR000008Axwf2AC,AGR-1343,IronClad_ID__c,,IC-674,ROE_ALL 10.15.25,2026-04-29 13:13:03,UPDATE
006WR000012Pp46YAC,ROE - 5022 UNDERWOOD AVE OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000jebsBYAQ,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aA972AE,AGR-1515,CREATED,,Type=ROE Status=Completed IronClad=IC-672 Opp=006WR000012Pp46YAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Q35RYAS,ROE - 5019 UNDERWOOD AVE OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000jebsAYAQ,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAAj2AM,AGR-1516,CREATED,,Type=ROE Status=Completed IronClad=IC-666 Opp=006WR000012Q35RYAS,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012No2XYAS,ROE - 8811 MAPLE ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGY3GYAX,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aACL2A2,AGR-1517,CREATED,,Type=ROE Status=Completed IronClad=IC-677 Opp=006WR000012No2XYAS,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012OkZYYA0,ROE - 5404 AMES AVE OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXTbYAP,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAFZ2A2,AGR-1518,CREATED,,Type=ROE Status=Completed IronClad=IC-676 Opp=006WR000012OkZYYA0,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Q3ILYA0,ROE - 5148 N 90TH ST OMAHA NE,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXQRYA5,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAHB2A2,AGR-1519,CREATED,,Type=ROE Status=Completed IronClad=IC-675 Opp=006WR000012Q3ILYA0,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAIn2AM,AGR-1520,CREATED,,Type=ROE Status=Completed IronClad=IC-684 Opp=006WR00000y2k2dYAA,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012OtcpYAC,Omaha_MDU_5511 N 30th St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAKP2A2,AGR-1521,CREATED,,Type=ROE Status=Completed IronClad=IC-664 Opp=006WR000012OtcpYAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Po1aYAC,Omaha_MDU_4407 N 62nd St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAM12AM,AGR-1522,CREATED,,Type=ROE Status=Completed IronClad=IC-667 Opp=006WR000012Po1aYAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012PzQ2YAK,Omaha_MDU_4411 N 62nd St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aANd2AM,AGR-1523,CREATED,,Type=ROE Status=Completed IronClad=IC-668 Opp=006WR000012PzQ2YAK,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012OwFmYAK,Omaha_MDU_6301 Military Ave,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAPF2A2,AGR-1524,CREATED,,Type=ROE Status=Completed IronClad=IC-669 Opp=006WR000012OwFmYAK,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012PEffYAG,Omaha_MDU_4415 N 62nd St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAQr2AM,AGR-1525,CREATED,,Type=ROE Status=Completed IronClad=IC-670 Opp=006WR000012PEffYAG,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Q3a5YAC,Omaha_MDU_5511 N 30th St (additional units),CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAST2A2,AGR-1526,CREATED,,Type=ROE Status=Completed IronClad=IC-678 Opp=006WR000012Q3a5YAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012P0nzYAC,Omaha_MDU_4038 Hamilton St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAU52AM,AGR-1527,CREATED,,Type=ROE Status=Completed IronClad=IC-681 Opp=006WR000012P0nzYAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Q2XaYAK,Omaha_MDU_4402 N 60th Ave,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAVh2AM,AGR-1528,CREATED,,Type=ROE Status=Completed IronClad=IC-683 Opp=006WR000012Q2XaYAK,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012OCzLYAW,Omaha_MDU_5004 N 33rd St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAXJ2A2,AGR-1529,CREATED,,Type=ROE Status=Completed IronClad=IC-685 Opp=006WR000012OCzLYAW,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012OLJOYA4,Omaha_MDU_6506 Boyd,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAYv2AM,AGR-1530,CREATED,,Type=ROE Status=Completed IronClad=IC-691 Opp=006WR000012OLJOYA4,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
006WR000012Q3mzYAC,Omaha_MDU_4440 N 61st St,CREATED,,Owner=Rose RT=MDU Stage=ROE_Secured (no PL),ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
a0BWR000008aAaX2AU,AGR-1531,CREATED,,Type=ROE Status=Completed IronClad=IC-697 Opp=006WR000012Q3mzYAC,ROE_ALL 10.15.25,2026-04-29 13:13:03,INSERT
