SF_Id,Name,Field,Before,After,Source,Action,Timestamp
006WR00000wkEcpYAE,Sonterra Apartment Homes,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:29.523711
006WR00000wkEcEYAU,Northampton Court Condominiums,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:29.893298
006WR00000wk1EpYAI,Linea Stillwater,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:30.301840
006WR00000wk9RyYAI,Rivers Edge,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:30.613690
006WR00000wkEbQYAU,307 N Apartments_Colt RE,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:30.977998
006WR00000wkEbSYAU,Saffari Apts_Colt RE,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:31.362508
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:31.659216
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:32.074406
006WR00000wk9SEYAY,La Mesa Village Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:32.387507
006WR00000wk9SLYAY,Sierra G Ranch,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:32.727739
006WR00000wkDtzYAE,Whispering Hills Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:33.113463
006WR00000wk9SSYAY,Waters Haven Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:33.429415
006WR00000wk9SZYAY,Falcon Glen Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:33.762901
006WR00000wk9SdYAI,The Laredo Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:34.070322
006WR00000wk9SlYAI,Mariposa Apartment Homes at River Bend,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:34.353470
006WR00000wk9SoYAI,Stone Hill,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:34.768286
006WR00000wk9SqYAI,Hunter's Glen Apartments,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:35.168293
006WR00000wk9STYAY,Stone Ranch,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:35.480179
006WR00000wk9SDYAY,Meadow Glen Mobile Home Park,OwnerId,005WR00000CXIX7YAP (Chuck McNeely),005WR00000Ewjj3YAB (Brett Spivey),manual_request_2026-04-28,UPDATE,2026-04-28T15:26:35.853862
