timestamp,opp_id,opp_name,opp_stage,st_id_used,st_name_used,st_count_for_opp,action,result
2026-05-26T09:59:38,006WR00000wkEc8YAE,Bristol Square Apartments,PAL/ROE Complete,a2XVT000002iWRF2A2,P-006738,1,stamped,ok
2026-05-26T09:59:38,006WR00000xwGIXYA2,Omaha_MDU_6303 Taylor Cir,PAL/ROE Complete,a2XVT000000PmSu2AK,P-005791,1,stamped,ok
2026-05-26T09:59:38,006WR00000wk1ETYAY,Centennial Patio Home Apartments,Marketing/Bulk Complete,a2XVT0000006dhp2AA,P-004887,1,stamped,ok
2026-05-26T09:59:38,006WR00000wk1EPYAY,Big Sky Patio Home Apartments,Marketing/Bulk Complete,a2XVT0000006doH2AQ,P-004889,1,stamped,ok
2026-05-26T09:59:38,006WR00000xvxiwYAA,Omaha_MDU_4502 N 49th St,PAL/ROE Complete,a2XVT000000Ahzl2AC,P-005408,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEbYYAU,Trailpoint by Trion Living / Trailpoint on Highline,Marketing/Bulk Complete,a2XVT000000TIUb2AO,P-005802,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcjYAE,Lakeside Apartment Homes,Marketing/Bulk Complete,a2XVT0000004wdJ2AQ,P-004627,1,stamped,ok
2026-05-26T09:59:38,006WR00000xv6y2YAA,Killeen_MDU_209 E Dean Ave,PAL/ROE Complete,a2XVT000002zAu92AE,P-006777,1,stamped,ok
2026-05-26T09:59:38,006WR00000xw7SBYAY,Omaha_MDU_4005 Hartman Circle,PAL/ROE Complete,a2XVT000000gHKb2AM,P-006010,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcaYAE,Wheatbaker Patio Home Apartments,Marketing/Bulk Complete,a2XVT00000006Gj2AI,P-003398,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEceYAE,Pheasant Run Apartments,Marketing/Bulk Complete,a2XVT0000003k7x2AA,P-004260,5,stamped,ok
2026-05-26T09:59:38,006WR00000xwHCzYAM,Killeen_MDU_601 Harbour Ave,PAL/ROE Complete,a2XVT000002zAMH2A2,P-006775,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcHYAU,Avalon Wolf Ranch (f/k/a Retreat at Wolf Ranch),Marketing/Bulk Complete,a2X4x000002oAl1EAE,P-000889,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcOYAU,Avalon at Castle Hills (f/k/a Lakeway Castle Hills),Marketing/Bulk Complete,a2X4x000002oCucEAE,P-001059,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcNYAU,Eaves by Avalon (f/k/a Wimberly Apartments),Marketing/Bulk Complete,a2X4x000003CpmlEAC,P-002526,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkDu2YAE,Palmero by the Park (f/k/a Overlook by the Park),PAL/ROE Complete,a2X4x000003CrnWEAS,P-002754,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcWYAU,Twin Palms Condominiums,Marketing/Bulk Complete,a2X4x000002ivesEAA,P-003210,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEclYAE,Lucille on Roosevelt,Marketing/Bulk Complete,a2X4x000002iw61EAA,P-003272,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEbMYAU,Gloria Homes,PAL/ROE Complete,a2XVT00000000cj2AA,P-003282,1,stamped,ok
2026-05-26T09:59:38,006WR00000xuzq7YAA,Omaha_MDU_4803 Boyd St Apartments,PAL/ROE Complete,a2XVT000000REjd2AG,P-005801,1,stamped,ok
2026-05-26T09:59:38,006WR00000xvYz4YAE,Omaha_MDU_Caroline,PAL/ROE Complete,a2XVT0000035dOn2AI,P-006806,1,stamped,ok
2026-05-26T09:59:38,006WR00000xvBUcYAM,Omaha_MDU_4023 HAMILTON ST,PAL/ROE Complete,a2XVT000002l5kf2AA,P-006741,1,stamped,ok
2026-05-26T09:59:38,006WR00000wk1EEYAY,Henderson Terrace Apartments,Marketing/Bulk Complete,a2XVT00000008X32AI,P-003501,2,stamped,ok
2026-05-26T09:59:38,006WR00000wk1EYYAY,Cielo Apartments,Marketing/Bulk Complete,a2XVT00000014sn2AA,P-003943,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcgYAE,Northampton Arms Apartments,Marketing/Bulk Complete,a2XVT0000001N7R2AU,P-003989,2,stamped,ok
2026-05-26T09:59:38,006WR00000wkDu7YAE,San Montego Luxury Apartments,PAL/ROE Complete,a2XVT0000001mVd2AI,P-004136,1,stamped,ok
2026-05-26T09:59:38,006WR00000wkEcbYAE,Alexandra Apartments,Marketing/Bulk Complete,a2XVT0000001rzx2AA,P-004153,3,stamped,ok
