Id,Name,Agreement_Name__c,StageName,RecordTypeId,SiteTracker_Project_ID__c,ST_Build_Status__c,ST_Activation_Actual__c
006WR00000wkEcTYAU,Dobson Bay Club HOA,Mesa_MDU_Dobson Bay Club HOA,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000002iHw5EAE,4. Project - Completed,2024-04-18
006WR00000wkDuBYAU,Riverview Townhomes,Mesa_MDU_Riverview Town Homes,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000002iveiEAA,1. Project - PAL/ROE Signed,
006WR00000wkEckYAE,Crosspointe Vista,Seattle_MDU_Crosspointe Vista,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000002iveTEAQ,4. Project - Completed,2024-05-08
006WR00000wkEcSYAU,Dobson Greens Condo HOA,Mesa_MDU_Dobson Greens Condo HOA,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000002iwAnEAI,4. Project - Completed,2024-08-21
006WR00000wkDu0YAE,Cielo II Apartments,Austin_MDU_Cielo II,PAL/ROE Complete,012WR00000Ra0mkYAB,a2X4x000002oCuhEAE,1. Project - PAL/ROE Signed,
006WR00000wk1EmYAI,Bay Colony Apartments,Killeen_MDU_Bay Colony Apartments,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000003CnT7EAK,4. Project - Completed,2025-12-22
006WR00000wkEcpYAE,Sonterra Apartment Homes,Jarrell_MDU_Sonterra Apartment Homes,Marketing/Bulk In Progress,012WR00000Ra0mkYAB,a2X4x000003CnTCEA0,4. Project - Completed,2023-11-17
006WR00000wkDu1YAE,The M at Lakeline,Austin_MDU_M at Lakeline,PAL/ROE Complete,012WR00000Ra0mkYAB,a2X4x000003CrnbEAC,1. Project - PAL/ROE Signed,
006WR00000wkEcYYAU,Waterfront Landing,Seattle_MDU_Waterfront Landing,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2X4x000003CrngEAC,4. Project - Completed,2024-06-21
006WR00000wkEbIYAU,First Casa De Marina,Los Angeles_MDU_First Casa De Marina,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000000b72AA,1. Project - PAL/ROE Signed,
006WR00000wkEakYAE,Riverside Villa Apartments,North Hollywood_MDU_Riverside Villa Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000003tx2AA,1. Project - PAL/ROE Signed,
006WR00000wkEahYAE,Brody Terrace (Riverside),Sherman Oaks_MDU_Brody Terrace (Riverside),PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000003vZ2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEbNYAU,Parthenia Terrace,Canoga Park_MDU_Parthenia Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000003xB2AQ,1. Project - PAL/ROE Signed,
006WR00000wk1EUYAY,Parkway Plaza,Culver City_MDU_Parkway Plaza,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT000000040P2AQ,4. Project - Completed,2025-03-31
006WR00000wkEaiYAE,Parkview Terrace,Sherman Oaks_MDU_Parkview Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004212AA,1. Project - PAL/ROE Signed,
006WR00000wkEbJYAU,Lombardi Apartments,Woodland Hills_MDU_Lombardi Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT000000043d2AA,1. Project - PAL/ROE Signed,
006WR00000wkEafYAE,Kling Trio Apartments,Valley Village_MDU_Kling Trio Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT000000045F2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEaSYAU,White Oak Terrace,Encino_MDU_White Oak Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT000000046r2AA,1. Project - PAL/ROE Signed,
006WR00000wkEagYAE,Jaclyn Terrace,Valley Village_MDU_Jaclyn Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT000000048T2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEaQYAU,Woodland Trio The Oaks,North Hollywood_MDU_Woodland Trio The Oaks,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004A52AI,1. Project - PAL/ROE Signed,
006WR00000wkEaoYAE,Vista Apartments,Los Angeles_MDU_Vista Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Bh2AI,1. Project - PAL/ROE Signed,
006WR00000wkDulYAE,104 North Apt,Seattle_MDU_104 North,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004bV2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDupYAE,8746 Phinney Apt,Seattle_MDU_8746 Phinney,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004d72AA,1. Project - PAL/ROE Signed,
006WR00000wkEanYAE,Topanga Terrace,Canoga Park_MDU_Topanga Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004DJ2AY,1. Project - PAL/ROE Signed,
006WR00000wkEasYAE,Villa Boitano 1,Seattle_MDU_Villa Boitano 1,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004ej2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaaYAE,Colonial Manor Apartments,Van Nuys_MDU_Colonial Manor Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Ev2AI,1. Project - PAL/ROE Signed,
006WR00000wkDujYAE,Villa Boitano 2,Seattle_MDU_Villa Boitano 2,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004gL2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEaZYAU,Coliseum Apartments,Los Angeles_MDU_Coliseum Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004GX2AY,1. Project - PAL/ROE Signed,
006WR00000wkEarYAE,8409 5th Ave Apt,Seattle_MDU_8409 5th Ave,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004hx2AA,1. Project - PAL/ROE Signed,
006WR00000wkEamYAE,Topanga Apartments,West Hills_MDU_Topanga Canyon Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004I92AI,1. Project - PAL/ROE Signed,
006WR00000wkEaVYAU,Chatsworth Plaza,Chatsworth_MDU_Chatsworth Plaza,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Jl2AI,1. Project - PAL/ROE Signed,
006WR00000wkDuSYAU,The Fifth Avenue,Seattle_MDU_The Fifth Avenue,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004jZ2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDuTYAU,The Sixth Avenue,Seattle_MDU_The Sixth Avenue,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004lB2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEapYAE,The Palms,North Hollywood_MDU_The Palms,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004LN2AY,1. Project - PAL/ROE Signed,
006WR00000wkDuRYAU,7101 Roosevelt Way Apt,Seattle_MDU_7101 Roosevelt,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004mn2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaXYAU,Casa Linda,Newbury Park_MDU_Casa Linda,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Mz2AI,1. Project - PAL/ROE Signed,
006WR00000wkEbKYAU,The Meadows at Westlake Village,Westlake Village_MDU_The Meadows at Westlake Village,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Ob2AI,1. Project - PAL/ROE Signed,
006WR00000wkDuPYAU,7000 Roosevelt Way Apt,Seattle_MDU_7000 Roosevelt,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004oP2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDu6YAE,500 NE 70th,Seattle_MDU_500 NE 70th,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004q12AA,1. Project - PAL/ROE Signed,
006WR00000wkEbLYAU,Brookside Terrace Apartments,Encino_MDU_Brookside Terrace Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004QD2AY,1. Project - PAL/ROE Signed,
006WR00000wkEaLYAU,The Royce,Seattle_MDU_The Royce,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004rd2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaRYAU,Baldwin Manor,Los Angeles_MDU_Baldwin Manor,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Rp2AI,1. Project - PAL/ROE Signed,
006WR00000wkEa0YAE,Lakeland,Seattle_MDU_Lakeland,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004tF2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDuNYAU,6311-6321 Roosevelt,Seattle_MDU_6311-6321 R,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004ur2AA,1. Project - PAL/ROE Signed,
006WR00000wkEalYAE,The Banyans,North Hollywood_MDU_The Banyans,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004V32AI,1. Project - PAL/ROE Signed,
006WR00000wkEaTYAU,Bali Apartments,Los Angeles_MDU_Bali Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004Wf2AI,1. Project - PAL/ROE Signed,
006WR00000wkEZzYAM,430 NE Ravenna,Seattle_MDU_430 Ravenna,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004wT2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEZyYAM,Green Lake South,Seattle_MDU_Green Lake South,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004y52AA,1. Project - PAL/ROE Signed,
006WR00000wkEajYAE,Roxanne Apartments,Los Angeles_MDU_Roxanne Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000004YH2AY,1. Project - PAL/ROE Signed,
006WR00000wkEZtYAM,5307 Ravenna,Seattle_MDU_5307 Ravenna,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004zh2AA,1. Project - PAL/ROE Signed,
006WR00000wkDurYAE,The Cliffetta,Seattle_MDU_The Cliffetta,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000004Zt2AI,1. Project - PAL/ROE Signed,
006WR00000wkEatYAE,4459 Fremont Ave Apt,Seattle_MDU_4459 Fremont,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT000000051J2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEZvYAM,1744 Dexter Avenue Apartments,Seattle_MDU_1744 Dexter,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT000000052v2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaqYAE,Katerina Chalet,Seattle_MDU_Katerina Chalet,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT000000054X2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDusYAE,Espana,Seattle_MDU_Espana,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000005692AA,1. Project - PAL/ROE Signed,
006WR00000wk1EVYAY,The Reserve,Woodland Hills_MDU_The Reserve,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000005an2AA,4. Project - Completed,2025-03-31
006WR00000wkEaUYAU,Corbett Avenue Apartments,Los Angeles_MDU_Corbett Avenue Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005cP2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEaWYAU,John Manor,Los Angeles_MDU_John Manor,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005e12AA,1. Project - PAL/ROE Signed,
006WR00000wkEabYAE,San Vicente Apartments,Los Angeles_MDU_San Vicente Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005fd2AA,1. Project - PAL/ROE Signed,
006WR00000wkEacYAE,St. Andrews Manor,Los Angeles_MDU_St. Andrews Manor,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005hF2AQ,1. Project - PAL/ROE Signed,
006WR00000wkEadYAE,Krystal Terrace,Sherman Oaks_MDU_Krystal Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005ir2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaeYAE,Parkway Terrace,Culver City_MDU_Parkway Terrace,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005kT2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDunYAE,Villa Boitano 3,Seattle_MDU_Villa Boitano 3,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000005m52AA,1. Project - PAL/ROE Signed,
006WR00000wkDuhYAE,The Park West,Seattle_MDU_The Parkwest,Marketing/Bulk Complete,012WR00000Ra0mkYAB,a2XVT00000005qv2AA,1. Project - PAL/ROE Signed,
006WR00000wkEaYYAU,Windsor Manor,Los Angeles_MDU_Windsor Manor,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000005ZB2AY,1. Project - PAL/ROE Signed,
006WR00000wkDuFYAU,Bahia Palms Apartments,Laguna Vista_MDU_Bahia Palms,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000008aH2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDuuYAE,Autumn Villas Apartments,Lorena_MDU_Autumn Villas,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000008dV2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDMzYAM,Apache Bend Apartments,Sweetwater_MDU_Apache Bend,Closed Lost,012WR00000Ra0mkYAB,a2XVT00000008f72AA,,
006WR00000wkDv7YAE,Gainesville Gardens Apartments,Gainesville_MDU_Gainesville Gardens,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000008jx2AA,1. Project - PAL/ROE Signed,
006WR00000wkEa9YAE,Hillside Apartments,Mexia_MDU_Hillside Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000008qP2AQ,1. Project - PAL/ROE Signed,
006WR00000wkDuvYAE,Conquistador Apartments,Breckenridge_MDU_Conquistador Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT00000008Yf2AI,1. Project - PAL/ROE Signed,
006WR00000wkDv5YAE,Mill Creek Square Apartments,"San Saba_MDU_Mill Creek Square, LLC",PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT0000000Caf2AE,1. Project - PAL/ROE Signed,
006WR00000wkDuLYAU,Mira Vista Apartments,Santa Anna_MDU_Mira Vista,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT0000000CcH2AU,1. Project - PAL/ROE Signed,
006WR00000wkDv9YAE,Misty Hollow Apartments,Joshua_MDU_Misty Hollow Apartments,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT0000000Cdt2AE,1. Project - PAL/ROE Signed,
006WR00000wkDvBYAU,Northpark Apartments,Marietta_MDU_Northpark,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT0000000CfV2AU,1. Project - PAL/ROE Signed,
006WR00000wkDu9YAE,Oakwood Apartments,Brownwood_MDU_Oakwood,PAL/ROE Complete,012WR00000Ra0mkYAB,a2XVT0000000Ch72AE,1. Project - PAL/ROE Signed,
