SF_Id,Name,Field,Before,After,TriggeringAgreements,Source,Action,Timestamp
006WR00000wk1EEYAY,Henderson Terrace Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1179 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666897
006WR00000wk1EGYAY,Monaghan Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1186 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666925
006WR00000wk1EHYAY,Boyd South Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1189 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666938
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1192 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666949
006WR00000wk1EJYAY,Aspen Ridge,StageName,Under Contract,EMA/Bulk Completed,AGR-1195 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666960
006WR00000wk1EKYAY,Overlook 380,StageName,Under Contract,EMA/Bulk Completed,AGR-1199 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666970
006WR00000wk1ELYAY,Arcos De Mesa,StageName,Under Contract,EMA/Bulk Completed,AGR-1203 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666979
006WR00000wk1EMYAY,Hunters Pointe (Mesa),StageName,Under Contract,EMA/Bulk Completed,AGR-1207 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.666989
006WR00000wk1ENYAY,Valencia Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1210 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667006
006WR00000wk1EOYAY,Midwest Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1214 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667016
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1218 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667026
006WR00000wk1EQYAY,Hitt Road Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1222 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667037
006WR00000wk1ESYAY,Willow Creek,StageName,Under Contract,EMA/Bulk Completed,AGR-1229 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667047
006WR00000wk1ETYAY,Centennial Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1233 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667056
006WR00000wk1EUYAY,Parkway Plaza,StageName,Under Contract,EMA/Bulk Completed,AGR-1237 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667066
006WR00000wk1EVYAY,The Reserve,StageName,Under Contract,EMA/Bulk Completed,AGR-1241 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667076
006WR00000wk1EWYAY,Ladera Townhouse,StageName,Under Contract,EMA/Bulk Completed,AGR-1245 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667089
006WR00000wk1EXYAY,Crestview Place Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1249 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667099
006WR00000wk1EYYAY,Cielo Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1252 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667108
006WR00000wk1EZYAY,The Overlook at Thornton,StageName,Under Contract,EMA/Bulk Completed,AGR-1256 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667118
006WR00000wk1EaYAI,Southgate Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1260 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667128
006WR00000wk1EbYAI,Valley View Estates,StageName,Under Contract,EMA/Bulk Completed,AGR-1264 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667137
006WR00000wk1EdYAI,Cougar Creek Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1270 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667147
006WR00000wk1EeYAI,The Sterling Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1274 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667157
006WR00000wk1EfYAI,Navajo Hills,StageName,Under Contract,EMA/Bulk Completed,AGR-1278 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667167
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1282 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667176
006WR00000wk1EhYAI,Tallgrass Village,StageName,Under Contract,EMA/Bulk Completed,AGR-1286 Bulk (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,UPDATE,2026-04-28T14:55:56.667186
