Action,SF_Id,Agreement_Name,IronClad_ID,IronClad_Record_Id,Conflict_Agreement,Source,Timestamp
UPDATE,a0BWR000008AwXa2AK,AGR-1366,IC-2635,a0HWR00000ng2GS2AY,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.535949
UPDATE,a0BWR000008AxTe2AK,AGR-1355,IC-2637,a0HWR00000ng1sF2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.535972
UPDATE,a0BWR000008AxYT2A0,AGR-1327,IC-2272,a0HWR00000ng2G92AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.535983
UPDATE,a0BWR000008Axa52AC,AGR-1328,IC-2278,a0HWR00000ng2Hg2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.535992
UPDATE,a0BWR000008AxdJ2AS,AGR-1330,IC-2679,a0HWR00000ng2H22AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536000
UPDATE,a0BWR000008Axev2AC,AGR-1331,IC-2662,a0HWR00000ng2Fw2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536008
UPDATE,a0BWR000008AxgX2AS,AGR-1333,IC-1858,a0HWR00000ng2GR2AY,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536016
UPDATE,a0BWR000008Axi92AC,AGR-1334,IC-1859,a0HWR00000ng1sH2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536023
UPDATE,a0BWR000008Axjl2AC,AGR-1335,IC-2648,a0HWR00000ng2Fy2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536031
UPDATE,a0BWR000008AxlN2AS,AGR-1336,IC-679,a0HWR00000ng1sI2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536038
UPDATE,a0BWR000008Axmz2AC,AGR-1337,IC-2649,a0HWR00000ng1sQ2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536046
UPDATE,a0BWR000008Axrp2AC,AGR-1340,IC-2656,a0HWR00000ng1sU2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536054
UPDATE,a0BWR000008Axv32AC,AGR-1342,IC-2651,a0HWR00000ng1sP2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536062
UPDATE,a0BWR000008AxyH2AS,AGR-1344,IC-2659,a0HWR00000ng1sT2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536069
UPDATE,a0BWR000008Axzt2AC,AGR-1345,IC-2645,a0HWR00000ng2H82AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536076
UPDATE,a0BWR000008Ay1V2AS,AGR-1346,IC-2652,a0HWR00000ng1sO2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536083
UPDATE,a0BWR000008Ay372AC,AGR-1347,IC-2646,a0HWR00000ng2Fx2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536090
UPDATE,a0BWR000008Ay4j2AC,AGR-1348,IC-2108,a0HWR00000ng2Gk2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536097
UPDATE,a0BWR000008Ay6L2AS,AGR-1349,IC-1817,a0HWR00000ng1sC2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536105
UPDATE,a0BWR000008Ay7x2AC,AGR-1350,IC-2666,a0HWR00000ng2H02AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536112
UPDATE,a0BWR000008Ay9Z2AS,AGR-1351,IC-1808,a0HWR00000ng1ri2AA,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536119
UPDATE,a0BWR000008AyEP2A0,AGR-1354,IC-2293,a0HWR00000ng2Gz2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536126
UPDATE,a0BWR000008AyG12AK,AGR-1356,IC-2644,a0HWR00000ng1sE2AQ,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536133
UPDATE,a0BWR000008AyHd2AK,AGR-1358,IC-2115,a0HWR00000ng2GL2AY,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536140
UPDATE,a0BWR000008AyJF2A0,AGR-1359,IC-2727,a0HWR00000ng2HJ2AY,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536148
UPDATE,a0BWR000008AyO52AK,AGR-1362,IC-2647,a0HWR00000ng2Fr2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536155
UPDATE,a0BWR000008AyRJ2A0,AGR-1365,IC-2639,a0HWR00000ng2Fp2AI,,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536163
CONFLICT,a0BWR0000083yOL2AY,AGR-0756,IC-1220,a0HWR00000neVoi2AE,a0BWR0000083yOI2AY,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536173
CONFLICT,a0BWR0000083yaS2AQ,AGR-1307,IC-1173,a0HWR00000ng2gp2AA,a0BWR000008WSxR2AW,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536184
CONFLICT,a0BWR000008Axbh2AC,AGR-1329,IC-2638,a0HWR00000ng2Hf2AI,a0BWR000008WSpN2AW,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536193
CONFLICT,a0BWR000008AxqD2AS,AGR-1339,IC-671,a0HWR00000ng1sa2AA,a0BWR000008WSfh2AG,link_orphan_ironclad_agreements.py,2026-06-22T12:12:45.536201
