SF_Id,SF_Name,Field,Before,After,Source,Action,Timestamp
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Projected_Close_Date__c,2026-06-27,2026-05-06,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856698
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856720
006WR00000wkDtMYAU,Fort_Hood MHP,Projected_Close_Date__c,,2026-06-30,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856731
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856738
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856746
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856753
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856760
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Projected_Close_Date__c,2026-03-20,2026-06-01,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856768
006WR00000wk9RuYAI,Town East,Projected_Close_Date__c,2026-03-27,2026-05-06,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856775
006WR00000wkDtzYAE,Whispering Hills Apartments,Projected_Close_Date__c,2026-03-27,2026-05-06,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856782
006WR00000wkEb1YAE,Horizon Heights,Projected_Close_Date__c,2026-07-27,2026-05-30,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856790
006WR00000wkEboYAE,The Bungalows,Projected_Close_Date__c,2026-06-27,2026-05-30,tracker_xlsb_2026-05-06,PREVIEW,2026-05-06T09:50:49.856797
