SF_Id,Name,Field,Before,After,Source,Timestamp,Action,RecordType,StageName,OldOwnerName,NewOwnerName,AgreementTypes
006WR00000wk9SGYAY,Taschner Apartments,OwnerId,005WR00000CXIX7YAP,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,Contract Negotiations,Chuck McNeely,Tanya Friese,PAL
006WR00000wkAC1YAM,Paul Mark Apts,OwnerId,005WR00000DEU6oYAH,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Bill Holick,Tanya Friese,(none)
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,PAL
006WR00000wkEbQYAU,307 N Apartments_Colt RE,OwnerId,005WR00000Ewjj3YAB,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Brett Spivey,Tanya Friese,PAL
006WR00000xuTn1YAE,KILLEEN_MDU_4308 Zephyr Rdt_APTS,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,ROE
006WR00000xuzoQYAQ,Killeen_MDU_Bradley Arms,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,(none)
006WR00000xv3nEYAQ,Mesa_MDU_447-451 S Olive,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,Prospects,Melissa Baker,Tanya Friese,(none)
006WR00000xv5LzYAI,Killeen_MDU_Stringer St Apts,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,ROE
006WR00000xv6y2YAA,Killeen_MDU_209 E Dean Ave,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,ROE
006WR00000xvFEsYAM,Killeen_MDU_813 N Park St Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_2026-04-30.py,2026-04-30T16-41-21,PLANNED,MDU,PAL/ROE Complete,Melissa Baker,Tanya Friese,ROE
