SF_Id,Name,Field,Before,After,Source,Timestamp,Action,RecordType,StageName,OldOwnerName,NewOwnerName,AgreementTypes
006WR00000wkBG5YAM,1st Avenue Apartments (Old Name - Southwest Villa),OwnerId,005WR00000DE44HYAT,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Marty Samuels,Tanya Friese,(none)
006WR00000wkCk7YAE,Stone View on Horne,OwnerId,005WR00000CXEZyYAP,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Brett Spivey,Tanya Friese,(none)
006WR00000xuAVsYAM,Killeen_MDU_505 Utah St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xuU9cYAE,Killeen_MDU_Versailles North,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xudCqYAI,Mesa_MDU_LaMar Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xue0pYAA,Killeen_MDU_404 N 16th St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xufudYAA,Killeen_MDU_75 W. Ave E Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xuoRcYAI,Killeen_MDU_Laforce Apts,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xupQsYAI,Killeen_MDU_1711 Mulford St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvV0KYAU,Killeen_MDU_Paradise Cove,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvY7sYAE,Killeen_MDU_Dugger Apts,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvYawYAE,Mesa_MDU_Los Pinos Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvZ5WYAU,Killeen_MDU_1610 N 8th St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvc1mYAA,Killeen_MDU_Townshires Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvcBUYAY,Killeen_MDU_308 N 14th St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvgbfYAA,Killeen_MDU_Gilmer Street Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvgdJYAQ,Killeen_MDU_305-307 Blair St,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvlMoYAI,Killeen_MDU_Palo Alto Apartments,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
006WR00000xvlmdYAA,Killeen_MDU_605-607 Atkinson Ave,OwnerId,005WR000003CD6DYAW,005WR0000030R1hYAE,reassign_owner_to_re_terminal_2026-04-30.py,2026-04-30T16-52-49,APPLIED,MDU,Closed Lost,Melissa Baker,Tanya Friese,(none)
