SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000ywTa9YAE,127 W Glaucus St - A,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywTWvYAM,127 W. Glaucus,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywTdNYAU,"225 S. Hwy 101 , 17",StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvU0RYAU,3152 Levante,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvVsYYAU,3156 Levante,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywTblYAE,"437 S Highway 101, 101-110",StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywCuIYAU,53 Melrose Promenade HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywTGnYAM,674 Via De La Valle,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywScTYAU,Alga Hills HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yv47cYAA,Alicante Hills HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yueI2YAI,Calypso Legends Heritage,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvz12YAA,Cambria HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yv6m8YAA,Camino Cabrillo Pvt Road,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yutvPYAQ,Cardiff Park HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywOYtYAM,Carlsbad Arroyo Vista HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvvYXYAY,Carlsbad Surfside HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywG8IYAU,Casitas De La Costa HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvv0eYAA,Coral Cove HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000wk3OAYAY,El Camino 76 Mobile Estates,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yuj1ZYAQ,Emerald Lake Village HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywT8jYAE,Emerald Point HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywCPfYAM,Encinitas Corporate Center,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yw4jqYAA,Encinitas Town and Country Plaza,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvMMIYA2,Fairways HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywLuMYAU,Flair Encinitas HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvINSYA2,Forrest Bluff Terraces HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR0000112fikYAA,Fox Point,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yv7YaYAI,FoxtailLoop,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywTIPYA2,Haidenger Center,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvxP0YAI,Hillside Patio Pvt Road,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvnHbYAI,Hilltop Trailer Park,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywBdGYAU,La Costa Altezza HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywSXdYAM,La Costa Greens HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yw3HWYAY,La Costa Oaks South HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywSkXYAU,La Costa Ridge1 HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywSe5YAE,La Costa Ridge2 HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000ywQveYAE,La Costa Town Square,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yw9QBYAY,Mendocino HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yuxKdYAI,Mission Del Oro HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000wjnm6YAA,Mission View Manor West,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000wk9UkYAI,Monarch Villas,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
006WR00000yvoqPYAQ,Monte Mira HOA,StageName,Prospecting,Prospects,revert_prospecting_to_prospects.py,2026-04-30T07-55-24,UPDATE
