Id,Name,ST_Build_Status__c,ST_Activation_Actual__c,ST_Design_Inputs_Received__c,ST_Ready_for_Engineering__c
006WR00000wkDuFYAU,Bahia Palms Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkEZjYAM,Ladera Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkEZwYAM,Western Hills Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkEc8YAE,Bristol Square Apartments,2. Project - Design Phase,,2026-01-29,True
006WR00000wk1EjYAI,The Renaissance at Stoney Creek,4. Project - Completed,2025-11-19,2025-07-14,True
006WR00000wkEaeYAE,Parkway Terrace,1. Project - PAL/ROE Signed,,,False
006WR00000wkEcTYAU,Dobson Bay Club HOA,4. Project - Completed,2024-04-18,2023-07-27,True
006WR00000wkEatYAE,4459 Fremont Ave Apt,1. Project - PAL/ROE Signed,,2024-02-22,False
006WR00000xwGIXYA2,Omaha_MDU_6303 Taylor Cir,4. Project - Completed,2025-03-19,2024-12-17,True
006WR00000xvwoUYAQ,Omaha_MDU_4704 Cass St,1. Project - PAL/ROE Signed,,2026-01-05,True
006WR00000wkDuPYAU,7000 Roosevelt Way Apt,1. Project - PAL/ROE Signed,,2024-04-17,False
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,4. Project - Completed,2025-04-22,2024-01-22,True
006WR00000wkDu3YAE,La Costa Paloma,1. Project - PAL/ROE Signed,,,False
006WR00000wk1ETYAY,Centennial Patio Home Apartments,4. Project - Completed,2025-07-11,2024-06-12,True
006WR00000wkDuJYAU,Vanderbilt Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkDuYYAU,Lord Tennyson,1. Project - PAL/ROE Signed,,,False
006WR00000wkDueYAE,University Club Apartments (Nac),1. Project - PAL/ROE Signed,,,False
006WR00000wkEZtYAM,5307 Ravenna,1. Project - PAL/ROE Signed,,2024-02-22,False
006WR00000wkEaKYAU,Villa Lago Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkDv8YAE,Pineforest Place,1. Project - PAL/ROE Signed,,,False
006WR00000wkEcfYAE,Enclave at Westport,4. Project - Completed,2023-01-01,,False
006WR00000wkEaZYAU,Coliseum Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wkEZvYAM,1744 Dexter Avenue Apartments,1. Project - PAL/ROE Signed,,2024-04-17,False
006WR00000wkEZkYAM,The Oaks Apartments,1. Project - PAL/ROE Signed,,,False
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,4. Project - Completed,2025-06-17,2024-06-12,True
006WR00000xvxiwYAA,Omaha_MDU_4502 N 49th St,4. Project - Completed,2025-01-23,2024-08-22,True
