st_id,st_project_number,st_site_name,opp_id,opp_name,matched_via,opp_stage,dual_score,ts_score,ratio_score,state_ok,nums_ok,bucket
a0FWR00000V7Xbh2AF,P-005806,Omaha_MDU_4218 N 48th St Apartments,006WR00000xuca7YAA,Omaha_MDU_621 N 48th St,Opp.Name,Closed Lost,88.88888888888889,88.88888888888889,88.88888888888889,True,False,REVIEW
a0FWR00000V7Xrq2AF,P-006130,Omaha_MDU_4920 Capital Ave,006WR00000xwGDhYAM,Omaha_MDU_5102 Capital Ave,Opp.Name,Closed Lost,81.25,81.48148148148148,81.25,True,False,REVIEW
a0FWR00000VMnZi2AL,P-005182,Encinitas_MDU_Encinitas_Village,006WR00000wkDtgYAE,Encinitas Villas,Opp.Name,Prospects,90.9090909090909,90.9090909090909,90.9090909090909,True,True,REVIEW
a0FWR00000VMnkz2AD,P-005541,Solana Beach_MDU_Sixth Green HOA,006WR00000wkCjnYAE,Sixth Green Townhomes,Opp.Name,Prospects,100.0,100.0,100.0,True,True,AUTO
a0FWR00000VMoif2AD,P-006598,Omaha_MDU_Steelcrest Apts,006WR00000wk9YLYAY,Watercrest Apartments,Opp.Name,Prospects,70.0,70.0,70.0,True,True,NOMATCH
a0FWR00000WAOLB2A5,P-006862,Killeen_MDU_117 & 121 W Avenue A,006WR00000wk9RtYAI,117 and 121 E Avenue A Apartments,Opp.Name,Marketing/Bulk Complete,85.71428571428572,88.88888888888889,85.71428571428572,True,True,REVIEW
a0FWR00000WbwH72AJ,P-006876,Omaha_MDU_4750 LAFAYETTE AVE,006WR00000xvRuNYAU,Omaha_MDU_4501 Lafayette Ave,Opp.Name,Closed Lost,94.44444444444444,94.44444444444444,94.44444444444444,True,False,REVIEW
a0FWR00000XH7i12AD,P-000978,TX_DFW_THE_MCCALIP_GROUP,006WR00000wkClGYAU,The Grove at Killeen,Agreement_Name,On Hold,60.0,60.0,60.0,True,True,NOMATCH
a0FWR00000XH7wX2AT,P-002501,CA_CARLSBAD_SA07_FB03_SunnyCreekApts,006WR00000wk9TSYAY,Canyon Creek,Opp.Name,Prospects,53.84615384615385,53.84615384615385,53.84615384615385,True,True,NOMATCH
a0FWR00000XH84b2AD,P-003329,CALIFORNIA_TEST_SITE,,,,,0,0,0,True,True,TEST_SKIP
a0FWR00000XH8cT2AT,P-003643,CALIFORNIA_TEST_SITE,,,,,0,0,0,True,True,TEST_SKIP
a0FWR00000XH9VJ2A1,P-004313,TX_DFW_Feeder_Decatur_MDU_Eagle Ridge Terrace,006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,Opp.Name,Marketing/Bulk Complete,100.0,100.0,100.0,True,True,AUTO
a0FWR00000XH9Wv2AL,P-004315,TX_DFW_Feeder_Azle_MDU_Eagle Lake,006WR00000wkEcZYAU,Eagle Lake Garden Apartments,Agreement_Name,Marketing/Bulk Complete,100.0,100.0,100.0,True,True,AUTO
a0FWR00000XH9gb2AD,P-005598,Mesa_MDU_Hallcraft Villas Mesa 2,006WR00000wkC7XYAU,Villas Mesa 2,Agreement_Name,Prospects,100.0,100.0,100.0,True,True,AUTO
a0FWR00000YiZZZ2A3,P-006899,Omaha_MDU_360 Skyview-2,006WR00000xwF7xYAE,Omaha_MDU_360 Skyview,Opp.Name,PAL/ROE Complete,91.66666666666666,100.0,91.66666666666666,True,False,REVIEW
