SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR000011kjHHYAY,ROE - 941 S DOBSON RD MESA AZ,StageName,Contract Negotiations,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjHkYAI,ROE - 2050 W GUADALUPE RD MESA AZ,StageName,Prospects,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjHtYAI,ROE - 1955 W BASELINE RD MESA AZ,StageName,Contract Negotiations,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjI0YAI,ROE - 3660 E UNIVERSITY DR MESA AZ,StageName,Contract Negotiations,PAL/ROE Complete,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIBYAY,ROE - 1118 S ORACLE  MESA AZ,StageName,Contract Negotiations,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjItYAI,ROE - 10110 NICHOLAS ST OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIfYAI,ROE - 6901 DODGE ST OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIgYAI,ROE - 8909 BEDFORD CIR OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIhYAI,ROE - 9202 W DODGE RD OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIlYAI,ROE - 3313 N 88TH PLZ OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjIoYAI,ROE - 1110 S 71ST ST OMAHA NE,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjJLYAY,ROE - 1207 S WHITE CHAPEL BLVD SOUTHLAKE TX,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kjVhYAI,ROE - 6900 DENTON HWY WATAUGA TX,Sales_Handoff_Date__c,,2026-04-15,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kitAYAQ,ROE - 2600 E SOUTHLAKE BLVD SOUTHLAKE TX,StageName,Contract Negotiations,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kitHYAQ,ROE - 808 SCHOOLHOUSE RD HASLET TX,StageName,Contract Negotiations,Proposal Sent,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kitWYAQ,ROE - 2001 W SOUTHLAKE DR SOUTHLAKE TX,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
006WR000011kitXYAQ,ROE - 2175 E SOUTHLAKE BLVD SOUTHLAKE TX,Loss_Reason__c,Other,Not Interested,SMB ROE spreadsheet final sync,2026-04-29 16:15:57,UPDATE
