SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR000012SH5tYAG,ROE - 2651 W BASELINE RD MESA AZ,CREATED,,Stage=Prospects; RT=Business_ROE; from UUID 0acf5206-e20c-4a76-a3ca-2781de75218f,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,Sales_Status__c,,FF Sales - Tenant Interest Required,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,RE_Assigned__c,,005WR0000030R9lYAE,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,Sales_Handoff_Date__c,,2026-04-01,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,FF_Notes__c,,4/1 - Sent Email with details to FF Team,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR000012SH7VYAW,ROE - 6201 N 89TH CIR OMAHA NE,CREATED,,Stage=Engaged; RT=Business_ROE; from UUID a0431c5a-ec46-468c-a2c5-605dab421b2c,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012Rt8QYAS,ROE - 7808 W DODGE RD OMAHA NE,CREATED,,Stage=Closed Lost; RT=Business_ROE; from UUID a7366897-4f0f-45bd-bf5e-10dc151a2478,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHAjYAO,ROE - 2801 HERITAGE TRACE DR FORT WORTH TX,CREATED,,Stage=Proposal Sent; RT=Business_ROE; from UUID 02699015-18db-45ac-b2c3-ff76c89320c0,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHCLYA4,ROE - 8533 N BEACH ST FORT WORTH TX,CREATED,,Stage=Closed Lost; RT=Business_ROE; from UUID a4db52d2-9471-4d36-b95f-9e956dbe0a0c,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,Sales_Status__c,,FF Sales - Tenant Interest Required,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,RE_Assigned__c,,005WR0000030RCzYAM,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,Sales_Handoff_Date__c,,2026-04-01,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,FF_Notes__c,,4/1 - Sent Email with details to FF Team,SMB ROE UUID sync (existing Business RT),2026-04-29 16:32:13,UPDATE
006WR000012SHDxYAO,ROE - 1246 MAIN ST SOUTHLAKE TX,CREATED,,Stage=Prospects; RT=Business_ROE; from UUID d25dc04f-e441-4bbb-9460-5c80be0d711e,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHFZYA4,ROE - 1050 REPUBLIC DR ROANOKE TX,CREATED,,Stage=Prospecting; RT=Business_ROE; from UUID 732bf3f8-d674-4fab-9734-5b425fa4c4be,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHHBYA4,ROE - 801 KELLER PKWY KELLER TX,CREATED,,Stage=Proposal Sent; RT=Business_ROE; from UUID 20bb38d1-8efd-4894-831c-67bd9182ece6,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012P3QsYAK,ROE - 6703 MID-CITIES BLVD N RICHLAND HILLS TX,CREATED,,Stage=Prospects; RT=Business_ROE; from UUID c99ff167-2dba-4dbd-87c0-66ca9f0958a6,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012RHXpYAO,ROE - 5400 BASSWOOD BLVD FORT WORTH TX,CREATED,,Stage=Proposal Sent; RT=Business_ROE; from UUID dc81ec79-a664-4758-90e8-fa5f36dcf61c,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012S5xdYAC,ROE - 102 GARRETT MORRIS PKWY MINERAL WELLS TX,CREATED,,Stage=Prospecting; RT=Business_ROE; from UUID 441c02b2-cd43-4e9e-bee4-249a4d7f5746,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHInYAO,ROE - 1510 E SOUTHLAKE BLVD SOUTHLAKE TX,CREATED,,Stage=Prospects; RT=Business_ROE; from UUID d0d547c3-04d9-4d7f-a63c-578ebb7c2c13,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHKPYA4,ROE - 6402 RUFE SNOW DR N RICHLAND HILLS TX,CREATED,,Stage=Prospecting; RT=Business_ROE; from UUID da9c04ca-bb9c-4d52-bc0f-07f7e3da3aa7,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
006WR000012SHM1YAO,ROE - 209 AVIATOR DR FORT WORTH TX,CREATED,,Stage=Closed Lost; RT=Business_ROE; from UUID e893d6e7-6a5f-460e-aff8-b0b16fe6ac08,SMB ROE UUID create,2026-04-29 16:32:13,INSERT
