Id,Name,Site_Name__c,Monday_Name__c,City__c,State__c,Site_Status__c,Build_Status__c,PAL_Signed_Date__c,Activation_Forecast__c,Activation_Actual__c,MDU_Category__c,SiteTracker_Record_Id__c,Last_Synced__c,Opportunity__c
a0FWR00000V6zv02AB,P-003503,Laguna Vista_MDU_Bahia Palms,Bahia Palms Apartments,Laguna Vista,TX,Future,1. Project - PAL/ROE Signed,2023-12-07,,,Out of Footprint,a2XVT00000008aH2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkDuFYAU
a0FWR00000V70RG2AZ,P-003947,Los Angeles_MDU_Ladera Apts,Ladera Apartments,Los Angeles,CA,Future,1. Project - PAL/ROE Signed,2024-02-05,,,Out of Footprint,a2XVT00000015Dl2AI,2026-05-25T11:52:07.000+0000,006WR00000wkEZjYAM
a0FWR00000V71wr2AB,P-003613,Ferris_MDU_Western Hills Apartments,Western Hills Apartments,Ferris,TX,Future,1. Project - PAL/ROE Signed,2023-12-08,,,Out of Footprint,a2XVT0000000D8X2AU,2026-05-25T11:52:07.000+0000,006WR00000wkEZwYAM
a0FWR00000V73FS2AZ,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,Omaha,NE,Future,2. Project - Design Phase,2026-01-21,,,On Net,a2XVT000002iWRF2A2,2026-05-25T11:52:07.000+0000,006WR00000wkEc8YAE
a0FWR00000V76Zv2AJ,P-006296,Killeen_MDU_The Renaissance at Stoney Creek,The Renaissance at Stoney Creek,Killeen,TX,In Service,4. Project - Completed,2025-06-02,2025-11-19,2025-11-19,On Net,a2XVT0000018fjl2AA,2026-05-25T11:52:07.000+0000,006WR00000wk1EjYAI
a0FWR00000V76d82AB,P-003388,Culver City_MDU_Parkway Terrace,Parkway Terrace,Culver City,CA,Future,1. Project - PAL/ROE Signed,2023-11-01,,,Out of Footprint,a2XVT00000005kT2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkEaeYAE
a0FWR00000V77J42AJ,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,Mesa,AZ,In Service,4. Project - Completed,2023-07-21,2024-04-12,2024-04-18,On Net,a2X4x000002iHw5EAE,2026-05-25T11:52:07.000+0000,006WR00000wkEcTYAU
a0FWR00000V77J52AJ,P-003377,Seattle_MDU_4459 Fremont,4459 Fremont Ave Apt,Seattle,WA,Future,1. Project - PAL/ROE Signed,2023-11-07,,,Out of Footprint,a2XVT000000051J2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkEatYAE
a0FWR00000V79Pi2AJ,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,Omaha,NE,In Service,4. Project - Completed,,2025-03-28,2025-03-19,On Net,a2XVT000000PmSu2AK,2026-05-25T11:52:07.000+0000,006WR00000xwGIXYA2
a0FWR00000V7AC82AN,P-006320,Omaha_MDU_4704 Cass St,4706 Cass St,Omaha,NE,Future,1. Project - PAL/ROE Signed,,2026-04-30,,In-Franchise,a2XVT000001AwF32AK,2026-05-25T11:52:07.000+0000,006WR00000xvwoUYAQ
a0FWR00000V7AiP2AV,P-003369,Seattle_MDU_7000 Roosevelt,7000 Roosevelt Way Apt,Seattle,WA,Future,1. Project - PAL/ROE Signed,2023-11-07,,,Out of Footprint,a2XVT00000004oP2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkDuPYAU
a0FWR00000V7AiQ2AV,P-003509,Decatur_MDU_Eagle Ridge Ter,Eagle Ridge Terrace,Decatur,TX,In Service,4. Project - Completed,2023-12-08,2025-04-22,2025-04-22,On Net,a2XVT00000008nB2AQ,2026-05-25T11:52:07.000+0000,006WR00000wk1EIYAY
a0FWR00000V7B3N2AV,P-006102,Carlsbad_MDU_La Costa Paloma,La Costa Paloma,Carlsbad,CA,Future,1. Project - PAL/ROE Signed,2025-03-12,,,On Net,a2XVT000000lZf32AE,2026-05-25T11:52:07.000+0000,006WR00000wkDu3YAE
a0FWR00000V7BRW2A3,P-004887,Rexburg_MDU_Centennial Patio Home Apartments,Centennial Patio Home Apts,Rexburg,ID,In Service,4. Project - Completed,2024-05-29,2025-07-18,2025-07-11,Out of Footprint,a2XVT0000006dhp2AA,2026-05-25T11:52:07.000+0000,006WR00000wk1ETYAY
a0FWR00000V7BT82AN,P-003604,Edna_MDU_Vanderbilt Apartments,Vanderbilt Apartments,Edna,TX,Future,1. Project - PAL/ROE Signed,2023-12-08,,,Out of Footprint,a2XVT0000000CxF2AU,2026-05-25T11:52:07.000+0000,006WR00000wkDuJYAU
a0FWR00000V7BXy2AN,P-006244,Hayward_MDU_Lord Tennyson,Lord Tennyson,Hayward,CA,Future,1. Project - PAL/ROE Signed,2025-05-16,,,Out of Footprint,a2XVT0000013jw52AA,2026-05-25T11:52:07.000+0000,006WR00000wkDuYYAU
a0FWR00000V7DgG2AV,P-006249,Nacogdoches_MDU_University Club Apartments (Nac),University Club Apartments (Nac),Nacogdoches,TX,Future,1. Project - PAL/ROE Signed,2025-05-16,,,Out of Footprint,a2XVT0000014FMT2A2,2026-05-25T11:52:07.000+0000,006WR00000wkDueYAE
a0FWR00000V7EPO2A3,P-003376,Seattle_MDU_5307 Ravenna,5307 Ravenna,Seattle,WA,Future,1. Project - PAL/ROE Signed,2023-11-07,,,Out of Footprint,a2XVT00000004zh2AA,2026-05-25T11:52:07.000+0000,006WR00000wkEZtYAM
a0FWR00000V7ExG2AV,P-003936,Van Nuys_MDU_Villa Lago,Villa Lago Apartments,Van Nuys,CA,Future,1. Project - PAL/ROE Signed,2024-02-05,,,Out of Footprint,a2XVT00000014Xp2AI,2026-05-25T11:52:07.000+0000,006WR00000wkEaKYAU
a0FWR00000V7FV92AN,P-006291,Houston_MDU_Pineforest Place,Pineforest Place,Houston,TX,Future,1. Project - PAL/ROE Signed,2025-06-02,,,Out of Footprint,a2XVT0000018f5R2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkDv8YAE
a0FWR00000V7Fjf2AF,P-004488,Roanoke_MDU_Enclave at Westport,Enclave at Westport,Roanoke,TX,In Service,4. Project - Completed,2024-07-02,2023-01-01,2023-01-01,On Net,a2XVT0000004IET2A2,2026-05-25T11:52:07.000+0000,006WR00000wkEcfYAE
a0FWR00000V7G6F2AV,P-003343,Los Angeles_MDU_Coliseum Apartments,Coliseum Apartments,Los Angeles,CA,Future,1. Project - PAL/ROE Signed,2023-11-01,,,Out of Footprint,a2XVT00000004GX2AY,2026-05-25T11:52:07.000+0000,006WR00000wkEaZYAU
a0FWR00000V7H3u2AF,P-003378,Seattle_MDU_1744 Dexter,1744 Dexter Avenue Apartments,Seattle,WA,Future,1. Project - PAL/ROE Signed,2023-11-07,,,Out of Footprint,a2XVT000000052v2AA,2026-05-25T11:52:07.000+0000,006WR00000wkEZvYAM
a0FWR00000V7H3v2AF,P-006304,Huntsville_MDU_The Oaks Apartments,The Oaks Apartments,Huntsville,TX,Future,1. Project - PAL/ROE Signed,2025-06-02,,,Out of Footprint,a2XVT0000018hIX2AY,2026-05-25T11:52:07.000+0000,006WR00000wkEZkYAM
a0FWR00000V7HIQ2A3,P-004889,Idaho Falls_MDU_Big Sky Patio Home Apartments,Big Sky Patio Home Apts,Idaho Falls,ID,In Service,4. Project - Completed,2024-05-29,2025-06-30,2025-06-17,Out of Footprint,a2XVT0000006doH2AQ,2026-05-25T11:52:07.000+0000,006WR00000wk1EPYAY
a0FWR00000V7HYY2A3,P-005408,Omaha_MDU_4502 N 49th St,4502 N. 49th St (Bayview),Omaha,NE,In Service,4. Project - Completed,,2025-01-17,2025-01-23,On Net,a2XVT000000Ahzl2AC,2026-05-25T11:52:07.000+0000,006WR00000xvxiwYAA
a0FWR00000V7Hgc2AF,P-003988,Leimert Park_MDU_Leimert Park,Leimert Park,Leimert Park,CA,Future,1. Project - PAL/ROE Signed,2024-02-05,,,Out of Footprint,a2XVT0000001L2P2AU,2026-05-25T11:52:07.000+0000,006WR00000wkEZhYAM
a0FWR00000V7I822AF,P-005802,Aurora_MDU_Trailpoint by Trion Living,Trailpoint by Trion Living,Aurora,CO,Future,1. Project - PAL/ROE Signed,2025-01-21,2026-04-01,,Out of Footprint,a2XVT000000TIUb2AO,2026-05-25T11:52:07.000+0000,006WR00000wkEbYYAU
a0FWR00000V7IPm2AN,P-001611,Killeen_MDU_Bay Colony Apartments,Bay Colony Apartments,Killeen,TX,In Service,4. Project - Completed,2025-06-26,2025-12-22,2025-12-22,On Net,a2X4x000003CnT7EAK,2026-05-25T11:52:07.000+0000,006WR00000wk1EmYAI
a0FWR00000V7IPn2AN,P-004627,Taylor_MDU_Lakeside Apartments,Lakeside Apt,Taylor,TX,In Service,4. Project - Completed,2024-04-27,2024-08-16,2024-08-09,On Net,a2XVT0000004wdJ2AQ,2026-05-25T11:52:07.000+0000,006WR00000wkEcjYAE
a0FWR00000V7IWE2A3,P-006777,Killeen_MDU_209 E Dean Ave,209 E Dean Ave,Killeen,TX,Future,3. Project - Construction Phase,,2026-06-19,,On Net,a2XVT000002zAu92AE,2026-05-25T11:52:07.000+0000,006WR00000xv6y2YAA
a0FWR00000V7IrC2AV,P-003335,Woodland Hills_MDU_Lombardi Apartments,Lombardi Apartments,Woodland Hills,CA,Future,1. Project - PAL/ROE Signed,2023-11-01,2026-05-30,,Near Net,a2XVT000000043d2AA,2026-05-25T11:52:07.000+0000,006WR00000wkEbJYAU
a0FWR00000V7JnG2AV,P-006010,Omaha_MDU_4005 Hartman Circle,4005 Hartman Circle,Omaha,NE,In Service,4. Project - Completed,,2025-06-20,2025-06-30,On Net,a2XVT000000gHKb2AM,2026-05-25T11:52:07.000+0000,006WR00000xw7SBYAY
a0FWR00000V7Jos2AF,P-003277,Mesa_MDU_Dobson Greens Condo HOA,Dobson Greens Condo HOA,Mesa,AZ,In Service,4. Project - Completed,2023-11-01,2024-08-22,2024-08-21,On Net,a2X4x000002iwAnEAI,2026-05-25T11:52:07.000+0000,006WR00000wkEcSYAU
a0FWR00000V7Jww2AF,P-005992,Eagan_MDU_Ballantrae Apartments,Ballantrae Apartments,"Minneapolis, MN",MN,Future,1. Project - PAL/ROE Signed,2025-03-04,,,Out of Footprint,a2XVT000000d8Ab2AI,2026-05-25T11:52:07.000+0000,006WR00000wkEbZYAU
a0FWR00000V7KOM2A3,P-006345,Chaska_MDU_Barbary Knoll Apartments,Barbary Knoll Apartments,Chaska,MN,Future,1. Project - PAL/ROE Signed,2025-06-18,,,Out of Footprint,a2XVT000001DYbB2AW,2026-05-25T11:52:07.000+0000,006WR00000wkEc0YAE
a0FWR00000V7KY22AN,P-003208,Seattle_MDU_Crosspointe Vista,Crosspointe Vista,Seattle,WA,In Service,4. Project - Completed,2023-10-19,2024-05-01,2024-05-08,Out of Footprint,a2X4x000002iveTEAQ,2026-05-25T11:52:07.000+0000,006WR00000wkEckYAE
