Id,Name,Owner,Reason,Last_Activity,Bucket,Next_Action,Projected
006WR00000wkCljYAE,Eagle's Point Apartments,Bill Holick,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wjKFsYAM,Evergreen At Keller,Bill Holick,Other,2026-04-24T16:49:23.000+0000,clean,,
006WR00000wkDLxYAM,Lemon & Pear Tree Apartments,Bill Holick,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wkDMTYA2,Martinique Apartments,Bill Holick,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wkC7OYAU,Pacific Villas,Bill Holick,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wk9YNYAY,Solana Highlands,Bill Holick,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkDM2YAM,The Forum Apartments FKA Archstone Apartments,Bill Holick,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wkDuNYAU,6311-6321 Roosevelt,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkEbHYAU,Arcadia Walk,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkACGYA2,Bella Vita,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wjdjuYAA,Chambers Creek Estates,Brett Spivey,Other,2026-04-24T16:49:23.000+0000,clean,,
006WR00000wkDu0YAE,Cielo II Apartments,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkAkAYAU,Estates at Park Central,Brett Spivey,Other,2026-04-24T16:49:20.000+0000,clean,,
006WR00000wjdjpYAA,Hunt Club Apartments,Brett Spivey,Other,2026-04-24T16:49:23.000+0000,clean,,
006WR00000wkArfYAE,Jasper Apartments,Brett Spivey,Other,2026-04-24T16:49:20.000+0000,clean,,
006WR00000wkA6xYAE,Kensington Apartments,Brett Spivey,Other,2026-04-24T16:49:18.000+0000,clean,,
006WR00000wkAW1YAM,Maple Pointe Apartments,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkDtmYAE,Mariposa Apartments,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkACHYA2,Maryland Lakes,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkCl3YAE,Meridian at the Hermitage,Brett Spivey,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wkC78YAE,Mezzo Condominiums,Brett Spivey,Other,2026-04-24T16:49:21.000+0000,clean,,
006WR00000wkDtxYAE,Olive East,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkDu2YAE,Palmero by the Park (f/k/a Overlook by the Park),Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wk9SIYAY,Park Winds Apartments,Brett Spivey,Other,2026-04-24T16:49:18.000+0000,clean,,
006WR00000wkAVyYAM,Pembrooke Apartments,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wk9SJYAY,Prairie Winds Apartments,Brett Spivey,Other,2026-04-24T16:49:18.000+0000,stale,,
006WR00000wkAVuYAM,Riverwood Apartments,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkEbGYAU,Sahara & Playa Palms Apartments,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wk9TCYAY,San Angelin,Brett Spivey,Other,2026-04-24T16:49:18.000+0000,clean,,
006WR00000wk9TBYAY,San Clemente,Brett Spivey,Other,2026-04-24T16:49:18.000+0000,clean,,
006WR00000wk9UVYAY,Sky at P83,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkDu5YAE,Southwest Patio Home Apartments,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wk9UTYAY,Stonebridge at Paradise Valley,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkDtsYAE,The Cliffs at Canyon Ridge,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wk9UWYAY,The Enclave at Paradise Valley,Brett Spivey,Other,2026-04-24T16:49:19.000+0000,clean,,
006WR00000wkDu1YAE,The M at Lakeline,Brett Spivey,Other,2026-04-24T16:49:22.000+0000,clean,,
006WR00000wkArxYAE,The Towers Apartments,Brett Spivey,Other,2026-04-24T16:49:20.000+0000,clean,,
006WR00000wkEbvYAE,The Traditions Apartments,Brett Spivey,Build Not Approved,2026-04-30T15:54:16.000+0000,clean,Niraj sending legal note to Caitlin re cancellation comm to owner; PAL not being canceled (may build as FiberFirst future),
