SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wk1EEYAY,Henderson Terrace Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EGYAY,Monaghan Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EHYAY,Boyd South Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EJYAY,Aspen Ridge,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EKYAY,Overlook 380,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1ELYAY,Arcos De Mesa,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EMYAY,Hunters Pointe (Mesa),Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1ENYAY,Valencia Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EOYAY,Midwest Patio Home Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EQYAY,Hitt Road Patio Home Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1ERYAY,Indian Hills Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1ESYAY,Willow Creek,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1ETYAY,Centennial Patio Home Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EUYAY,Parkway Plaza,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EVYAY,The Reserve,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EWYAY,Ladera Townhouse,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EXYAY,Crestview Place Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EYYAY,Cielo Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EZYAY,The Overlook at Thornton,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EaYAI,Southgate Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EbYAI,Valley View Estates,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EdYAI,Cougar Creek Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EeYAI,The Sterling Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EfYAI,Navajo Hills,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
