SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wkDu7YAE,San Montego Luxury Apartments,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu8YAE,The Turn Apartments,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuCYAU,Avenue 8 Apartments,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuEYAU,Brookwood Apartments,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuGYAU,Mission Palms Apartments,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuHYAU,River Oaks Apartments,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuIYAU,Zona Village,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuKYAU,Fowler's RV Park,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuMYAU,Colonial Plaza,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuQYAU,Copper Commons,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEZoYAM,Tierra Pointe,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEZqYAM,Comanche Wells,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb1YAE,Horizon Heights,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb4YAE,Main Street Commons,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb7YAE,The Bungalows on 204,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb9YAE,The Bungalows on the Lake at Prairie Queen_The View,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbAYAU,1010 on the Lake,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbBYAU,The Beckham,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbDYAU,Heritage Oaks,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbWYAU,Waterstone Apartments,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu0YAE,Cielo II Apartments,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu1YAE,The M at Lakeline,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu2YAE,Palmero by the Park (f/k/a Overlook by the Park),Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuBYAU,Riverview Townhomes,Opportunity,Substatus__c,,Owner Unresponsive,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb6YAE,Pecan Acres RV Park,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEb8YAE,The Bungalows on the Lake at Prairie Queen,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbCYAU,Azle Village,Opportunity,Substatus__c,,Budget Not Approved / Business Case,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEbGYAU,Sahara & Playa Palms Apartments,Opportunity,Substatus__c,,Chose Another Provider,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
