opp_name,opp_id,opp_stage,agr_id,agr_name,agr_type,agr_status
Clay Gardens Apartments,006WR00000wk3PLYAY,Prospects,a0BWR0000083yDN2AY,AGR-0176,PAL,Completed
Laguna Knolls Apartments,006WR00000wk3PMYAY,Prospects,a0BWR0000083yDO2AY,AGR-0177,PAL,Completed
Park West Townhouses,006WR00000wk3PNYAY,Prospects,a0BWR0000083yDP2AY,AGR-0178,PAL,Completed
Lachen Tara Apartments,006WR00000wk3POYAY,Prospects,a0BWR0000083yDQ2AY,AGR-0179,PAL,Completed
Villas at Higuera,006WR00000wk3PPYAY,Prospects,a0BWR0000083yDR2AY,AGR-0180,PAL,Completed
Quail Ridge Apartments,006WR00000wk3PQYAY,Prospects,a0BWR0000083yDS2AY,AGR-0181,PAL,Completed
Hidden Oaks,006WR00000wk3PSYAY,Prospects,a0BWR0000083yDU2AY,AGR-0183,PAL,Completed
Cloverdale Garden,006WR00000wk3PTYAY,Prospects,a0BWR0000083yDV2AY,AGR-0184,PAL,Completed
Corning Apts,006WR00000wk3PUYAY,Prospects,a0BWR0000083yDW2AY,AGR-0185,PAL,Completed
Maywood Apartments,006WR00000wk3PVYAY,Prospects,a0BWR0000083yDX2AY,AGR-0186,PAL,Completed
Bardsley Garden,006WR00000wk3PWYAY,Prospects,a0BWR0000083yDY2AY,AGR-0187,PAL,Completed
Willows Apartments,006WR00000wk3PXYAY,Prospects,a0BWR0000083yDZ2AY,AGR-0188,PAL,Completed
Marisol Apartments,006WR00000wk3PYYAY,Prospects,a0BWR0000083yDa2AI,AGR-0189,PAL,Completed
Shoreline Apartments,006WR00000wk3PZYAY,Prospects,a0BWR0000083yDb2AI,AGR-0190,PAL,Completed
Three Crown Apartments,006WR00000wk3PaYAI,Prospects,a0BWR0000083yDc2AI,AGR-0191,PAL,Completed
Pinecrest Apartments,006WR00000wk3PbYAI,Prospects,a0BWR0000083yDd2AI,AGR-0192,PAL,Completed
D Street Apartments,006WR00000wk3PcYAI,Prospects,a0BWR0000083yDe2AI,AGR-0193,PAL,Completed
Redwood Highway Apartments,006WR00000wk3PdYAI,Prospects,a0BWR0000083yDf2AI,AGR-0194,PAL,Completed
La Brea Apartments,006WR00000wk3PeYAI,Prospects,a0BWR0000083yDg2AI,AGR-0195,PAL,Completed
College Park,006WR00000wk3PfYAI,Prospects,a0BWR0000083yDh2AI,AGR-0196,PAL,Completed
The Ridge,006WR00000wk3PgYAI,Prospects,a0BWR0000083yDi2AI,AGR-0197,PAL,Completed
Persimmon Terrace Apartments,006WR00000wkAB3YAM,Prospects,a0BWR0000083yDj2AI,AGR-0198,PAL,Completed
Vista Torre,006WR00000wkAB4YAM,Prospects,a0BWR0000083yDk2AI,AGR-0199,PAL,Completed
Tuscana Townhomes,006WR00000wkAB6YAM,Prospects,a0BWR0000083yDm2AI,AGR-0201,PAL,Completed
Moonlight,006WR00000wkAB7YAM,Prospects,a0BWR0000083yDn2AI,AGR-0202,PAL,Completed
Porvenir Estates II,006WR00000wkAB8YAM,Prospects,a0BWR0000083yDo2AI,AGR-0203,PAL,Completed
Porvenir Estates I,006WR00000wkAB9YAM,Prospects,a0BWR0000083yDp2AI,AGR-0204,PAL,Completed
Huron Plaza,006WR00000wkABAYA2,Prospects,a0BWR0000083yDq2AI,AGR-0205,PAL,Completed
Niland,006WR00000wkABBYA2,Prospects,a0BWR0000083yDr2AI,AGR-0206,PAL,Completed
Placer West,006WR00000wkABCYA2,Prospects,a0BWR0000083yDs2AI,AGR-0207,PAL,Completed
The Shadows Garden Apts,006WR00000wkABDYA2,Prospects,a0BWR0000083yDt2AI,AGR-0208,PAL,Completed
Harvard,006WR00000wkABEYA2,Prospects,a0BWR0000083yDu2AI,AGR-0209,PAL,Completed
12th & D Apartments,006WR00000wkABFYA2,Prospects,a0BWR0000083yDv2AI,AGR-0210,PAL,Completed
Creekside Colony Apartments,006WR00000wkABGYA2,Prospects,a0BWR0000083yDw2AI,AGR-0211,PAL,Completed
Park on Riley,006WR00000wkABHYA2,Prospects,a0BWR0000083yDx2AI,AGR-0212,PAL,Completed
Sierra Oaks Apartments,006WR00000wkABIYA2,Prospects,a0BWR0000083yDy2AI,AGR-0213,PAL,Completed
Katy Creek,006WR00000wkABKYA2,Prospects,a0BWR0000083yE02AI,AGR-0215,PAL,Completed
Breckenridge Apartments,006WR00000wkABLYA2,Prospects,a0BWR0000083yE12AI,AGR-0216,PAL,Completed
Crestmoor Park South,006WR00000wkABMYA2,Prospects,a0BWR0000083yE22AI,AGR-0217,PAL,Completed
Crestmoor Park West,006WR00000wkABNYA2,Prospects,a0BWR0000083yE32AI,AGR-0218,PAL,Completed
Comanche Retirement Village,006WR00000wkABOYA2,Prospects,a0BWR0000083yE42AI,AGR-0219,PAL,Completed
Dekalb Apartments,006WR00000wkABPYA2,Prospects,a0BWR0000083yE52AI,AGR-0220,PAL,Completed
Colony Park Apartments,006WR00000wkABQYA2,Prospects,a0BWR0000083yE62AI,AGR-0221,PAL,Completed
Camelot Square Apartments,006WR00000wkABRYA2,Prospects,a0BWR0000083yE72AI,AGR-0222,PAL,Completed
Somervell Apartments,006WR00000wkABSYA2,Prospects,a0BWR0000083yE82AI,AGR-0223,PAL,Completed
Glen Rose Apartments,006WR00000wkABTYA2,Prospects,a0BWR0000083yE92AI,AGR-0224,PAL,Completed
Emerald RV,006WR00000wkABUYA2,Prospects,a0BWR0000083yEA2AY,AGR-0225,PAL,Completed
Allen's Point Apartments,006WR00000wkABVYA2,Prospects,a0BWR0000083yEB2AY,AGR-0226,PAL,Completed
Kaufman Retirement Village (fka Cedar Ridge),006WR00000wkABXYA2,Prospects,a0BWR0000083yED2AY,AGR-0228,PAL,Completed
Commonwealth I,006WR00000wkABYYA2,Prospects,a0BWR0000083yEE2AY,AGR-0229,PAL,Completed
Regal Apartments,006WR00000wkABZYA2,Prospects,a0BWR0000083yEF2AY,AGR-0230,PAL,Completed
Waterwood Apartments,006WR00000wkABaYAM,Prospects,a0BWR0000083yEG2AY,AGR-0231,PAL,Completed
Venus Retirement Village,006WR00000wkABbYAM,Prospects,a0BWR0000083yEH2AY,AGR-0232,PAL,Completed
Whitney Place Apartments,006WR00000wkABcYAM,Prospects,a0BWR0000083yEI2AY,AGR-0233,PAL,Completed
Whitney Retirement Village,006WR00000wkABdYAM,Prospects,a0BWR0000083yEJ2AY,AGR-0234,PAL,Completed
Cedar Nettleton Apartments,006WR00000wkBp5YAE,Prospects,a0BWR0000083yGR2AY,AGR-0366,PAL,Completed
Haley Ranch Estates,006WR00000wkDMvYAM,Prospects,a0BWR0000083yJL2AY,AGR-0446,PAL,Completed
