opp_name,category,reason
Hillside Apartments,delete_pal,ambiguous_2_opps_with_PAL
Haciendas de la Playa,pal_to_roe,already_ROE_no_PAL
Solana Beach and Tennis Club,pal_to_roe,already_ROE_no_PAL
78th Place Apartments,pal_to_roe,already_ROE_no_PAL
Del Mar Beach Club,pal_to_roe,already_ROE_no_PAL
Las Brisas,pal_to_roe,already_ROE_no_PAL
Del Mar Shores Terrace,pal_to_roe,already_ROE_no_PAL
KILLEEN_MDU_4308 Zephyr Rdt_APTS,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4616 Redman Ave,pal_to_roe,already_ROE_no_PAL
New Added Site,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4618 Redman Ave,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4803 Boyd St Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_The Wakeley Pointe,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_Stringer St Apts,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_209 E Dean Ave,pal_to_roe,already_ROE_no_PAL
Bridgeport_SA01_FDH08_PA02,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4527 Decatur St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4023 HAMILTON ST,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_6302 Boyd St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_The Richards Apartments,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_813 N Park St Apartments,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_Villa Del North,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_602 N 2nd St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_2313 N 72nd St apts,pal_to_roe,already_ROE_no_PAL
Taylor_MDU_Vance Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4810-4812 Capital Ave,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4484 Redman Ave,pal_to_roe,already_ROE_no_PAL
