SF_Id,Agreement_Name,Action,Before,After,Opp,Source,Result,Timestamp
a0BWR000008WSxR2AW,AGR-1473,RETYPE_PAL_TO_ROE,PAL,ROE,Pacifica HOA,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:37.405614
a0BWR0000083yEL2AY,AGR-0236,RETYPE_PAL_TO_ROE,PAL,ROE,Birchwood Apts,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:37.859896
a0BWR000008HuFh2AK,AGR-1394,RETYPE_PAL_TO_ROE,PAL,ROE,Hacienda de la Playa HOA,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:38.164031
a0BWR000008HuXR2A0,AGR-1405,RETYPE_PAL_TO_ROE,PAL,ROE,Island View - Private Road,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:38.578016
a0BWR000008HrZa2AK,AGR-1408,RETYPE_PAL_TO_ROE,PAL,ROE,"247-263 HWY 101 Solana Beach, CA",Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:38.972409
a0BWR000008Hpch2AC,AGR-1412,RETYPE_PAL_TO_ROE,PAL,ROE,876 Bonita Drive,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:39.327597
a0BWR000008Huh72AC,AGR-1413,RETYPE_PAL_TO_ROE,PAL,ROE,915-919 Neptune Ave,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:39.676804
a0BWR000008Huij2AC,AGR-1414,RETYPE_PAL_TO_ROE,PAL,ROE,1471 Rubenstein,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:40.016063
a0BWR0000083yDN2AY,AGR-0176,DELETE_PAL,PAL/Completed,(deleted),Clay Gardens Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:40.936409
a0BWR0000083yDO2AY,AGR-0177,DELETE_PAL,PAL/Completed,(deleted),Laguna Knolls Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:41.472497
a0BWR0000083yDP2AY,AGR-0178,DELETE_PAL,PAL/Completed,(deleted),Park West Townhouses,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:41.951720
a0BWR0000083yDQ2AY,AGR-0179,DELETE_PAL,PAL/Completed,(deleted),Lachen Tara Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:42.514172
a0BWR0000083yDR2AY,AGR-0180,DELETE_PAL,PAL/Completed,(deleted),Villas at Higuera,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:43.187978
a0BWR0000083yDS2AY,AGR-0181,DELETE_PAL,PAL/Completed,(deleted),Quail Ridge Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:43.676704
a0BWR0000083yDU2AY,AGR-0183,DELETE_PAL,PAL/Completed,(deleted),Hidden Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:44.379741
a0BWR0000083yDV2AY,AGR-0184,DELETE_PAL,PAL/Completed,(deleted),Cloverdale Garden,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:44.859105
a0BWR0000083yDW2AY,AGR-0185,DELETE_PAL,PAL/Completed,(deleted),Corning Apts,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:45.268574
a0BWR0000083yDX2AY,AGR-0186,DELETE_PAL,PAL/Completed,(deleted),Maywood Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:45.846684
